s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-17-3602	pfama1.019	15	0.07425737693604519	57590(97.4%)	5	0	0.8215108356978329	46680	2
2017-10-17-3602	pfama1.005	48	0.2425744735689427	57590(97.4%)	5	1	0.1078859784228043	6883	2
2017-10-17-3602	pfama1.028	10	0.04950501185182891	57590(97.4%)	5	2	0.03053529389294122	1842	2
2017-10-17-3602	pfama1.000	89	0.4455442616162712	57590(97.4%)	5	3	0.02680489463902107	1521	2
2017-10-17-3602	pfama1.006	38	0.18811887602691205	57590(97.4%)	5	4	0.013262997347400527	664	2
2017-10-17-3604	pfama1.011	30	0.25423748428619164	41548(67.5%)	4	0	0.3381	23462	2
2017-10-17-3604	pfama1.006	38	0.32203385744037677	41548(67.5%)	4	1	0.320759	9349	2
2017-10-17-3604	pfama1.019	15	0.12711850104131858	41548(67.5%)	4	2	0.235079	6844	2
2017-10-17-3604	pfama1.009	35	0.29661015723211304	41548(67.5%)	4	3	0.10606199999999999	1893	2
2017-10-17-3612	pfama1.012	30	0.12552308128534972	145498(95.7%)	4	0	0.9431327359228339	137167	2
2017-10-17-3612	pfama1.002	70	0.29288742774115784	145498(95.7%)	4	1	0.02633489262623006	3879	2
2017-10-17-3612	pfama1.000	89	0.3765685296300238	145498(95.7%)	4	2	0.02400859327759388	3508	2
2017-10-17-3612	pfama1.005	48	0.20502096134346867	145498(95.7%)	4	3	0.006523778173342111	944	2
2017-10-17-3614	pfama1.002	70	0.9459459875090809	39558(86.4%)	2	0	0.9590885204557397	37963	2
2017-10-17-3614	pfama1.039	4	0.054054012490919075	39558(86.4%)	2	1	0.04091147954426023	1595	2
2017-10-17-3615	pfama1.005	48	1.0	52094(96%)	1	0	1.0	52094	2
2017-10-17-3616	pfama1.002	70	1.0	45899(95.5%)	1	0	1.0	45899	2
2017-10-17-3617	pfama1.006	38	1.0	59227(95.4%)	1	0	1.0	59227	2
2017-10-18-3627	pfama1.010	34	1.0	10977(83.4%)	1	0	1.0	10616	1
2017-10-18-3630	pfama1.007	37	1.0	54680(96.3%)	1	0	1.0	54680	2
2017-10-18-3642	pfama1.002	70	1.0	70052(92.2%)	1	0	1.0	70052	3
2017-10-23-3122	pfama1.001	72	1.0	26834(84%)	1	0	1.0	26834	2
2017-10-23-3154	pfama1.000	89	1.0	124119(98.4%)	1	0	1.0	124119	2
2017-10-23-3190	pfama1.001	72	1.0	44041(93.1%)	1	0	1.0	44041	2
2017-10-23-3202	pfama1.025	12	0.374999555468625	35434(81.4%)	3	0	0.5701884298115703	20323	2
2017-10-23-3202	pfama1.027	11	0.3437507779299063	35434(81.4%)	3	1	0.31094868905131096	10978	2
2017-10-23-3202	pfama1.030	9	0.2812496666014688	35434(81.4%)	3	2	0.11886288113711889	4133	2
2017-10-23-3205	pfama1.027	11	0.47826173005655365	54222(92.2%)	2	0	0.767131	41506	2
2017-10-23-3205	pfama1.025	12	0.5217382699434463	54222(92.2%)	2	1	0.232869	12716	2
2017-10-23-3649	pfama1.000	89	1.0	350(84.7%)	1	0	1.0	350	2
2017-10-23-3659	pfama1.016	22	0.43137243963856214	63168(75.6%)	2	0	0.533602	34062	2
2017-10-23-3659	pfama1.013	29	0.5686275603614378	63168(75.6%)	2	1	0.466398	29106	2
2017-10-23-3665	pfama1.002	70	1.0	71529(94.1%)	1	0	1.0	71529	2
2017-10-24-3672	pfama1.026	12	1.0	11(100%)	1	0	1.0	11	1
2017-10-24-3673	pfama1.009	35	0.41666655376982864	34716(75.1%)	2	0	0.6871659999999999	23422	2
2017-10-24-3673	pfama1.005	48	0.5833334462301714	34716(75.1%)	2	1	0.312834	11294	2
2017-10-24-3677	pfama1.002	70	0.6140352190672702	36293(85%)	3	0	0.621633	22562	2
2017-10-24-3677	pfama1.021	14	0.12280704381345404	36293(85%)	3	1	0.254805	9247	2
2017-10-24-3677	pfama1.011	30	0.26315773711927576	36293(85%)	3	2	0.12356199999999999	4484	2
2017-10-24-3684	pfama1.011	30	1.0	25054(89.2%)	1	0	1.0	25054	3
2017-10-24-3685	pfama1.023	13	0.5909094435952545	2782(97%)	2	0	0.891935	2477	2
2017-10-24-3685	pfama1.031	9	0.40909055640474545	2782(97%)	2	1	0.10806500000000001	305	2
2017-10-25-3708	pfama1.005	48	1.0	125585(98.4%)	1	0	1.0	125585	2
2017-10-25-3709	pfama1.015	22	1.0	20229(98.9%)	1	0	1.0	20229	2
2017-10-25-3713	pfama1.018	16	1.0	25537(94.7%)	1	0	1.0	25537	4
2017-10-25-3714	pfama1.004	53	0.5955056682615711	30255(97.7%)	2	0	0.9899313959725584	29927	2
2017-10-25-3714	pfama1.008	36	0.40449433173842886	30255(97.7%)	2	1	0.010068604027441613	328	2
2017-10-25-3718	pfama1.012	30	1.0	92908(91.5%)	1	0	1.0	92908	2
2017-10-25-3719	pfama1.005	48	0.7101448558286205	89326(98%)	2	0	0.859664	77938	2
2017-10-25-3719	pfama1.017	20	0.28985514417137953	89326(98%)	2	1	0.140336	11388	2
2017-10-25-3720	pfama1.010	34	0.26984114081648686	112486(97.9%)	3	0	0.45944004594400456	51605	2
2017-10-25-3720	pfama1.017	20	0.15873002970537578	112486(97.9%)	3	1	0.45758904575890463	51512	2
2017-10-25-3720	pfama1.001	72	0.5714288294781373	112486(97.9%)	3	2	0.08297090829709083	9369	2
2017-10-25-3728	pfama1.004	53	1.0	50928(89.9%)	1	0	1.0	50928	4
2017-10-30-3746	pfama1.012	30	0.29999982930017055	70041(89.5%)	2	0	0.8262120000000001	57854	2
