unfiltered	filtered	sample
11768	2	2017-12-27-3779-PR2-010-a
3115	0	2017-12-27-3779-PR2-010-b
41820	41235	2017-12-28-3785-PR2-0072-A
30593	30111	2017-12-28-3785-PR2-0072-B
12954	12748	2017-12-28-3786-PR2-0062-A
13948	13744	2017-12-28-3786-PR2-0062-B
30213	29878	2017-12-28-3787-PR2-0072-A
26890	26587	2017-12-28-3787-PR2-0072-B
7	1	2017-12-28-3805-PR2-0072-A
206	197	2017-12-28-3805-PR2-0072-B
12699	1	2017-12-28-3807-PR2-010-a
9033	2	2017-12-28-3807-PR2-010-b
7288	7176	2017-12-28-3816-PR2-0071-A
7144	7035	2017-12-28-3816-PR2-0071-B
18405	18170	2017-12-28-3818-PR2-0071-A
14507	14311	2017-12-28-3818-PR2-0071-B
3	0	2017-12-29-3079-PR2-0072-A
3	3	2017-12-29-3079-PR2-0072-B
869	857	2017-12-29-3093-PR2-008-A
1	0	2017-12-29-3093-PR2-008-B
24132	23582	2017-12-29-3093-PR2-010-a
18948	18505	2017-12-29-3093-PR2-010-b
522	462	2017-12-29-3095-PR2-0062-A
230	164	2017-12-29-3095-PR2-0062-B
49	0	2017-12-29-3096-PR2-0061-A
4326	4241	2017-12-29-3096-PR2-0061-B
96	21	2017-12-29-3315-PR2-0062-A
82	4	2017-12-29-3315-PR2-0062-B
61	8	2017-12-29-3364-PR2-0061-A
147	95	2017-12-29-3364-PR2-0061-B
22	0	2017-12-29-3504-PR2-009-A
1	0	2017-12-29-3504-PR2-009-B
10596	3	2017-12-29-3504-PR2-010-a
1909	22	2017-12-29-3504-PR2-010-b
27	0	2017-12-29-3508-PR2-009-B
5116	2	2017-12-29-3508-PR2-011-a
2160	0	2017-12-29-3508-PR2-011-b
173	0	2017-12-29-3510-PR2-008-A
9	0	2017-12-29-3510-PR2-008-B
1840	2	2017-12-29-3510-PR2-010-a
1547	0	2017-12-29-3510-PR2-010-b
25288	24892	2018-01-03-3164-PR2-0062-A
15496	15176	2018-01-03-3164-PR2-0062-B
41870	41286	2018-01-04-3284-PR2-009-A
505	149	2018-01-04-3284-PR2-009-B
14042	5	2018-01-04-3284-PR2-011-a
15761	15413	2018-01-04-3284-PR2-011-b
57614	56603	2018-01-04-3285-PR2-0061-A
36104	35558	2018-01-04-3285-PR2-0061-B
27810	27425	2018-01-04-3523-PR2-008-A
25357	24979	2018-01-04-3523-PR2-008-B
9311	8	2018-01-04-3525-PR2-010-a
2540	1	2018-01-04-3525-PR2-010-b
48433	47809	2018-01-04-3527-PR2-009-A
42600	42073	2018-01-04-3527-PR2-009-B
13176	5	2018-01-05-3336-PR2-010-a
8284	7	2018-01-05-3336-PR2-010-b
1453	0	2018-01-08-3540-PR2-010-a
17738	16984	2018-01-08-3540-PR2-010-b
18365	17889	2018-01-08-3541-PR2-010-a
17655	17061	2018-01-08-3541-PR2-010-b
19838	19567	2018-01-08-3542-PR2-0071-A
26871	26565	2018-01-08-3542-PR2-0071-B
52884	52201	2018-01-08-3546-PR2-009-A
50128	49491	2018-01-08-3546-PR2-009-B
15323	1	2018-01-09-3575-PR2-010-a
25493	24321	2018-01-09-3575-PR2-010-b
14	1	2018-01-09-3577-PR2-009-A
427	311	2018-01-09-3577-PR2-009-B
8719	5	2018-01-09-3577-PR2-011-a
1976	0	2018-01-09-3577-PR2-011-b
45778	45219	2018-01-09-3578-PR2-0072-A
32447	32065	2018-01-09-3578-PR2-0072-B
17698	17408	2018-01-09-3579-PR2-008-A
30623	30208	2018-01-09-3579-PR2-008-B
9758	1	2018-01-09-3580-PR2-010-a
1510	0	2018-01-09-3580-PR2-010-b
7197	7094	2018-01-09-3602-PR2-0071-A
31464	31094	2018-01-09-3602-PR2-0071-B
58662	57774	2018-01-09-3604-PR2-0062-A
47924	46877	2018-01-09-3604-PR2-0062-B
26856	26475	2018-01-09-3614-PR2-008-A
29163	28868	2018-01-09-3614-PR2-008-B
246	0	2018-01-09-3615-PR2-008-A
26231	25865	2018-01-09-3615-PR2-008-B
7638	2	2018-01-09-3615-PR2-010-a
13571	5	2018-01-09-3615-PR2-010-b
31446	31087	2018-01-09-3616-PR2-0072-A
33679	33284	2018-01-09-3616-PR2-0072-B
846	0	2018-01-10-3627-PR2-010-a
1702	0	2018-01-10-3627-PR2-010-b
25707	25369	2018-01-10-3630-PR2-0062-A
36730	36224	2018-01-10-3630-PR2-0062-B
18695	18383	2018-01-10-3635-PR2-008-A
26552	26219	2018-01-10-3635-PR2-008-B
26542	26204	2018-01-15-3122-PR2-008-A
24598	24244	2018-01-15-3122-PR2-008-B
30	0	2018-01-15-3148-PR2-009-A
6	0	2018-01-15-3148-PR2-009-B
13808	13404	2018-01-15-3148-PR2-010-a
3023	0	2018-01-15-3148-PR2-010-b
23781	23390	2018-01-15-3154-PR2-0071-A
29244	28812	2018-01-15-3154-PR2-0071-B
31151	30831	2018-01-15-3190-PR2-0072-A
18899	18689	2018-01-15-3190-PR2-0072-B
22631	22376	2018-01-15-3658-PR2-008-A
27563	27276	2018-01-15-3658-PR2-008-B
22912	22582	2018-01-15-3659-PR2-008-A
28564	28147	2018-01-15-3659-PR2-008-B
23058	22598	2018-01-15-3665-PR2-008-A
28484	28028	2018-01-15-3665-PR2-008-B
22769	22426	2018-01-15-3825-PR2-008-A
27578	27078	2018-01-15-3825-PR2-008-B
23423	23075	2018-01-16-3672-PR2-008-A
26798	26468	2018-01-16-3672-PR2-008-B
11930	11659	2018-01-16-3677-PR2-010-a
23445	22608	2018-01-16-3677-PR2-010-b
39699	39192	2018-01-16-3685-PR2-0062-A
29145	28784	2018-01-16-3685-PR2-0062-B
203	20	2018-01-17-3202-PR2-009-A
147	0	2018-01-17-3202-PR2-009-B
15079	14652	2018-01-17-3202-PR2-010-a
18381	17730	2018-01-17-3202-PR2-010-b
20903	20562	2018-01-17-3205-PR2-008-A
28532	28157	2018-01-17-3205-PR2-008-B
59101	58270	2018-01-17-3709-PR2-009-A
42127	41569	2018-01-17-3709-PR2-009-B
29864	29412	2018-01-17-3713-PR2-0072-A
28870	28467	2018-01-17-3713-PR2-0072-B
31767	31441	2018-01-17-3714-PR2-0072-A
25646	25333	2018-01-17-3714-PR2-0072-B
1600	2	2018-01-17-3723-PR2-010-a
13556	3	2018-01-17-3723-PR2-010-b
861	2	2018-01-17-3728-PR2-009-A
42864	42362	2018-01-17-3728-PR2-009-B
11643	5	2018-01-17-3728-PR2-010-a
25693	24996	2018-01-17-3728-PR2-010-b
21020	20747	2018-01-22-3746-PR2-008-A
26636	26287	2018-01-22-3746-PR2-008-B
36827	36400	2018-01-22-3747-PR2-009-A
31558	31161	2018-01-22-3747-PR2-009-B
41374	40754	2018-01-22-3761-PR2-0072-A
47344	46742	2018-01-22-3761-PR2-0072-B
49003	48431	2018-01-22-3762-PR2-009-A
45493	45014	2018-01-22-3762-PR2-009-B
20032	19772	2018-01-22-3766-PR2-008-A
24847	24484	2018-01-22-3766-PR2-008-B
46701	46004	2018-01-22-3777-PR2-0072-A
28873	28540	2018-01-22-3777-PR2-0072-B
10987	2	2018-01-22-3779-PR2-010-a
9611	4	2018-01-22-3779-PR2-010-b
52677	52084	2018-01-23-3805-PR2-009-A
158	0	2018-01-23-3805-PR2-009-B
209000	205510	2018-01-23-3805-PR2-011-a
366295	360206	2018-01-23-3805-PR2-011-b
21521	21145	2018-01-23-3815-PR2-008-A
29841	29353	2018-01-23-3815-PR2-008-B
15834	15562	2018-01-23-3816-PR2-008-A
24089	23757	2018-01-23-3816-PR2-008-B
20816	20451	2018-01-23-3818-PR2-008-A
26504	26159	2018-01-23-3818-PR2-008-B
22959	22591	2018-01-24-3079-PR2-008-A
27217	26843	2018-01-24-3079-PR2-008-B
29256	9	2018-01-24-3093-PR2-010-a
11312	4	2018-01-24-3093-PR2-010-b
25117	24759	2018-01-24-3095-PR2-0072-A
25473	25117	2018-01-24-3095-PR2-0072-B
24565	24244	2018-01-24-3096-PR2-0072-A
36363	35855	2018-01-24-3096-PR2-0072-B
19442	19143	2018-01-24-3315-PR2-008-A
31821	31441	2018-01-24-3315-PR2-008-B
19575	19277	2018-01-24-3364-PR2-008-A
33573	33000	2018-01-24-3364-PR2-008-B
29067	28699	2018-01-24-3505-PR2-0072-A
38991	38437	2018-01-24-3505-PR2-0072-B
32893	32541	2018-01-24-3510-PR2-008-A
35366	34885	2018-01-24-3510-PR2-008-B
33745	33287	2018-01-24-3785-PR2-008-A
37810	37258	2018-01-24-3785-PR2-008-B
26211	25902	2018-01-24-3786-PR2-0071-A
30031	29661	2018-01-24-3786-PR2-0071-B
20751	20516	2018-01-24-3787-PR2-008-A
27731	27438	2018-01-24-3787-PR2-008-B
87271	85840	2018-01-26-3154-PR2-0061-A
95668	94278	2018-01-26-3154-PR2-0061-B
25169	24674	2018-01-29-3164-PR2-0072-A
24778	24418	2018-01-29-3164-PR2-0072-B
46060	45402	2018-01-29-3521-PR2-009-A
33032	32544	2018-01-29-3521-PR2-009-B
13426	13218	2018-01-30-3285-PR2-0062-A
44597	44021	2018-01-30-3285-PR2-0062-B
28618	28220	2018-01-30-3523-PR2-008-A
29190	28821	2018-01-30-3523-PR2-008-B
19390	19052	2018-01-30-3525-PR2-008-A
97624	96162	2018-01-30-3525-PR2-008-B
28	0	2018-01-30-3527-PR2-009-A
42405	41909	2018-01-30-3527-PR2-009-B
17325	11	2018-01-30-3527-PR2-011-a
12675	5	2018-01-30-3527-PR2-011-b
29161	28858	2018-01-30-3677-PR2-0072-A
27735	27419	2018-01-30-3677-PR2-0072-B
51514	50857	2018-02-05-3540-PR2-009-A
40628	40031	2018-02-05-3540-PR2-009-B
48972	48070	2018-02-05-3541-PR2-009-A
57186	56276	2018-02-05-3541-PR2-009-B
29699	29320	2018-02-05-3542-PR2-0062-A
28669	28264	2018-02-05-3542-PR2-0062-B
47	0	2018-02-06-3546-PR2-009-A
39	0	2018-02-06-3546-PR2-009-B
175432	168707	2018-02-06-3546-PR2-011-a
936	0	2018-02-06-3546-PR2-011-b
43940	43068	2018-02-06-3577-PR2-009-A
32	0	2018-02-06-3577-PR2-009-B
809	0	2018-02-06-3577-PR2-011-b
28033	27665	2018-02-06-3578-PR2-0071-A
31860	31402	2018-02-06-3578-PR2-0071-B
49195	48437	2018-02-06-3579-PR2-009-A
58842	57997	2018-02-06-3579-PR2-009-B
32	0	2018-02-06-3595-PR2-009-A
68	0	2018-02-06-3595-PR2-009-B
2625	1	2018-02-06-3595-PR2-011-a
1345	0	2018-02-06-3595-PR2-011-b
25477	25179	2018-02-06-3602-PR2-0072-A
28043	27713	2018-02-06-3602-PR2-0072-B
61	0	2018-02-06-3614-PR2-009-A
15	0	2018-02-06-3614-PR2-009-B
265859	259684	2018-02-06-3614-PR2-011-a
162996	157661	2018-02-06-3614-PR2-011-b
19901	19663	2018-02-06-3616-PR2-008-A
30502	30107	2018-02-06-3616-PR2-008-B
56578	55782	2018-02-06-3617-PR2-0062-A
50103	49441	2018-02-06-3617-PR2-0062-B
18877	18635	2018-02-07-3630-PR2-008-A
28806	28477	2018-02-07-3630-PR2-008-B
56238	55370	2018-02-07-3635-PR2-0061-A
72261	71259	2018-02-07-3635-PR2-0061-B
38352	37804	2018-02-07-3642-PR2-009-A
51	0	2018-02-07-3642-PR2-009-B
2790	1	2018-02-07-3642-PR2-011-a
21718	21202	2018-02-07-3642-PR2-011-b
43479	42986	2018-02-12-3122-PR2-009-A
39332	38858	2018-02-12-3122-PR2-009-B
1955	1	2018-02-12-3148-PR2-010-a
2392	1	2018-02-12-3148-PR2-010-b
5	0	2018-02-12-3154-PR2-009-A
40104	39465	2018-02-12-3154-PR2-009-B
21069	20358	2018-02-12-3154-PR2-011-a
9407	2	2018-02-12-3154-PR2-011-b
39491	38982	2018-02-12-3190-PR2-0072-A
38398	37992	2018-02-12-3190-PR2-0072-B
20241	19999	2018-02-12-3202-PR2-0072-A
27908	27570	2018-02-12-3202-PR2-0072-B
20046	19753	2018-02-12-3205-PR2-008-A
28932	28597	2018-02-12-3205-PR2-008-B
32960	32561	2018-02-12-3659-PR2-0062-A
24545	24175	2018-02-12-3659-PR2-0062-B
36366	35986	2018-02-12-3665-PR2-0072-A
34142	33681	2018-02-12-3665-PR2-0072-B
55612	55024	2018-02-13-3672-PR2-009-A
37476	37009	2018-02-13-3672-PR2-009-B
78	0	2018-02-13-3673-PR2-009-A
35	0	2018-02-13-3673-PR2-009-B
9848	2	2018-02-13-3673-PR2-010-a
1713	1	2018-02-13-3673-PR2-010-b
18525	18309	2018-02-13-3677-PR2-008-A
23158	22878	2018-02-13-3677-PR2-008-B
26883	26562	2018-02-13-3685-PR2-0071-A
28355	28005	2018-02-13-3685-PR2-0071-B
63849	63036	2018-02-14-3708-PR2-0062-A
58182	57406	2018-02-14-3708-PR2-0062-B
31940	31576	2018-02-14-3709-PR2-0072-A
36219	35744	2018-02-14-3709-PR2-0072-B
49021	48306	2018-02-14-3713-PR2-009-A
45277	44730	2018-02-14-3713-PR2-009-B
23529	23178	2018-02-14-3714-PR2-008-A
29481	29044	2018-02-14-3714-PR2-008-B
2564	1	2018-02-14-3724-PR2-010-a
8502	4	2018-02-14-3724-PR2-010-b
43	0	2018-02-14-3728-PR2-009-A
45511	44937	2018-02-14-3728-PR2-009-B
21906	21377	2018-02-14-3728-PR2-011-a
19221	18792	2018-02-14-3728-PR2-011-b
23362	23116	2018-02-19-3746-PR2-008-A
30613	30249	2018-02-19-3746-PR2-008-B
23152	22915	2018-02-19-3747-PR2-008-A
22240	21977	2018-02-19-3747-PR2-008-B
16425	4	2018-02-19-3758-PR2-010-a
13019	9	2018-02-19-3758-PR2-010-b
23890	23530	2018-02-19-3761-PR2-0071-A
28039	27676	2018-02-19-3761-PR2-0071-B
22968	22166	2018-02-19-3762-PR2-010-a
11570	2	2018-02-19-3762-PR2-010-b
27402	27115	2018-02-19-3766-PR2-0072-A
32478	32025	2018-02-19-3766-PR2-0072-B
11788	1	2018-02-19-3774-PR2-010-a
1897	1	2018-02-19-3774-PR2-010-b
27745	27273	2018-02-19-3777-PR2-008-A
26566	26207	2018-02-19-3777-PR2-008-B
1	1	2018-02-20-3785-PR2-009-A
44017	43332	2018-02-20-3785-PR2-009-B
231058	215850	2018-02-20-3785-PR2-011-a
3240	0	2018-02-20-3785-PR2-011-b
25384	25148	2018-02-20-3786-PR2-0071-A
21767	21499	2018-02-20-3786-PR2-0071-B
21065	20803	2018-02-20-3787-PR2-008-A
27838	27512	2018-02-20-3787-PR2-008-B
15789	15598	2018-02-20-3805-PR2-008-A
27425	27121	2018-02-20-3805-PR2-008-B
43765	43161	2018-02-21-3079-PR2-009-A
54372	53657	2018-02-21-3079-PR2-009-B
40026	39499	2018-02-21-3093-PR2-009-A
43644	43071	2018-02-21-3093-PR2-009-B
22982	22641	2018-02-21-3095-PR2-0071-A
24574	24176	2018-02-21-3095-PR2-0071-B
21234	20884	2018-02-21-3096-PR2-008-A
25111	24769	2018-02-21-3096-PR2-008-B
31036	30629	2018-02-21-3315-PR2-0072-A
30404	29992	2018-02-21-3315-PR2-0072-B
32749	32282	2018-02-21-3364-PR2-0072-A
33217	32711	2018-02-21-3364-PR2-0072-B
17139	16627	2018-02-21-3505-PR2-010-a
12523	2	2018-02-21-3505-PR2-010-b
56520	55870	2018-02-21-3510-PR2-009-A
56729	56057	2018-02-21-3510-PR2-009-B
27489	27121	2018-02-21-3816-PR2-0071-A
22761	22343	2018-02-21-3816-PR2-0071-B
39179	38680	2018-02-21-3818-PR2-0072-A
40517	40108	2018-02-21-3818-PR2-0072-B
38050	37498	2018-02-26-3164-PR2-0072-A
24601	24202	2018-02-26-3164-PR2-0072-B
47218	46480	2018-02-27-3285-PR2-0061-A
35545	34967	2018-02-27-3285-PR2-0061-B
44419	43907	2018-02-27-3523-PR2-009-A
47581	47087	2018-02-27-3523-PR2-009-B
42354	41785	2018-02-27-3525-PR2-009-A
60831	59998	2018-02-27-3525-PR2-009-B
16796	16298	2018-02-27-3527-PR2-010-a
12152	2	2018-02-27-3527-PR2-010-b
11107	488	2018-02-28-3535-PR2-010-a
1992	0	2018-02-28-3535-PR2-010-b
73	0	2018-03-05-3541-PR2-009-A
48018	47218	2018-03-05-3541-PR2-009-B
7551	1	2018-03-05-3541-PR2-010-a
1520	0	2018-03-05-3541-PR2-010-b
39485	38880	2018-03-05-3542-PR2-0062-A
36642	36143	2018-03-05-3542-PR2-0062-B
3	0	2018-03-05-3546-PR2-009-A
356	0	2018-03-05-3546-PR2-009-B
2005	0	2018-03-05-3546-PR2-011-a
2096	1	2018-03-05-3546-PR2-011-b
25252	24866	2018-03-06-3577-PR2-008-A
30195	29696	2018-03-06-3577-PR2-008-B
24477	24140	2018-03-06-3578-PR2-0071-A
33539	33161	2018-03-06-3578-PR2-0071-B
1	0	2018-03-06-3579-PR2-0072-A
7	0	2018-03-06-3579-PR2-0072-B
44753	44053	2018-03-06-3595-PR2-009-A
47633	47101	2018-03-06-3595-PR2-009-B
2	0	2018-03-06-3604-PR2-0062-A
40	0	2018-03-06-3604-PR2-0062-B
12	0	2018-03-07-3642-PR2-008-B
1200	282	2018-03-07-3642-PR2-010-a
1838	337	2018-03-07-3642-PR2-010-b
1123	0	2018-03-12-3122-PR2-010-a
1480	0	2018-03-12-3122-PR2-010-b
42205	41719	2018-03-12-3190-PR2-009-A
44438	43884	2018-03-12-3190-PR2-009-B
81	73	2018-03-12-3202-PR2-008-A
38	28	2018-03-12-3202-PR2-008-B
869	570	2018-03-12-3202-PR2-010-a
402	34	2018-03-12-3202-PR2-010-b
58	0	2018-03-12-3205-PR2-009-A
7	0	2018-03-12-3205-PR2-009-B
1113	1	2018-03-12-3205-PR2-010-a
165	1	2018-03-12-3205-PR2-010-b
23521	23176	2018-03-12-3659-PR2-008-A
32460	32000	2018-03-12-3659-PR2-008-B
40930	40353	2018-03-13-3672-PR2-009-A
24	0	2018-03-13-3672-PR2-009-B
1679	1	2018-03-13-3672-PR2-011-a
44881	43647	2018-03-13-3672-PR2-011-b
1151	1	2018-03-13-3673-PR2-010-a
2200	4	2018-03-13-3673-PR2-010-b
40861	40324	2018-03-13-3685-PR2-009-A
177	3	2018-03-13-3685-PR2-009-B
1746	2	2018-03-13-3685-PR2-011-a
2679	1	2018-03-13-3685-PR2-011-b
36250	35760	2018-03-14-3708-PR2-009-A
69	27	2018-03-14-3708-PR2-009-B
687	1	2018-03-14-3708-PR2-011-a
17963	3975	2018-03-14-3708-PR2-011-b
46	0	2018-03-14-3709-PR2-009-A
24	0	2018-03-14-3709-PR2-009-B
28323	27491	2018-03-14-3709-PR2-010-a
1383	0	2018-03-14-3709-PR2-010-b
20	0	2018-03-14-3714-PR2-009-A
48431	47849	2018-03-14-3714-PR2-009-B
14874	7	2018-03-14-3714-PR2-011-a
21581	21095	2018-03-14-3714-PR2-011-b
8753	2	2018-03-14-3728-PR2-010-a
10689	1217	2018-03-14-3728-PR2-010-b
94	0	2018-03-19-3746-PR2-009-A
49115	48511	2018-03-19-3746-PR2-009-B
20825	20235	2018-03-19-3746-PR2-010-a
22624	21726	2018-03-19-3746-PR2-010-b
41245	40769	2018-03-19-3747-PR2-009-A
48573	48038	2018-03-19-3747-PR2-009-B
18917	18622	2018-03-19-3761-PR2-008-A
27931	27472	2018-03-19-3761-PR2-008-B
17658	17439	2018-03-19-3766-PR2-008-A
31721	31375	2018-03-19-3766-PR2-008-B
32149	31634	2018-03-19-3777-PR2-008-A
25373	24933	2018-03-19-3777-PR2-008-B
60339	59660	2018-03-20-3786-PR2-0061-A
70901	70106	2018-03-20-3786-PR2-0061-B
19926	19678	2018-03-20-3805-PR2-008-A
9847	9770	2018-03-20-3805-PR2-008-B
19298	18949	2018-03-20-3816-PR2-0072-A
32159	31657	2018-03-20-3816-PR2-0072-B
24637	24350	2018-03-20-3818-PR2-008-A
27875	27520	2018-03-20-3818-PR2-008-B
12967	5	2018-03-21-3079-PR2-010-a
16559	17	2018-03-21-3079-PR2-010-b
24639	24209	2018-03-21-3095-PR2-008-A
24336	24026	2018-03-21-3095-PR2-008-B
25184	24807	2018-03-21-3096-PR2-0071-A
25568	25235	2018-03-21-3096-PR2-0071-B
42893	42210	2018-03-21-3313-PR2-009-A
144	0	2018-03-21-3313-PR2-009-B
22582	21419	2018-03-21-3313-PR2-011-a
19130	18869	2018-03-21-3315-PR2-0061-A
14796	14543	2018-03-21-3315-PR2-0061-B
29514	29033	2018-03-21-3364-PR2-0071-A
31611	31191	2018-03-21-3364-PR2-0071-B
39698	39069	2018-03-21-3505-PR2-009-A
37209	36500	2018-03-21-3505-PR2-009-B
2537	0	2018-03-21-3506-PR2-010-a
19006	10	2018-03-21-3506-PR2-010-b
24079	23753	2018-03-21-3510-PR2-008-A
28510	28148	2018-03-21-3510-PR2-008-B
32792	32311	2018-03-26-3164-PR2-0072-A
33420	32957	2018-03-26-3164-PR2-0072-B
25443	25052	2018-03-27-3285-PR2-0071-A
25496	25177	2018-03-27-3285-PR2-0071-B
49847	49115	2018-03-27-3523-PR2-009-A
35026	34625	2018-03-27-3523-PR2-009-B
760	0	2018-04-02-3540-PR2-016-A
1150	1	2018-04-02-3540-PR2-016-B
1038	0	2018-04-02-3541-PR2-016-A
1627	1	2018-04-02-3541-PR2-016-B
19288	19005	2018-04-02-3542-PR2-012-A
14460	14240	2018-04-02-3542-PR2-012-B
40268	39550	2018-04-03-3604-PR2-012-A
30630	30182	2018-04-03-3604-PR2-012-B
47087	46448	2018-04-04-3546-PR2-016-A
52165	51319	2018-04-04-3546-PR2-016-B
1034	0	2018-04-04-3575-PR2-016-A
1013	1	2018-04-04-3575-PR2-016-B
825	0	2018-04-04-3577-PR2-016-A
1042	1	2018-04-04-3577-PR2-016-B
54252	53400	2018-04-04-3579-PR2-016-A
46491	45283	2018-04-04-3579-PR2-016-B
1693	199	2018-04-04-3642-PR2-016-A
48621	47923	2018-04-04-3642-PR2-016-B
41776	41403	2018-04-09-3122-PR2-014-A
39282	38891	2018-04-09-3122-PR2-014-B
58677	58040	2018-04-09-3148-PR2-016-A
59876	59243	2018-04-09-3148-PR2-016-B
42746	42225	2018-04-09-3190-PR2-014-A
34386	34043	2018-04-09-3190-PR2-014-B
51198	50519	2018-04-09-3205-PR2-016-A
43105	42567	2018-04-09-3205-PR2-016-B
46392	45723	2018-04-09-3659-PR2-016-A
41286	40712	2018-04-09-3659-PR2-016-B
804	0	2018-04-10-3672-PR2-016-A
1148	0	2018-04-10-3672-PR2-016-B
56757	56103	2018-04-10-3673-PR2-016-A
54486	53815	2018-04-10-3673-PR2-016-B
60587	59829	2018-04-10-3685-PR2-016-A
51697	51013	2018-04-10-3685-PR2-016-B
51765	51207	2018-04-11-3708-PR2-016-A
53659	53101	2018-04-11-3708-PR2-016-B
66764	65744	2018-04-11-3713-PR2-016-A
43318	42781	2018-04-11-3713-PR2-016-B
47640	46899	2018-04-11-3714-PR2-016-A
918	0	2018-04-11-3714-PR2-016-B
65455	64238	2018-04-16-3761-PR2-016-A
44931	44366	2018-04-16-3761-PR2-016-B
64290	63155	2018-04-16-3766-PR2-016-A
46444	45732	2018-04-16-3766-PR2-016-B
40075	39643	2018-04-16-3777-PR2-014-A
36770	36373	2018-04-16-3777-PR2-014-B
287	0	2018-04-17-3805-PR2-016-A
65250	64486	2018-04-17-3805-PR2-016-B
301	0	2018-04-18-3079-PR2-016-A
907	2	2018-04-18-3079-PR2-016-B
268	2	2018-04-18-3093-PR2-016-A
681	0	2018-04-18-3093-PR2-016-B
50333	49606	2018-04-18-3364-PR2-014-A
40326	39803	2018-04-18-3364-PR2-014-B
55476	54612	2018-04-18-3505-PR2-016-A
52700	52023	2018-04-18-3505-PR2-016-B
38292	37822	2018-04-18-3510-PR2-014-A
42415	41910	2018-04-18-3510-PR2-014-B
52708	52070	2018-04-18-3787-PR2-016-A
43520	42982	2018-04-18-3787-PR2-016-B
15573	15357	2018-04-23-3164-PR2-012-A
8776	8636	2018-04-23-3164-PR2-012-B
49907	49229	2018-04-24-3523-PR2-016-A
59319	58671	2018-04-24-3523-PR2-016-B
50287	49645	2018-04-24-3527-PR2-016-A
44452	43801	2018-04-24-3527-PR2-016-B
956	2	2018-04-25-3249-PR2-016-A
60001	59124	2018-04-25-3249-PR2-016-B
824	0	2018-04-30-3541-PR2-016-A
53749	52552	2018-04-30-3541-PR2-016-B
39692	39118	2018-04-30-3546-PR2-016-A
41209	40678	2018-04-30-3546-PR2-016-B
1184	1	2018-05-01-3575-PR2-016-A
1508	1	2018-05-01-3575-PR2-016-B
51128	50316	2018-05-01-3577-PR2-016-A
1239	0	2018-05-01-3577-PR2-016-B
45886	45071	2018-05-01-3579-PR2-016-A
48742	47539	2018-05-01-3579-PR2-016-B
887	0	2018-05-01-3580-PR2-016-A
552	0	2018-05-01-3580-PR2-016-B
18648	18364	2018-05-01-3604-PR2-012-A
13183	12979	2018-05-01-3604-PR2-012-B
1487	0	2018-05-01-3616-PR2-016-A
1517	0	2018-05-01-3616-PR2-016-B
737	0	2018-05-01-3642-PR2-016-A
1016	2	2018-05-01-3642-PR2-016-B
1334	1	2018-05-02-3622-PR2-016-A
1113	0	2018-05-02-3622-PR2-016-B
1022	0	2018-05-02-3630-PR2-016-A
40	1	2018-05-02-3630-PR2-016-B
45976	45475	2018-05-07-3122-PR2-016-A
41806	41351	2018-05-07-3122-PR2-016-B
57461	56740	2018-05-07-3148-PR2-016-A
64726	63983	2018-05-07-3148-PR2-016-B
48116	47612	2018-05-07-3190-PR2-016-A
50508	49929	2018-05-07-3190-PR2-016-B
59970	59260	2018-05-07-3205-PR2-016-A
44172	43666	2018-05-07-3205-PR2-016-B
43391	42900	2018-05-07-3659-PR2-014-A
45239	44704	2018-05-07-3659-PR2-014-B
48545	47917	2018-05-07-3665-PR2-016-A
50041	49386	2018-05-07-3665-PR2-016-B
39470	38990	2018-05-08-3672-PR2-016-A
49632	49121	2018-05-08-3672-PR2-016-B
54505	53877	2018-05-08-3673-PR2-016-A
973	0	2018-05-08-3673-PR2-016-B
38320	37948	2018-05-09-3708-PR2-014-A
32764	32464	2018-05-09-3708-PR2-014-B
52344	51656	2018-05-09-3709-PR2-016-A
45838	45258	2018-05-09-3709-PR2-016-B
47385	46853	2018-05-09-3713-PR2-014-A
48813	48301	2018-05-09-3713-PR2-014-B
56763	55713	2018-05-09-3714-PR2-016-A
993	0	2018-05-09-3714-PR2-016-B
54389	53776	2018-05-09-3728-PR2-016-A
42854	42339	2018-05-09-3728-PR2-016-B
46398	45986	2018-05-14-3747-PR2-014-A
47646	47234	2018-05-14-3747-PR2-014-B
37078	36457	2018-05-14-3761-PR2-015-A
1466	2	2018-05-14-3761-PR2-015-B
37272	36759	2018-05-14-3766-PR2-014-A
38868	38414	2018-05-14-3766-PR2-014-B
41029	40528	2018-05-14-3777-PR2-014-A
48332	47740	2018-05-14-3777-PR2-014-B
43122	42527	2018-05-15-3785-PR2-014-A
36383	35945	2018-05-15-3785-PR2-014-B
50948	50350	2018-05-15-3787-PR2-016-A
45135	44613	2018-05-15-3787-PR2-016-B
26293	25982	2018-05-15-3805-PR2-015-A
43949	43458	2018-05-15-3805-PR2-015-B
45518	44845	2018-05-15-3818-PR2-016-A
46101	45528	2018-05-15-3818-PR2-016-B
789	0	2018-05-16-3095-PR2-016-A
41974	40727	2018-05-16-3095-PR2-016-B
27963	27535	2018-05-16-3364-PR2-015-A
37553	36997	2018-05-16-3364-PR2-015-B
35677	34639	2018-05-16-3505-PR2-015-A
40095	39489	2018-05-16-3505-PR2-015-B
29468	29005	2018-05-16-3506-PR2-015-A
30948	30434	2018-05-16-3506-PR2-015-B
28541	28194	2018-05-16-3510-PR2-015-A
27193	26809	2018-05-16-3510-PR2-015-B
