unfiltered	filtered	sample
1168	1135	2017-10-24-3685-PR2-0062-A
1959	1874	2017-10-24-3685-PR2-0062-B
14949	5	2017-10-24-3698-PR2-010-a
17378	6	2017-10-24-3698-PR2-010-b
56426	55729	2017-10-25-3708-PR2-0062-A
79294	78281	2017-10-25-3708-PR2-0062-B
20997	20706	2017-10-25-3709-PR2-0062-A
759	702	2017-10-25-3709-PR2-0062-B
11995	2	2017-10-25-3712-PR2-010-a
11453	3	2017-10-25-3712-PR2-010-b
46	30	2017-10-25-3713-PR2-008-A
43	31	2017-10-25-3713-PR2-008-B
12789	12353	2017-10-25-3713-PR2-010-a
17073	16750	2017-10-25-3713-PR2-010-b
7442	7343	2017-10-25-3714-PR2-0062-A
25480	25174	2017-10-25-3714-PR2-0062-B
51114	50352	2017-10-25-3718-PR2-009-A
57614	56906	2017-10-25-3718-PR2-009-B
77629	76594	2017-10-25-3719-PR2-0061-A
19427	19044	2017-10-25-3719-PR2-0061-B
63823	62919	2017-10-25-3720-PR2-0062-A
58183	57412	2017-10-25-3720-PR2-0062-B
11745	11060	2017-10-25-3728-PR2-008-A
6877	6653	2017-10-25-3728-PR2-008-B
16325	15919	2017-10-25-3728-PR2-010-a
28012	27507	2017-10-25-3728-PR2-010-b
40145	39564	2017-10-30-3746-PR2-0072-A
43638	43089	2017-10-30-3746-PR2-0072-B
34335	33980	2017-10-30-3747-PR2-008-A
26781	26471	2017-10-30-3747-PR2-008-B
48724	47964	2017-10-30-3758-PR2-009-A
187	140	2017-10-30-3758-PR2-009-B
2426	0	2017-10-30-3758-PR2-011-a
10541	5	2017-10-30-3758-PR2-011-b
94467	92996	2017-10-30-3761-PR2-0061-A
113016	111507	2017-10-30-3761-PR2-0061-B
90	0	2017-10-30-3762-PR2-009-A
232	0	2017-10-30-3762-PR2-009-B
20993	20375	2017-10-30-3762-PR2-011-a
15210	4	2017-10-30-3762-PR2-011-b
26250	25888	2017-10-30-3766-PR2-0071-A
18224	17986	2017-10-30-3766-PR2-0071-B
14001	6	2017-10-30-3772-PR2-010-a
2222	0	2017-10-30-3772-PR2-010-b
110440	109061	2017-10-30-3773-PR2-0061-A
80176	79206	2017-10-30-3773-PR2-0061-B
24134	23822	2017-10-30-3777-PR2-008-A
25223	24861	2017-10-30-3777-PR2-008-B
2614	0	2017-10-30-3779-PR2-010-a
1272	2	2017-10-30-3779-PR2-010-b
47925	47267	2017-10-31-3785-PR2-009-A
47175	46534	2017-10-31-3785-PR2-009-B
15700	15503	2017-10-31-3786-PR2-0062-A
16243	16062	2017-10-31-3786-PR2-0062-B
44535	44029	2017-10-31-3787-PR2-009-A
46782	46216	2017-10-31-3787-PR2-009-B
19621	19379	2017-10-31-3805-PR2-0071-A
22412	22149	2017-10-31-3805-PR2-0071-B
1050	2	2017-10-31-3807-PR2-010-a
908	0	2017-10-31-3807-PR2-010-b
5194	5104	2017-10-31-3816-PR2-0062-A
8996	8857	2017-10-31-3816-PR2-0062-B
4306	4242	2017-10-31-3818-PR2-0061-A
44182	43668	2017-10-31-3818-PR2-0061-B
27576	27195	2017-11-01-3079-PR2-0072-A
38245	37739	2017-11-01-3079-PR2-0072-B
8	0	2017-11-01-3093-PR2-009-A
38545	37922	2017-11-01-3093-PR2-009-B
16681	16249	2017-11-01-3093-PR2-010-a
23069	22527	2017-11-01-3093-PR2-010-b
43	0	2017-11-01-3096-PR2-0061-A
9791	9598	2017-11-01-3096-PR2-0061-B
373	369	2017-11-01-3313-PR2-009-A
11408	11262	2017-11-01-3313-PR2-009-B
7904	1	2017-11-01-3313-PR2-011-b
13034	12842	2017-11-01-3315-PR2-0071-A
7	2	2017-11-01-3315-PR2-0071-B
