s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-23-3665	pfama1.001	53	1.0	71529(94.1%)	1	0	1.0	71529	2
2017-10-24-3673	pfama1.010	27	0.442623024187026	34716(75.1%)	2	0	0.6871659999999999	23422	2
2017-10-24-3673	pfama1.005	34	0.5573769758129739	34716(75.1%)	2	1	0.312834	11294	2
2017-10-24-3677	pfama1.001	53	0.7260265702741385	36293(85%)	2	0	0.83418836680332	22562	2
2017-10-24-3677	pfama1.014	20	0.27397342972586153	36293(85%)	2	1	0.16581163319668007	4484	2
2017-10-24-3684	pfama1.014	20	1.0	25054(89.2%)	1	0	1.0	25054	3
2017-10-25-3708	pfama1.005	34	1.0	125585(98.4%)	1	0	1.0	125585	2
2017-10-25-3709	pfama1.015	20	1.0	20229(98.9%)	1	0	1.0	20229	2
2017-10-25-3714	pfama1.004	38	0.6129030837669461	30255(97.7%)	2	0	0.9899313959725584	29927	2
2017-10-25-3714	pfama1.011	24	0.38709691623305387	30255(97.7%)	2	1	0.010068604027441613	328	2
2017-10-25-3718	pfama1.009	28	1.0	92908(91.5%)	1	0	1.0	92908	2
2017-10-25-3719	pfama1.005	34	1.0	89326(98%)	1	0	1.0	77938	2
2017-10-25-3720	pfama1.006	34	0.40476218112259704	112486(97.9%)	2	0	0.8470331256248723	51605	2
2017-10-25-3720	pfama1.002	50	0.595237818877403	112486(97.9%)	2	1	0.15296687437512782	9369	2
2017-10-25-3728	pfama1.004	38	1.0	50928(89.9%)	1	0	1.0	50928	4
2017-10-30-3746	pfama1.009	28	0.34567982670484504	70041(89.5%)	2	0	0.8262120000000001	57854	2
2017-10-30-3746	pfama1.001	53	0.654320173295155	70041(89.5%)	2	1	0.173788	12187	2
2017-10-30-3747	pfama1.002	50	1.0	51636(90.7%)	1	0	1.0	51636	2
2017-10-30-3761	pfama1.007	33	1.0	193315(98.7%)	1	0	1.0	193315	2
2017-10-30-3762	pfama1.008	32	1.0	15123(81.7%)	1	0	1.0	14228	1
2017-10-30-3766	pfama1.003	40	1.0	39266(94.7%)	1	0	1.0	39266	2
2017-10-30-3773	pfama1.003	40	0.5555552546294917	146600(81.7%)	2	0	0.723303	106351	2
2017-10-30-3773	pfama1.008	32	0.44444474537050827	146600(81.7%)	2	1	0.27669699999999997	40249	2
2017-10-30-3777	pfama1.007	33	1.0	39214(85%)	1	0	1.0	39214	2
2017-10-31-3786	pfama1.003	40	0.20618544266123245	29499(98.3%)	5	0	0.6836282050884616	20173	2
2017-10-31-3786	pfama1.002	50	0.2577318033265405	29499(98.3%)	5	1	0.16967305090191528	4991	2
2017-10-31-3786	pfama1.008	32	0.16494855515999357	29499(98.3%)	5	2	0.07859992357997707	2317	2
2017-10-31-3786	pfama1.004	38	0.19587637155917842	29499(98.3%)	5	3	0.04357101307130392	1295	2
2017-10-31-3786	pfama1.005	34	0.17525782729305517	29499(98.3%)	5	4	0.02452780735834221	723	2
2017-10-31-3787	pfama1.003	40	1.0	75820(89.4%)	1	0	1.0	75820	2
2017-10-31-3805	pfama1.002	50	1.0	37907(96.7%)	1	0	1.0	37907	2
2017-10-31-3816	pfama1.000	64	1.0	13100(98%)	1	0	1.0	13100	2
2017-10-31-3818	pfama1.010	27	1.0	45025(98.6%)	1	0	1.0	45025	2
2017-11-01-3079	pfama1.012	22	1.0	59388(96.3%)	1	0	1.0	59388	2
2017-11-01-3096	pfama1.006	34	0.32692296153851924	9069(98.8%)	4	0	0.8666792634432788	4609	1
2017-11-01-3096	pfama1.015	20	0.1923077788461106	9069(98.8%)	4	1	0.05283944191732035	281	1
2017-11-01-3096	pfama1.009	28	0.2692307403846298	9069(98.8%)	4	2	0.049830710918642676	265	1
2017-11-01-3096	pfama1.013	22	0.2115385192307404	9069(98.8%)	4	3	0.030650583720758115	163	1
2017-11-01-3313	pfama1.003	40	1.0	10334(93.8%)	1	0	1.0	10334	2
2017-11-01-3773	pfama1.008	32	0.44444474537050827	128842(80.3%)	2	0	0.504687	65042	2
2017-11-01-3773	pfama1.003	40	0.5555552546294917	128842(80.3%)	2	1	0.495313	63800	2
2017-11-06-3001	pfama1.003	40	1.0	18724(84.8%)	1	0	1.0	18724	2
2017-11-06-3055	pfama1.003	40	1.0	29(85.3%)	1	0	1.0	29	1
2017-11-06-3163	pfama1.001	53	1.0	77350(98.3%)	1	0	1.0	77350	2
2017-11-06-3164	pfama1.013	22	0.2558135949169506	83274(99.4%)	2	0	0.9514122854236856	78996	2
2017-11-06-3164	pfama1.000	64	0.7441864050830495	83274(99.4%)	2	1	0.04858771457631437	4278	2
2017-11-07-3284	pfama1.006	34	1.0	35375(97%)	1	0	1.0	32305	2
2017-11-07-3285	pfama1.011	24	0.4137932193816485	29(96.7%)	2	0	0.62069	18	1
2017-11-07-3285	pfama1.006	34	0.5862067806183515	29(96.7%)	2	1	0.37931	11	1
2017-11-07-3523	pfama1.004	38	1.0	30387(97.3%)	1	0	1.0	30387	2
2017-11-07-3527	pfama1.001	53	1.0	657(83.7%)	1	0	1.0	657	4
2017-11-08-3336	pfama1.005	34	1.0	18775(96%)	1	0	1.0	18775	4
2017-11-13-3541	pfama1.011	24	1.0	66959(93.8%)	1	0	1.0	66959	2
2017-11-13-3542	pfama1.000	64	1.0	94(83.2%)	1	0	1.0	54	2
2017-11-13-3547	pfama1.007	33	1.0	31579(95%)	1	0	1.0	31579	2
2017-11-13-3602	pfama1.000	64	0.34782699007556034	5055(96.2%)	4	0	0.66911290945367	1745	2
2017-11-13-3602	pfama1.007	33	0.17934784797376993	5055(96.2%)	4	1	0.24942109685576924	680	2
2017-11-13-3602	pfama1.001	53	0.2880425371278918	5055(96.2%)	4	2	0.04271454187024809	112	2
2017-11-13-3602	pfama1.005	34	0.18478262482277785	5055(96.2%)	4	3	0.038751451820312775	103	2
2017-11-13-3604	pfama1.013	22	0.22222244107748754	4366(52.8%)	3	0	0.512869	1864	2
2017-11-13-3604	pfama1.010	27	0.2727274517906716	4366(52.8%)	3	1	0.34066700000000005	1806	2
2017-11-13-3604	pfama1.002	50	0.505050107131841	4366(52.8%)	3	2	0.14646400000000004	696	2
