s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-25-3714	pfama1.004	38	0.6129030837669461	30255(97.7%)	2	0	0.9899313959725584	29927	2
2017-10-25-3714	pfama1.011	24	0.38709691623305387	30255(97.7%)	2	1	0.010068604027441613	328	2
2017-10-25-3718	pfama1.009	28	1.0	92908(91.5%)	1	0	1.0	92908	2
2017-10-25-3719	pfama1.005	34	0.6800002496000549	89326(98%)	2	0	0.859664	77938	2
2017-10-25-3719	pfama1.016	16	0.3199997503999451	89326(98%)	2	1	0.140336	11388	2
2017-10-25-3720	pfama1.006	34	0.34000025740015705	112486(97.9%)	3	0	0.45944004594400456	51605	2
2017-10-25-3720	pfama1.016	16	0.15999993759996192	112486(97.9%)	3	1	0.45758904575890463	51512	2
2017-10-25-3720	pfama1.002	50	0.49999980499988106	112486(97.9%)	3	2	0.08297090829709083	9369	2
2017-10-25-3728	pfama1.004	38	1.0	50928(89.9%)	1	0	1.0	50928	4
2017-10-30-3746	pfama1.009	28	0.34567982670484504	70041(89.5%)	2	0	0.8262120000000001	57854	2
2017-10-30-3746	pfama1.001	53	0.654320173295155	70041(89.5%)	2	1	0.173788	12187	2
2017-10-30-3747	pfama1.002	50	1.0	51636(90.7%)	1	0	1.0	51636	2
2017-10-30-3761	pfama1.007	33	1.0	193315(98.7%)	1	0	1.0	193315	2
2017-10-30-3762	pfama1.008	32	0.9696970055096353	15123(81.7%)	2	0	0.9912910183682685	14228	1
2017-10-30-3762	pfama1.106	1	0.03030299449036463	15123(81.7%)	2	1	0.008708981631731528	125	1
2017-10-30-3766	pfama1.003	40	1.0	39266(94.7%)	1	0	1.0	39266	2
2017-10-30-3773	pfama1.003	40	0.5555552546294917	146600(81.7%)	2	0	0.723303	106351	2
2017-10-30-3773	pfama1.008	32	0.44444474537050827	146600(81.7%)	2	1	0.27669699999999997	40249	2
2017-10-30-3777	pfama1.007	33	1.0	39214(85%)	1	0	1.0	39214	2
2017-10-31-3786	pfama1.003	40	0.20618544266123245	29499(98.3%)	5	0	0.6836282050884616	20173	2
2017-10-31-3786	pfama1.002	50	0.2577318033265405	29499(98.3%)	5	1	0.16967305090191528	4991	2
2017-10-31-3786	pfama1.008	32	0.16494855515999357	29499(98.3%)	5	2	0.07859992357997707	2317	2
2017-10-31-3786	pfama1.004	38	0.19587637155917842	29499(98.3%)	5	3	0.04357101307130392	1295	2
2017-10-31-3786	pfama1.005	34	0.17525782729305517	29499(98.3%)	5	4	0.02452780735834221	723	2
2017-10-31-3787	pfama1.003	40	1.0	75820(89.4%)	1	0	1.0	75820	2
2017-10-31-3805	pfama1.002	50	1.0	37907(96.7%)	1	0	1.0	37907	2
2017-10-31-3818	pfama1.010	27	1.0	45025(98.6%)	1	0	1.0	45025	2
2017-11-01-3093	pfama1.033	5	1.0	61649(86.5%)	1	0	1.0	61649	3
2017-11-01-3096	pfama1.006	34	0.32692296153851924	9069(98.8%)	4	0	0.8666792634432788	4609	1
2017-11-01-3096	pfama1.015	20	0.1923077788461106	9069(98.8%)	4	1	0.05283944191732035	281	1
2017-11-01-3096	pfama1.009	28	0.2692307403846298	9069(98.8%)	4	2	0.049830710918642676	265	1
2017-11-01-3096	pfama1.013	22	0.2115385192307404	9069(98.8%)	4	3	0.030650583720758115	163	1
2017-11-01-3313	pfama1.003	40	1.0	10334(93.8%)	1	0	1.0	10334	2
2017-11-01-3364	pfama1.016	16	1.0	73308(93.6%)	1	0	1.0	73308	2
2017-11-01-3505	pfama1.034	5	1.0	5757(87.4%)	1	0	1.0	5757	4
2017-11-01-3773	pfama1.008	32	0.44444474537050827	128842(80.3%)	2	0	0.504687	65042	2
