total	mapped	paired	sample
30952	645	628	2017-10-23-3649-PR2-010-a
8416	295	292	2017-10-23-3649-PR2-010-b
85174	84525	83992	2017-10-23-3659-PR2-009-A
94040	93400	92900	2017-10-23-3659-PR2-009-B
58550	58158	57828	2017-10-23-3665-PR2-0072-A
103746	103056	102468	2017-10-23-3665-PR2-0072-B
2	0	0	2017-10-24-3672-PR2-0071-A
42	26	26	2017-10-24-3672-PR2-0071-B
46500	46218	45980	2017-10-24-3673-PR2-008-A
53044	52665	52342	2017-10-24-3673-PR2-008-B
44322	44106	43920	2017-10-24-3677-PR2-0071-A
46820	46417	46078	2017-10-24-3677-PR2-0071-B
19436	38	26	2017-10-24-3680-PR2-010-a
29132	36	20	2017-10-24-3680-PR2-010-b
2	0	0	2017-10-24-3684-PR2-009-A
20276	20074	19908	2017-10-24-3684-PR2-009-B
40754	38584	38316	2017-10-24-3684-PR2-011-a
4934	1796	1770	2017-10-24-3684-PR2-011-b
2336	2278	2270	2017-10-24-3685-PR2-0062-A
3918	3770	3748	2017-10-24-3685-PR2-0062-B
29898	15	10	2017-10-24-3698-PR2-010-a
34756	21	10	2017-10-24-3698-PR2-010-b
112852	112102	111458	2017-10-25-3708-PR2-0062-A
158588	157512	156562	2017-10-25-3708-PR2-0062-B
41994	41639	41412	2017-10-25-3709-PR2-0062-A
1518	1418	1404	2017-10-25-3709-PR2-0062-B
23990	8	4	2017-10-25-3712-PR2-010-a
22906	15	4	2017-10-25-3712-PR2-010-b
92	60	60	2017-10-25-3713-PR2-008-A
86	62	62	2017-10-25-3713-PR2-008-B
25578	24880	24706	2017-10-25-3713-PR2-010-a
34146	33695	33500	2017-10-25-3713-PR2-010-b
14884	14781	14686	2017-10-25-3714-PR2-0062-A
50960	50640	50348	2017-10-25-3714-PR2-0062-B
102228	101363	100704	2017-10-25-3718-PR2-009-A
115228	114432	113812	2017-10-25-3718-PR2-009-B
155258	154100	153188	2017-10-25-3719-PR2-0061-A
38854	38309	38088	2017-10-25-3719-PR2-0061-B
127646	126668	125838	2017-10-25-3720-PR2-0062-A
116366	115539	114824	2017-10-25-3720-PR2-0062-B
23490	22261	22118	2017-10-25-3728-PR2-008-A
13754	13394	13306	2017-10-25-3728-PR2-008-B
32650	32165	31838	2017-10-25-3728-PR2-010-a
56024	55446	55014	2017-10-25-3728-PR2-010-b
80290	79675	79128	2017-10-30-3746-PR2-0072-A
87276	86689	86178	2017-10-30-3746-PR2-0072-B
68670	68306	67960	2017-10-30-3747-PR2-008-A
53562	53242	52942	2017-10-30-3747-PR2-008-B
97448	96543	95928	2017-10-30-3758-PR2-009-A
374	281	280	2017-10-30-3758-PR2-009-B
4852	2	0	2017-10-30-3758-PR2-011-a
21082	31	8	2017-10-30-3758-PR2-011-b
188934	187325	185992	2017-10-30-3761-PR2-0061-A
226032	224346	223014	2017-10-30-3761-PR2-0061-B
180	0	0	2017-10-30-3762-PR2-009-A
464	1	0	2017-10-30-3762-PR2-009-B
41986	41216	40750	2017-10-30-3762-PR2-011-a
30420	21	8	2017-10-30-3762-PR2-011-b
52500	52114	51776	2017-10-30-3766-PR2-0071-A
36448	36187	35972	2017-10-30-3766-PR2-0071-B
28002	23	12	2017-10-30-3772-PR2-010-a
4444	1	0	2017-10-30-3772-PR2-010-b
220880	219364	218122	2017-10-30-3773-PR2-0061-A
160352	159278	158412	2017-10-30-3773-PR2-0061-B
48268	47933	47644	2017-10-30-3777-PR2-008-A
50446	50056	49722	2017-10-30-3777-PR2-008-B
5228	1	0	2017-10-30-3779-PR2-010-a
2544	4	4	2017-10-30-3779-PR2-010-b
95850	95078	94534	2017-10-31-3785-PR2-009-A
94350	93628	93068	2017-10-31-3785-PR2-009-B
31400	31199	31006	2017-10-31-3786-PR2-0062-A
32486	32301	32124	2017-10-31-3786-PR2-0062-B
89070	88521	88058	2017-10-31-3787-PR2-009-A
93564	92942	92432	2017-10-31-3787-PR2-009-B
39242	38980	38758	2017-10-31-3805-PR2-0071-A
44824	44549	44298	2017-10-31-3805-PR2-0071-B
2100	6	4	2017-10-31-3807-PR2-010-a
1816	2	0	2017-10-31-3807-PR2-010-b
10388	10292	10208	2017-10-31-3816-PR2-0062-A
17992	17842	17714	2017-10-31-3816-PR2-0062-B
8612	8534	8484	2017-10-31-3818-PR2-0061-A
88364	87779	87336	2017-10-31-3818-PR2-0061-B
55152	54734	54390	2017-11-01-3079-PR2-0072-A
76490	75944	75478	2017-11-01-3079-PR2-0072-B
33362	32790	32498	2017-11-01-3093-PR2-010-a
46138	45486	45054	2017-11-01-3093-PR2-010-b
86	0	0	2017-11-01-3096-PR2-0061-A
19582	19352	19196	2017-11-01-3096-PR2-0061-B
746	742	738	2017-11-01-3313-PR2-009-A
22816	22649	22524	2017-11-01-3313-PR2-009-B
15808	6	2	2017-11-01-3313-PR2-011-b
26068	25864	25684	2017-11-01-3315-PR2-0071-A
14	4	4	2017-11-01-3315-PR2-0071-B
85024	84190	83638	2017-11-01-3364-PR2-009-A
82668	82060	81562	2017-11-01-3364-PR2-009-B
66	66	66	2017-11-01-3505-PR2-008-A
94	64	64	2017-11-01-3505-PR2-008-B
25828	12835	12720	2017-11-01-3505-PR2-010-a
4028	1404	1388	2017-11-01-3505-PR2-010-b
49906	49480	49184	2017-11-01-3510-PR2-008-A
32492	32238	32052	2017-11-01-3510-PR2-008-B
170368	169348	168444	2017-11-01-3773-PR2-0061-A
168648	167639	166752	2017-11-01-3773-PR2-0061-B
176	0	0	2017-11-06-3001-PR2-009-A
