total	mapped	paired	sample
15608	15416	15312	2017-12-19-3672-PR2-0061-A
14180	14015	13924	2017-12-19-3672-PR2-0061-B
4414	4373	4342	2017-12-19-3673-PR2-0072-A
5188	5154	5132	2017-12-19-3673-PR2-0072-B
3206	3060	3036	2017-12-19-3677-PR2-0061-A
3176	2967	2948	2017-12-19-3677-PR2-0061-B
62	0	0	2017-12-19-3681-PR2-009-A
28	0	0	2017-12-19-3681-PR2-009-B
2676	1	0	2017-12-19-3681-PR2-011-a
44780	43815	43492	2017-12-19-3681-PR2-011-b
60	0	0	2017-12-19-3685-PR2-0061-A
1094	965	962	2017-12-19-3685-PR2-0061-B
142274	141108	140262	2017-12-20-3708-PR2-0061-A
117680	116869	116260	2017-12-20-3708-PR2-0061-B
29428	29222	29034	2017-12-20-3709-PR2-0062-A
26680	26494	26334	2017-12-20-3709-PR2-0062-B
30192	29931	29776	2017-12-20-3713-PR2-008-A
50958	50564	50296	2017-12-20-3713-PR2-008-B
53032	52632	52292	2017-12-20-3714-PR2-0071-A
54626	54286	53998	2017-12-20-3714-PR2-0071-B
33344	32714	32454	2017-12-20-3719-PR2-010-a
36818	41	18	2017-12-20-3719-PR2-010-b
44504	44207	43942	2017-12-20-3720-PR2-008-A
49244	48927	48674	2017-12-20-3720-PR2-008-B
40552	40282	40036	2017-12-20-3728-PR2-008-A
59184	58825	58508	2017-12-20-3728-PR2-008-B
186	8	8	2017-12-27-3746-PR2-0062-A
188	101	98	2017-12-27-3746-PR2-0062-B
66	26	26	2017-12-27-3747-PR2-0061-A
194	150	150	2017-12-27-3747-PR2-0061-B
21668	8	2	2017-12-27-3754-PR2-010-a
18448	11	4	2017-12-27-3754-PR2-010-b
84	0	0	2017-12-27-3758-PR2-008-A
16	0	0	2017-12-27-3758-PR2-008-B
3502	2	2	2017-12-27-3758-PR2-010-a
32252	16302	16180	2017-12-27-3758-PR2-010-b
4	4	4	2017-12-27-3761-PR2-0062-A
40	38	38	2017-12-27-3761-PR2-0062-B
122	118	116	2017-12-27-3762-PR2-0072-A
412	407	406	2017-12-27-3762-PR2-0072-B
40	0	0	2017-12-27-3766-PR2-0061-A
224	144	144	2017-12-27-3766-PR2-0061-B
48638	48279	47970	2017-12-27-3777-PR2-0071-A
18664	18541	18434	2017-12-27-3777-PR2-0071-B
336	1	0	2017-12-27-3779-PR2-009-A
4	0	0	2017-12-27-3779-PR2-009-B
23536	9	4	2017-12-27-3779-PR2-010-a
6230	1	0	2017-12-27-3779-PR2-010-b
83640	83014	82470	2017-12-28-3785-PR2-0072-A
61186	60657	60222	2017-12-28-3785-PR2-0072-B
25908	25652	25496	2017-12-28-3786-PR2-0062-A
27896	27656	27488	2017-12-28-3786-PR2-0062-B
60426	60067	59756	2017-12-28-3787-PR2-0072-A
53780	53453	53174	2017-12-28-3787-PR2-0072-B
14	2	2	2017-12-28-3805-PR2-0072-A
412	401	394	2017-12-28-3805-PR2-0072-B
25398	5	2	2017-12-28-3807-PR2-010-a
18066	6	2	2017-12-28-3807-PR2-010-b
14576	14452	14352	2017-12-28-3816-PR2-0071-A
14288	14166	14070	2017-12-28-3816-PR2-0071-B
36810	36555	36340	2017-12-28-3818-PR2-0071-A
29014	28804	28622	2017-12-28-3818-PR2-0071-B
6	0	0	2017-12-29-3079-PR2-0072-A
6	6	6	2017-12-29-3079-PR2-0072-B
1738	1725	1714	2017-12-29-3093-PR2-008-A
2	0	0	2017-12-29-3093-PR2-008-B
48264	47552	47164	2017-12-29-3093-PR2-010-a
37896	37306	37010	2017-12-29-3093-PR2-010-b
1044	931	924	2017-12-29-3095-PR2-0062-A
460	330	328	2017-12-29-3095-PR2-0062-B
98	0	0	2017-12-29-3096-PR2-0061-A
8652	8526	8482	2017-12-29-3096-PR2-0061-B
192	42	42	2017-12-29-3315-PR2-0062-A
164	8	8	2017-12-29-3315-PR2-0062-B
122	16	16	2017-12-29-3364-PR2-0061-A
294	190	190	2017-12-29-3364-PR2-0061-B
44	0	0	2017-12-29-3504-PR2-009-A
2	0	0	2017-12-29-3504-PR2-009-B
21192	10	6	2017-12-29-3504-PR2-010-a
3818	45	44	2017-12-29-3504-PR2-010-b
54	0	0	2017-12-29-3508-PR2-009-B
10232	6	2	2017-12-29-3508-PR2-011-a
4320	1	0	2017-12-29-3508-PR2-011-b
346	0	0	2017-12-29-3510-PR2-008-A
18	0	0	2017-12-29-3510-PR2-008-B
3680	4	4	2017-12-29-3510-PR2-010-a
3094	0	0	2017-12-29-3510-PR2-010-b
50576	50102	49784	2018-01-03-3164-PR2-0062-A
30992	30561	30352	2018-01-03-3164-PR2-0062-B
83740	83045	82572	2018-01-04-3284-PR2-009-A
1010	300	298	2018-01-04-3284-PR2-009-B
28084	22	8	2018-01-04-3284-PR2-011-a
31522	31068	30826	2018-01-04-3284-PR2-011-b
115228	114098	113206	2018-01-04-3285-PR2-0061-A
72208	71597	71116	2018-01-04-3285-PR2-0061-B
55620	55217	54850	2018-01-04-3523-PR2-008-A
50714	50306	49958	2018-01-04-3523-PR2-008-B
18622	27	14	2018-01-04-3525-PR2-010-a
5080	3	0	2018-01-04-3525-PR2-010-b
96866	96180	95618	2018-01-04-3527-PR2-009-A
85200	84621	84146	2018-01-04-3527-PR2-009-B
26352	17	10	2018-01-05-3336-PR2-010-a
16568	23	14	2018-01-05-3336-PR2-010-b
2906	0	0	2018-01-08-3540-PR2-010-a
35476	34460	33968	2018-01-08-3540-PR2-010-b
36730	36156	35778	2018-01-08-3541-PR2-010-a
35310	34568	34122	2018-01-08-3541-PR2-010-b
39676	39394	39134	2018-01-08-3542-PR2-0071-A
53742	53427	53130	2018-01-08-3542-PR2-0071-B
105768	104990	104402	2018-01-08-3546-PR2-009-A
100256	99554	98982	2018-01-08-3546-PR2-009-B
30646	20	0	2018-01-09-3575-PR2-010-a
50986	49164	48642	2018-01-09-3575-PR2-010-b
17438	13	8	2018-01-09-3577-PR2-011-a
3952	0	0	2018-01-09-3577-PR2-011-b
91556	90941	90438	2018-01-09-3578-PR2-0072-A
64894	64482	64130	2018-01-09-3578-PR2-0072-B
35396	35064	34816	2018-01-09-3579-PR2-008-A
61246	60773	60416	2018-01-09-3579-PR2-008-B
19516	11	0	2018-01-09-3580-PR2-010-a
3020	1	0	2018-01-09-3580-PR2-010-b
14394	14276	14188	2018-01-09-3602-PR2-0071-A
62928	62518	62188	2018-01-09-3602-PR2-0071-B
117324	116328	115548	2018-01-09-3604-PR2-0062-A
95848	94682	93754	2018-01-09-3604-PR2-0062-B
53712	53301	52950	2018-01-09-3614-PR2-008-A
58326	58011	57736	2018-01-09-3614-PR2-008-B
492	0	0	2018-01-09-3615-PR2-008-A
52462	52065	51730	2018-01-09-3615-PR2-008-B
15276	14	4	2018-01-09-3615-PR2-010-a
27142	22	10	2018-01-09-3615-PR2-010-b
62892	62502	62174	2018-01-09-3616-PR2-0072-A
67358	66934	66568	2018-01-09-3616-PR2-0072-B
1692	1	0	2018-01-10-3627-PR2-010-a
3404	0	0	2018-01-10-3627-PR2-010-b
51414	51049	50738	2018-01-10-3630-PR2-0062-A
73460	72913	72448	2018-01-10-3630-PR2-0062-B
37390	37061	36766	2018-01-10-3635-PR2-008-A
53104	52735	52438	2018-01-10-3635-PR2-008-B
53084	52727	52408	2018-01-15-3122-PR2-008-A
49196	48805	48486	2018-01-15-3122-PR2-008-B
60	0	0	2018-01-15-3148-PR2-009-A
12	0	0	2018-01-15-3148-PR2-009-B
27616	27121	26808	2018-01-15-3148-PR2-010-a
6046	1	0	2018-01-15-3148-PR2-010-b
47562	47128	46780	2018-01-15-3154-PR2-0071-A
58488	58008	57624	2018-01-15-3154-PR2-0071-B
62302	61974	61662	2018-01-15-3190-PR2-0072-A
37798	37579	37378	2018-01-15-3190-PR2-0072-B
45262	44958	44752	2018-01-15-3658-PR2-008-A
55126	54829	54552	2018-01-15-3658-PR2-008-B
45824	45456	45164	2018-01-15-3659-PR2-008-A
57128	56680	56294	2018-01-15-3659-PR2-008-B
46116	45488	45196	2018-01-15-3665-PR2-008-A
56968	56484	56054	2018-01-15-3665-PR2-008-B
45538	45132	44852	2018-01-15-3825-PR2-008-A
55156	54545	54156	2018-01-15-3825-PR2-008-B
46846	46479	46150	2018-01-16-3672-PR2-008-A
53596	53232	52936	2018-01-16-3672-PR2-008-B
23860	23548	23318	2018-01-16-3677-PR2-010-a
46890	45812	45216	2018-01-16-3677-PR2-010-b
79398	78858	78384	2018-01-16-3685-PR2-0062-A
58290	57890	57568	2018-01-16-3685-PR2-0062-B
406	40	40	2018-01-17-3202-PR2-009-A
294	0	0	2018-01-17-3202-PR2-009-B
30158	29588	29304	2018-01-17-3202-PR2-010-a
36762	35977	35460	2018-01-17-3202-PR2-010-b
41806	41440	41124	2018-01-17-3205-PR2-008-A
57064	56667	56314	2018-01-17-3205-PR2-008-B
118202	117291	116540	2018-01-17-3709-PR2-009-A
84254	83582	83138	2018-01-17-3709-PR2-009-B
59728	59245	58824	2018-01-17-3713-PR2-0072-A
57740	57295	56934	2018-01-17-3713-PR2-0072-B
63534	63192	62882	2018-01-17-3714-PR2-0072-A
51292	50952	50666	2018-01-17-3714-PR2-0072-B
3200	5	4	2018-01-17-3723-PR2-010-a
27112	13	4	2018-01-17-3723-PR2-010-b
1722	5	4	2018-01-17-3728-PR2-009-A
85728	85192	84724	2018-01-17-3728-PR2-009-B
23286	17	8	2018-01-17-3728-PR2-010-a
51386	50431	49992	2018-01-17-3728-PR2-010-b
42040	41742	41494	2018-01-22-3746-PR2-008-A
53272	52893	52574	2018-01-22-3746-PR2-008-B
73654	73197	72800	2018-01-22-3747-PR2-009-A
63116	62652	62322	2018-01-22-3747-PR2-009-B
82748	82081	81508	2018-01-22-3761-PR2-0072-A
94688	94041	93484	2018-01-22-3761-PR2-0072-B
98006	97363	96862	2018-01-22-3762-PR2-009-A
90986	90466	90028	2018-01-22-3762-PR2-009-B
40064	39783	39544	2018-01-22-3766-PR2-008-A
49694	49315	48968	2018-01-22-3766-PR2-008-B
93402	92634	92008	2018-01-22-3777-PR2-0072-A
57746	57376	57080	2018-01-22-3777-PR2-0072-B
21974	10	2	2018-01-22-3779-PR2-010-a
19222	20	6	2018-01-22-3779-PR2-010-b
105354	104735	104168	2018-01-23-3805-PR2-009-A
316	1	0	2018-01-23-3805-PR2-009-B
418000	413731	411018	2018-01-23-3805-PR2-011-a
732590	725345	720402	2018-01-23-3805-PR2-011-b
43042	42609	42290	2018-01-23-3815-PR2-008-A
59682	59151	58706	2018-01-23-3815-PR2-008-B
31668	31356	31124	2018-01-23-3816-PR2-008-A
48178	47813	47514	2018-01-23-3816-PR2-008-B
41632	41250	40902	2018-01-23-3818-PR2-008-A
53008	52651	52318	2018-01-23-3818-PR2-008-B
45918	45536	45182	2018-01-24-3079-PR2-008-A
54434	54037	53686	2018-01-24-3079-PR2-008-B
58512	61	18	2018-01-24-3093-PR2-010-a
22624	20	8	2018-01-24-3093-PR2-010-b
50234	49849	49518	2018-01-24-3095-PR2-0072-A
50946	50563	50234	2018-01-24-3095-PR2-0072-B
49130	48783	48488	2018-01-24-3096-PR2-0072-A
72726	72185	71710	2018-01-24-3096-PR2-0072-B
38884	38561	38286	2018-01-24-3315-PR2-008-A
63642	63239	62882	2018-01-24-3315-PR2-008-B
39150	38818	38554	2018-01-24-3364-PR2-008-A
67146	66514	66000	2018-01-24-3364-PR2-008-B
58134	57732	57398	2018-01-24-3505-PR2-0072-A
77982	77394	76874	2018-01-24-3505-PR2-0072-B
65786	65375	65082	2018-01-24-3510-PR2-008-A
70732	70175	69770	2018-01-24-3510-PR2-008-B
67490	66931	66574	2018-01-24-3785-PR2-008-A
75620	74982	74516	2018-01-24-3785-PR2-008-B
52422	52095	51804	2018-01-24-3786-PR2-0071-A
60062	59659	59322	2018-01-24-3786-PR2-0071-B
41502	41258	41032	2018-01-24-3787-PR2-008-A
55462	55143	54876	2018-01-24-3787-PR2-008-B
174542	172917	171680	2018-01-26-3154-PR2-0061-A
191336	189744	188556	2018-01-26-3154-PR2-0061-B
50338	49795	49348	2018-01-29-3164-PR2-0072-A
49556	49159	48836	2018-01-29-3164-PR2-0072-B
92120	91344	90804	2018-01-29-3521-PR2-009-A
66064	65486	65088	2018-01-29-3521-PR2-009-B
26852	26630	26436	2018-01-30-3285-PR2-0062-A
89194	88585	88042	2018-01-30-3285-PR2-0062-B
57236	56812	56440	2018-01-30-3523-PR2-008-A
58380	57981	57642	2018-01-30-3523-PR2-008-B
38780	38403	38104	2018-01-30-3525-PR2-008-A
195248	193557	192324	2018-01-30-3525-PR2-008-B
56	0	0	2018-01-30-3527-PR2-009-A
84810	84263	83818	2018-01-30-3527-PR2-009-B
34650	45	22	2018-01-30-3527-PR2-011-a
25350	28	10	2018-01-30-3527-PR2-011-b
58322	57994	57716	2018-01-30-3677-PR2-0072-A
55470	55119	54838	2018-01-30-3677-PR2-0072-B
103028	102304	101714	2018-02-05-3540-PR2-009-A
81256	80583	80062	2018-02-05-3540-PR2-009-B
97944	96988	96140	2018-02-05-3541-PR2-009-A
114372	113394	112552	2018-02-05-3541-PR2-009-B
59398	59009	58640	2018-02-05-3542-PR2-0062-A
57338	56916	56528	2018-02-05-3542-PR2-0062-B
350864	341562	337414	2018-02-06-3546-PR2-011-a
1872	0	0	2018-02-06-3546-PR2-011-b
87880	86741	86136	2018-02-06-3577-PR2-009-A
64	0	0	2018-02-06-3577-PR2-009-B
1618	0	0	2018-02-06-3577-PR2-011-b
56066	55657	55330	2018-02-06-3578-PR2-0071-A
63720	63226	62804	2018-02-06-3578-PR2-0071-B
98390	97498	96874	2018-02-06-3579-PR2-009-A
117684	116707	115994	2018-02-06-3579-PR2-009-B
64	0	0	2018-02-06-3595-PR2-009-A
136	0	0	2018-02-06-3595-PR2-009-B
5250	3	0	2018-02-06-3595-PR2-011-a
2690	0	0	2018-02-06-3595-PR2-011-b
50954	50624	50358	2018-02-06-3602-PR2-0072-A
56086	55727	55426	2018-02-06-3602-PR2-0072-B
531718	523710	519368	2018-02-06-3614-PR2-011-a
325992	318430	315322	2018-02-06-3614-PR2-011-b
39802	39543	39326	2018-02-06-3616-PR2-008-A
61004	60579	60214	2018-02-06-3616-PR2-008-B
113156	112315	111564	2018-02-06-3617-PR2-0062-A
100206	99502	98882	2018-02-06-3617-PR2-0062-B
37754	37499	37270	2018-02-07-3630-PR2-008-A
57612	57255	56954	2018-02-07-3630-PR2-008-B
112476	111557	110740	2018-02-07-3635-PR2-0061-A
144522	143469	142518	2018-02-07-3635-PR2-0061-B
76704	76093	75608	2018-02-07-3642-PR2-009-A
102	0	0	2018-02-07-3642-PR2-009-B
5580	3	0	2018-02-07-3642-PR2-011-a
43436	42741	42404	2018-02-07-3642-PR2-011-b
86958	86444	85972	2018-02-12-3122-PR2-009-A
78664	78096	77716	2018-02-12-3122-PR2-009-B
3910	3	2	2018-02-12-3148-PR2-010-a
4784	3	2	2018-02-12-3148-PR2-010-b
42138	41163	40716	2018-02-12-3154-PR2-011-a
18814	15	4	2018-02-12-3154-PR2-011-b
78982	78442	77964	2018-02-12-3190-PR2-0072-A
76796	76376	75984	2018-02-12-3190-PR2-0072-B
40482	40222	39998	2018-02-12-3202-PR2-0072-A
55816	55447	55140	2018-02-12-3202-PR2-0072-B
40092	39768	39506	2018-02-12-3205-PR2-008-A
57864	57514	57194	2018-02-12-3205-PR2-008-B
65920	65481	65122	2018-02-12-3659-PR2-0062-A
49090	48701	48350	2018-02-12-3659-PR2-0062-B
72732	72310	71972	2018-02-12-3665-PR2-0072-A
68284	67780	67362	2018-02-12-3665-PR2-0072-B
111224	110603	110048	2018-02-13-3672-PR2-009-A
74952	74422	74018	2018-02-13-3672-PR2-009-B
156	0	0	2018-02-13-3673-PR2-009-A
70	0	0	2018-02-13-3673-PR2-009-B
19696	14	4	2018-02-13-3673-PR2-010-a
3426	4	2	2018-02-13-3673-PR2-010-b
37050	36791	36618	2018-02-13-3677-PR2-008-A
46316	46014	45756	2018-02-13-3677-PR2-008-B
53766	53414	53124	2018-02-13-3685-PR2-0071-A
56710	56329	56010	2018-02-13-3685-PR2-0071-B
127698	126837	126072	2018-02-14-3708-PR2-0062-A
116364	115538	114812	2018-02-14-3708-PR2-0062-B
63880	63488	63152	2018-02-14-3709-PR2-0072-A
72438	71921	71488	2018-02-14-3709-PR2-0072-B
98042	97221	96612	2018-02-14-3713-PR2-009-A
90554	89927	89460	2018-02-14-3713-PR2-009-B
47058	46674	46356	2018-02-14-3714-PR2-008-A
58962	58479	58088	2018-02-14-3714-PR2-008-B
5128	2	2	2018-02-14-3724-PR2-010-a
17004	12	6	2018-02-14-3724-PR2-010-b
86	0	0	2018-02-14-3728-PR2-009-A
91022	90389	89874	2018-02-14-3728-PR2-009-B
43812	43165	42754	2018-02-14-3728-PR2-011-a
38442	37937	37584	2018-02-14-3728-PR2-011-b
46724	46437	46232	2018-02-19-3746-PR2-008-A
61226	60839	60498	2018-02-19-3746-PR2-008-B
46304	46062	45830	2018-02-19-3747-PR2-008-A
44480	44204	43954	2018-02-19-3747-PR2-008-B
32850	18	8	2018-02-19-3758-PR2-010-a
26038	30	18	2018-02-19-3758-PR2-010-b
47780	47386	47060	2018-02-19-3761-PR2-0071-A
56078	55693	55352	2018-02-19-3761-PR2-0071-B
45936	44944	44332	2018-02-19-3762-PR2-010-a
23140	16	4	2018-02-19-3762-PR2-010-b
54804	54489	54230	2018-02-19-3766-PR2-0072-A
64956	64480	64050	2018-02-19-3766-PR2-0072-B
23576	9	2	2018-02-19-3774-PR2-010-a
3794	3	0	2018-02-19-3774-PR2-010-b
55490	54919	54546	2018-02-19-3777-PR2-008-A
53132	52735	52414	2018-02-19-3777-PR2-008-B
2	2	2	2018-02-20-3785-PR2-009-A
88034	87208	86664	2018-02-20-3785-PR2-009-B
462116	438651	431700	2018-02-20-3785-PR2-011-a
6480	0	0	2018-02-20-3785-PR2-011-b
50768	50510	50296	2018-02-20-3786-PR2-0071-A
43534	43231	42998	2018-02-20-3786-PR2-0071-B
42130	41846	41604	2018-02-20-3787-PR2-008-A
55676	55332	55024	2018-02-20-3787-PR2-008-B
31578	31376	31196	2018-02-20-3805-PR2-008-A
54850	54527	54242	2018-02-20-3805-PR2-008-B
87530	86879	86322	2018-02-21-3079-PR2-009-A
108744	107961	107314	2018-02-21-3079-PR2-009-B
80052	79415	78998	2018-02-21-3093-PR2-009-A
87288	86620	86142	2018-02-21-3093-PR2-009-B
45964	45592	45282	2018-02-21-3095-PR2-0071-A
49148	48729	48352	2018-02-21-3095-PR2-0071-B
42468	42075	41768	2018-02-21-3096-PR2-008-A
50222	49857	49538	2018-02-21-3096-PR2-008-B
62072	61624	61258	2018-02-21-3315-PR2-0072-A
60808	60360	59984	2018-02-21-3315-PR2-0072-B
65498	65002	64564	2018-02-21-3364-PR2-0072-A
66434	65892	65422	2018-02-21-3364-PR2-0072-B
34278	33510	33254	2018-02-21-3505-PR2-010-a
25046	12	2	2018-02-21-3505-PR2-010-b
113040	112301	111740	2018-02-21-3510-PR2-009-A
113458	112728	112114	2018-02-21-3510-PR2-009-B
54978	54564	54242	2018-02-21-3816-PR2-0071-A
45522	45063	44686	2018-02-21-3816-PR2-0071-B
78358	77821	77360	2018-02-21-3818-PR2-0072-A
81034	80584	80216	2018-02-21-3818-PR2-0072-B
76100	75494	74996	2018-02-26-3164-PR2-0072-A
49202	48751	48404	2018-02-26-3164-PR2-0072-B
94436	93633	92960	2018-02-27-3285-PR2-0061-A
71090	70449	69934	2018-02-27-3285-PR2-0061-B
88838	88279	87814	2018-02-27-3523-PR2-009-A
95162	94625	94174	2018-02-27-3523-PR2-009-B
84708	84023	83570	2018-02-27-3525-PR2-009-A
121662	120633	119996	2018-02-27-3525-PR2-009-B
33592	32841	32596	2018-02-27-3527-PR2-010-a
24304	7	2	2018-02-27-3527-PR2-010-b
22214	999	976	2018-02-28-3535-PR2-010-a
3984	2	0	2018-02-28-3535-PR2-010-b
24018	11	2	2018-03-05-3541-PR2-010-a
31350	20	6	2018-03-05-3541-PR2-010-b
78970	78269	77760	2018-03-05-3542-PR2-0062-A
73284	72717	72286	2018-03-05-3542-PR2-0062-B
4010	1	0	2018-03-05-3546-PR2-011-a
4192	3	0	2018-03-05-3546-PR2-011-b
50504	50071	49732	2018-03-06-3577-PR2-008-A
60390	59825	59392	2018-03-06-3577-PR2-008-B
48954	48561	48280	2018-03-06-3578-PR2-0071-A
67078	66662	66322	2018-03-06-3578-PR2-0071-B
2	0	0	2018-03-06-3579-PR2-0072-A
14	0	0	2018-03-06-3579-PR2-0072-B
89506	88599	88106	2018-03-06-3595-PR2-009-A
95266	94677	94202	2018-03-06-3595-PR2-009-B
4	0	0	2018-03-06-3604-PR2-0062-A
80	0	0	2018-03-06-3604-PR2-0062-B
24	0	0	2018-03-07-3642-PR2-008-B
2400	570	564	2018-03-07-3642-PR2-010-a
3676	679	674	2018-03-07-3642-PR2-010-b
2246	0	0	2018-03-12-3122-PR2-010-a
2960	1	0	2018-03-12-3122-PR2-010-b
84410	83899	83438	2018-03-12-3190-PR2-009-A
88876	88300	87768	2018-03-12-3190-PR2-009-B
162	149	146	2018-03-12-3202-PR2-008-A
76	56	56	2018-03-12-3202-PR2-008-B
1738	1151	1140	2018-03-12-3202-PR2-010-a
804	68	68	2018-03-12-3202-PR2-010-b
2226	3	2	2018-03-12-3205-PR2-010-a
330	2	2	2018-03-12-3205-PR2-010-b
47042	46668	46352	2018-03-12-3659-PR2-008-A
64920	64429	64000	2018-03-12-3659-PR2-008-B
81860	81190	80706	2018-03-13-3672-PR2-009-A
48	1	0	2018-03-13-3672-PR2-009-B
3358	4	2	2018-03-13-3672-PR2-011-a
89762	87922	87294	2018-03-13-3672-PR2-011-b
2302	3	2	2018-03-13-3673-PR2-010-a
4400	11	8	2018-03-13-3673-PR2-010-b
81722	81106	80648	2018-03-13-3685-PR2-009-A
354	6	6	2018-03-13-3685-PR2-009-B
3492	5	4	2018-03-13-3685-PR2-011-a
5358	4	2	2018-03-13-3685-PR2-011-b
72500	71951	71520	2018-03-14-3708-PR2-009-A
138	54	54	2018-03-14-3708-PR2-009-B
1374	2	2	2018-03-14-3708-PR2-011-a
35926	8012	7950	2018-03-14-3708-PR2-011-b
92	1	0	2018-03-14-3709-PR2-009-A
48	0	0	2018-03-14-3709-PR2-009-B
56646	55652	54982	2018-03-14-3709-PR2-010-a
2766	0	0	2018-03-14-3709-PR2-010-b
40	0	0	2018-03-14-3714-PR2-009-A
96862	96233	95698	2018-03-14-3714-PR2-009-B
29748	33	14	2018-03-14-3714-PR2-011-a
43162	42552	42190	2018-03-14-3714-PR2-011-b
17506	12	4	2018-03-14-3728-PR2-010-a
21378	2468	2434	2018-03-14-3728-PR2-010-b
188	0	0	2018-03-19-3746-PR2-009-A
98230	97562	97022	2018-03-19-3746-PR2-009-B
41650	40950	40470	2018-03-19-3746-PR2-010-a
45248	43963	43452	2018-03-19-3746-PR2-010-b
82490	81993	81538	2018-03-19-3747-PR2-009-A
97146	96582	96076	2018-03-19-3747-PR2-009-B
37834	37515	37244	2018-03-19-3761-PR2-008-A
55862	55372	54944	2018-03-19-3761-PR2-008-B
35316	35060	34878	2018-03-19-3766-PR2-008-A
63442	63078	62750	2018-03-19-3766-PR2-008-B
64298	63722	63268	2018-03-19-3777-PR2-008-A
50746	50267	49866	2018-03-19-3777-PR2-008-B
120678	119955	119320	2018-03-20-3786-PR2-0061-A
141802	140934	140212	2018-03-20-3786-PR2-0061-B
39852	39593	39356	2018-03-20-3805-PR2-008-A
19694	19614	19540	2018-03-20-3805-PR2-008-B
38596	38219	37898	2018-03-20-3816-PR2-0072-A
64318	63752	63314	2018-03-20-3816-PR2-0072-B
49274	48952	48700	2018-03-20-3818-PR2-008-A
55750	55376	55040	2018-03-20-3818-PR2-008-B
25934	19	8	2018-03-21-3079-PR2-010-a
33118	45	32	2018-03-21-3079-PR2-010-b
49278	48783	48418	2018-03-21-3095-PR2-008-A
48672	48333	48052	2018-03-21-3095-PR2-008-B
50368	49956	49614	2018-03-21-3096-PR2-0071-A
51136	50785	50470	2018-03-21-3096-PR2-0071-B
85786	85040	84420	2018-03-21-3313-PR2-009-A
288	0	0	2018-03-21-3313-PR2-009-B
45164	43500	42838	2018-03-21-3313-PR2-011-a
38260	37951	37738	2018-03-21-3315-PR2-0061-A
29592	29282	29086	2018-03-21-3315-PR2-0061-B
59028	58507	58066	2018-03-21-3364-PR2-0071-A
63222	62771	62382	2018-03-21-3364-PR2-0071-B
79396	78719	78138	2018-03-21-3505-PR2-009-A
74418	73530	73000	2018-03-21-3505-PR2-009-B
5074	1	0	2018-03-21-3506-PR2-010-a
38012	31	18	2018-03-21-3506-PR2-010-b
48158	47797	47506	2018-03-21-3510-PR2-008-A
57020	56612	56296	2018-03-21-3510-PR2-008-B
65584	65047	64622	2018-03-26-3164-PR2-0072-A
66840	66338	65914	2018-03-26-3164-PR2-0072-B
50886	50472	50104	2018-03-27-3285-PR2-0071-A
50992	50645	50354	2018-03-27-3285-PR2-0071-B
99694	98902	98230	2018-03-27-3523-PR2-009-A
70052	69629	69250	2018-03-27-3523-PR2-009-B
38576	38281	38010	2018-04-02-3542-PR2-012-A
28920	28692	28480	2018-04-02-3542-PR2-012-B
80536	79775	79100	2018-04-03-3604-PR2-012-A
61260	60774	60364	2018-04-03-3604-PR2-012-B
31146	30902	30714	2018-04-23-3164-PR2-012-A
17552	17399	17272	2018-04-23-3164-PR2-012-B
37296	36988	36728	2018-05-01-3604-PR2-012-A
26366	26149	25958	2018-05-01-3604-PR2-012-B
146	1	0	2018-05-03-3541-PR2-009-A
96036	95162	94436	2018-05-03-3541-PR2-009-B
6	0	0	2018-05-03-3546-PR2-009-A
712	0	0	2018-05-03-3546-PR2-009-B
23320	23074	22842	2018-05-21-3808-PR2-012-A
22822	22616	22432	2018-05-21-3808-PR2-012-B
89120	88420	87764	2018-05-28-3393-PR2-012-A
33852	33605	33374	2018-05-28-3393-PR2-012-B
94	0	0	2018-06-02-3546-PR2-009-A
78	0	0	2018-06-02-3546-PR2-009-B
122	0	0	2018-06-02-3614-PR2-009-A
30	0	0	2018-06-02-3614-PR2-009-B
55296	54860	54490	2018-06-07-3782-PR2-012-A
23038	22720	22472	2018-06-07-3782-PR2-012-B
5406	5372	5340	2018-06-13-3081-PR2-012-A
3388	3371	3356	2018-06-13-3081-PR2-012-B
164	163	162	2018-06-19-3285-PR2-012-A
80356	79333	78394	2018-06-20-3555-PR2-012-A
103958	102964	102076	2018-06-20-3555-PR2-012-B
10426	10336	10254	2018-06-25-3570-PR2-012-A
1038	1026	1016	2018-06-25-3570-PR2-012-B
33580	33262	32970	2018-06-25-3685-PR2-012-A
48402	48051	47748	2018-06-25-3685-PR2-012-B
16488	16356	16246	2018-06-26-3604-PR2-012-A
12582	12470	12370	2018-06-26-3604-PR2-012-B
15932	15774	15630	2018-06-26-3825-PR2-012-A
37228	36901	36632	2018-06-26-3825-PR2-012-B
78474	77740	77106	2018-06-30-3046-PR2-012-A
39904	39578	39302	2018-06-30-3046-PR2-012-B
48770	48445	48164	2018-07-11-3081-PR2-012-A
26386	26186	25990	2018-07-11-3081-PR2-012-B
9256	9177	9104	2018-07-11-3364-PR2-012-A
13198	13054	12932	2018-07-11-3364-PR2-012-B
12102	12026	11956	2018-07-15-3149-PR2-012-A
74032	73603	73202	2018-07-15-3149-PR2-012-B
52912	52478	52086	2018-07-19-3441-PR2-012-A
40624	40374	40142	2018-07-19-3441-PR2-012-B
66830	66144	65566	2018-08-01-3720-PR2-012-A
78372	77736	77212	2018-08-01-3720-PR2-012-B
4694	4650	4610	2018-08-14-3285-PR2-012-A
