filtered	sample
19044	2017-10-25-3719-PR2-0061-B
62919	2017-10-25-3720-PR2-0062-A
57412	2017-10-25-3720-PR2-0062-B
11060	2017-10-25-3728-PR2-008-A
6653	2017-10-25-3728-PR2-008-B
15919	2017-10-25-3728-PR2-010-a
27507	2017-10-25-3728-PR2-010-b
39564	2017-10-30-3746-PR2-0072-A
43089	2017-10-30-3746-PR2-0072-B
33980	2017-10-30-3747-PR2-008-A
26471	2017-10-30-3747-PR2-008-B
47964	2017-10-30-3758-PR2-009-A
140	2017-10-30-3758-PR2-009-B
0	2017-10-30-3758-PR2-011-a
5	2017-10-30-3758-PR2-011-b
92996	2017-10-30-3761-PR2-0061-A
111507	2017-10-30-3761-PR2-0061-B
0	2017-10-30-3762-PR2-009-A
0	2017-10-30-3762-PR2-009-B
20375	2017-10-30-3762-PR2-011-a
4	2017-10-30-3762-PR2-011-b
25888	2017-10-30-3766-PR2-0071-A
17986	2017-10-30-3766-PR2-0071-B
6	2017-10-30-3772-PR2-010-a
0	2017-10-30-3772-PR2-010-b
109061	2017-10-30-3773-PR2-0061-A
79206	2017-10-30-3773-PR2-0061-B
23822	2017-10-30-3777-PR2-008-A
24861	2017-10-30-3777-PR2-008-B
0	2017-10-30-3779-PR2-010-a
2	2017-10-30-3779-PR2-010-b
47267	2017-10-31-3785-PR2-009-A
46534	2017-10-31-3785-PR2-009-B
15503	2017-10-31-3786-PR2-0062-A
16062	2017-10-31-3786-PR2-0062-B
44029	2017-10-31-3787-PR2-009-A
46216	2017-10-31-3787-PR2-009-B
19379	2017-10-31-3805-PR2-0071-A
22149	2017-10-31-3805-PR2-0071-B
2	2017-10-31-3807-PR2-010-a
0	2017-10-31-3807-PR2-010-b
5104	2017-10-31-3816-PR2-0062-A
8857	2017-10-31-3816-PR2-0062-B
4242	2017-10-31-3818-PR2-0061-A
43668	2017-10-31-3818-PR2-0061-B
27195	2017-11-01-3079-PR2-0072-A
37739	2017-11-01-3079-PR2-0072-B
0	2017-11-01-3093-PR2-009-A
37922	2017-11-01-3093-PR2-009-B
16249	2017-11-01-3093-PR2-010-a
22527	2017-11-01-3093-PR2-010-b
0	2017-11-01-3096-PR2-0061-A
9598	2017-11-01-3096-PR2-0061-B
369	2017-11-01-3313-PR2-009-A
11262	2017-11-01-3313-PR2-009-B
1	2017-11-01-3313-PR2-011-b
12842	2017-11-01-3315-PR2-0071-A
2	2017-11-01-3315-PR2-0071-B
41819	2017-11-01-3364-PR2-009-A
40781	2017-11-01-3364-PR2-009-B
33	2017-11-01-3505-PR2-008-A
32	2017-11-01-3505-PR2-008-B
6360	2017-11-01-3505-PR2-010-a
694	2017-11-01-3505-PR2-010-b
24592	2017-11-01-3510-PR2-008-A
16026	2017-11-01-3510-PR2-008-B
84222	2017-11-01-3773-PR2-0061-A
83376	2017-11-01-3773-PR2-0061-B
0	2017-11-06-3001-PR2-009-A
2488	2017-11-06-3001-PR2-009-B
21687	2017-11-06-3001-PR2-011-a
2	2017-11-06-3001-PR2-011-b
4	2017-11-06-3055-PR2-010-a
40	2017-11-06-3055-PR2-010-b
2072	2017-11-06-3162-PR2-010-a
17074	2017-11-06-3162-PR2-010-b
14	2017-11-06-3163-PR2-0061-A
82500	2017-11-06-3163-PR2-0061-B
22756	2017-11-06-3164-PR2-0061-A
65047	2017-11-06-3164-PR2-0061-B
5	2017-11-06-3514-PR2-010-a
3	2017-11-06-3514-PR2-010-b
0	2017-11-07-3047-PR2-009-B
1	2017-11-07-3047-PR2-011-a
7	2017-11-07-3047-PR2-011-b
25716	2017-11-07-3284-PR2-008-A
12887	2017-11-07-3284-PR2-008-B
30	2017-11-07-3285-PR2-0062-B
25611	2017-11-07-3523-PR2-008-A
7511	2017-11-07-3523-PR2-008-B
260	2017-11-07-3527-PR2-008-A
185	2017-11-07-3527-PR2-008-B
232	2017-11-07-3527-PR2-010-a
167	2017-11-07-3527-PR2-010-b
13603	2017-11-08-3336-PR2-008-A
3011	2017-11-08-3336-PR2-008-B
1642	2017-11-08-3336-PR2-010-a
2493	2017-11-08-3336-PR2-010-b
15	2017-11-08-3529-PR2-008-A
14	2017-11-08-3529-PR2-008-B
335	2017-11-08-3529-PR2-010-a
102	2017-11-08-3529-PR2-010-b
23191	2017-11-13-3540-PR2-0071-A
3	2017-11-13-3540-PR2-0071-B
39216	2017-11-13-3541-PR2-009-A
36334	2017-11-13-3541-PR2-009-B
46	2017-11-13-3542-PR2-0062-A
70	2017-11-13-3542-PR2-0062-B
1	2017-11-13-3546-PR2-0071-A
