s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.012	22	0.0564103	20486(95.8%)	1	0	1	20486	2
2017-10-04-3093	pfama1.033	5	0.0128205	26303(97%)	1	0	1	26303	2
2017-10-04-3096	pfama1.026	8	0.0205128	70337(98.5%)	5	0	0.559982	39339	2
2017-10-04-3096	pfama1.006	34	0.0871795	70337(98.5%)	5	1	0.321995	22668	2
2017-10-04-3096	pfama1.025	8	0.0205128	70337(98.5%)	5	2	0.0518509	3635	2
2017-10-04-3096	pfama1.009	28	0.0717949	70337(98.5%)	5	3	0.0501231	3540	2
2017-10-04-3096	pfama1.015	20	0.0512821	70337(98.5%)	5	4	0.0160496	1155	2
2017-10-04-3313	pfama1.003	40	0.102564	24645(97%)	1	0	1	24645	2
2017-10-04-3315	pfama1.019	12	0.0307692	38549(85.6%)	3	0	0.638905	24896	2
2017-10-04-3315	pfama1.006	34	0.0871795	38549(85.6%)	3	1	0.245068	9385	2
2017-10-04-3315	pfama1.008	32	0.0820513	38549(85.6%)	3	2	0.116028	4268	2
2017-10-04-3364	pfama1.016	16	0.0410256	9274(99.1%)	1	0	1	9274	2
2017-10-04-3510	pfama1.025	8	0.0205128	62120(72.5%)	1	0	1	62120	3
2017-10-09-3001	pfama1.003	40	0.102564	93965(91.4%)	1	0	1	93965	2
2017-10-09-3162	pfama1.041	2	0.00512821	10946(88%)	4	0	0.982459	10754	1
2017-10-09-3162	pfama1.142	1	0.0025641	10946(88%)	4	1	0.00584688	64	1
2017-10-09-3162	pfama1.143	1	0.0025641	10946(88%)	4	2	0.00584688	64	1
2017-10-09-3162	pfama1.144	1	0.0025641	10946(88%)	4	3	0.00584688	64	1
2017-10-09-3163	pfama1.001	53	0.135897	104185(95.6%)	3	0	0.595148	62030	2
2017-10-09-3163	pfama1.000	64	0.164103	104185(95.6%)	3	1	0.348147	36207	2
2017-10-09-3163	pfama1.015	20	0.0512821	104185(95.6%)	3	2	0.0567045	5948	2
2017-10-09-3164	pfama1.000	64	0.164103	52493(97.4%)	2	0	0.893264	46953	2
2017-10-09-3164	pfama1.013	22	0.0564103	52493(97.4%)	2	1	0.106736	5540	2
2017-10-10-3284	pfama1.012	22	0.0564103	40673(80.3%)	2	0	0.733024	29830	2
2017-10-10-3284	pfama1.006	34	0.0871795	40673(80.3%)	2	1	0.266976	10843	2
2017-10-10-3285	pfama1.006	34	0.0871795	70394(97.4%)	5	0	0.641831	45168	2
2017-10-10-3285	pfama1.002	50	0.128205	70394(97.4%)	5	1	0.259508	18277	2
2017-10-10-3285	pfama1.039	4	0.0102564	70394(97.4%)	5	2	0.0434652	3062	2
2017-10-10-3285	pfama1.011	24	0.0615385	70394(97.4%)	5	3	0.0276296	1947	2
2017-10-10-3285	pfama1.023	10	0.025641	70394(97.4%)	5	4	0.0275663	1940	2
2017-10-10-3523	pfama1.004	38	0.0974359	56906(94.9%)	1	0	1	56906	2
2017-10-11-3236	pfama1.013	22	0.0564103	71121(89.4%)	1	0	1	71121	2
2017-10-11-3336	pfama1.048	1	0.0025641	4(100%)	1	0	1	4	1
2017-10-11-3529	pfama1.016	16	0.0410256	10550(87.2%)	6	0	0.946066	9981	1
2017-10-11-3529	pfama1.068	1	0.0025641	10550(87.2%)	6	1	0.0272986	288	1
2017-10-11-3529	pfama1.119	1	0.0025641	10550(87.2%)	6	2	0.00739336	78	1
2017-10-11-3529	pfama1.120	1	0.0025641	10550(87.2%)	6	3	0.00729858	77	1
2017-10-11-3529	pfama1.136	1	0.0025641	10550(87.2%)	6	4	0.00616114	65	1
2017-10-11-3529	pfama1.146	1	0.0025641	10550(87.2%)	6	5	0.00578199	61	1
2017-10-11-3530	pfama1.017	15	0.0384615	44204(93.8%)	1	0	1	44204	2
2017-10-16-3540	pfama1.006	34	0.0871795	60029(98.3%)	1	0	1	60029	2
2017-10-16-3541	pfama1.011	24	0.0615385	42587(92.7%)	1	0	1	42587	2
2017-10-16-3542	pfama1.002	50	0.128205	48118(97.7%)	5	0	0.787035	38004	2
2017-10-16-3542	pfama1.006	34	0.0871795	48118(97.7%)	5	1	0.144404	6804	2
2017-10-16-3542	pfama1.018	15	0.0384615	48118(97.7%)	5	2	0.0506719	2397	2
2017-10-16-3542	pfama1.000	64	0.164103	48118(97.7%)	5	3	0.00966929	495	2
2017-10-16-3542	pfama1.014	20	0.0512821	48118(97.7%)	5	4	0.00821958	418	2
2017-10-16-3546	pfama1.010	27	0.0692308	45837(96.7%)	1	0	1	45837	2
2017-10-16-3547	pfama1.007	33	0.0846154	29111(80.2%)	2	0	0.993123	28914	2
2017-10-16-3547	pfama1.045	2	0.00512821	29111(80.2%)	2	1	0.00687711	197	2
2017-10-16-3549	pfama1.010	27	0.0692308	46591(91.9%)	1	0	1	46591	2
2017-10-16-3557	pfama1.020	11	0.0282051	47808(95.5%)	1	0	1	47808	2
2017-10-17-3575	pfama1.000	64	0.164103	14129(84.8%)	5	0	0.793616	11213	1
2017-10-17-3575	pfama1.051	1	0.0025641	14129(84.8%)	5	1	0.156699	2214	1
2017-10-17-3575	pfama1.066	1	0.0025641	14129(84.8%)	5	2	0.0285229	403	1
2017-10-17-3575	pfama1.081	1	0.0025641	14129(84.8%)	5	3	0.0144384	204	1
2017-10-17-3575	pfama1.129	1	0.0025641	14129(84.8%)	5	4	0.00672376	95	1
2017-10-17-3577	pfama1.000	64	0.164103	43734(94.3%)	1	0	1	43734	2
2017-10-17-3578	pfama1.009	28	0.0717949	36851(77.2%)	9	0	0.331179	11874	2
2017-10-17-3578	pfama1.040	3	0.00769231	36851(77.2%)	9	1	0.218144	8027	2
2017-10-17-3578	pfama1.013	22	0.0564103	36851(77.2%)	9	2	0.173125	6761	2
2017-10-17-3578	pfama1.005	34	0.0871795	36851(77.2%)	9	3	0.0638772	2140	2
2017-10-17-3578	pfama1.037	5	0.0128205	36851(77.2%)	9	4	0.0634907	2420	2
2017-10-17-3578	pfama1.029	7	0.0179487	36851(77.2%)	9	5	0.061362	2198	2
2017-10-17-3578	pfama1.007	33	0.0846154	36851(77.2%)	9	6	0.0537154	1970	2
2017-10-17-3578	pfama1.012	22	0.0564103	36851(77.2%)	9	7	0.0248598	1053	2
2017-10-17-3578	pfama1.022	10	0.025641	36851(77.2%)	9	8	0.0102467	408	2
2017-10-17-3579	pfama1.032	5	0.0128205	78912(89.9%)	1	0	1	78912	2
2017-10-17-3580	pfama1.006	34	0.0871795	54369(94.3%)	2	0	0.986624	53618	2
2017-10-17-3580	pfama1.007	33	0.0846154	54369(94.3%)	2	1	0.0133756	751	2
2017-10-17-3595	pfama1.001	53	0.135897	11716(81.5%)	5	0	0.879822	10308	1
2017-10-17-3595	pfama1.054	1	0.0025641	11716(81.5%)	5	1	0.0770741	903	1
2017-10-17-3595	pfama1.069	1	0.0025641	11716(81.5%)	5	2	0.0235575	276	1
2017-10-17-3595	pfama1.094	1	0.0025641	11716(81.5%)	5	3	0.0116081	136	1
2017-10-17-3595	pfama1.044	2	0.00512821	11716(81.5%)	5	4	0.00793786	93	1
2017-10-17-3602	pfama1.017	15	0.0384615	57590(97.4%)	5	0	0.821511	46680	2
2017-10-17-3602	pfama1.005	34	0.0871795	57590(97.4%)	5	1	0.107886	6883	2
2017-10-17-3602	pfama1.023	10	0.025641	57590(97.4%)	5	2	0.0305353	1842	2
2017-10-17-3602	pfama1.000	64	0.164103	57590(97.4%)	5	3	0.0268049	1521	2
2017-10-17-3602	pfama1.007	33	0.0846154	57590(97.4%)	5	4	0.013263	664	2
2017-10-17-3604	pfama1.014	20	0.0512821	41548(67.5%)	4	0	0.3381	23462	2
2017-10-17-3604	pfama1.007	33	0.0846154	41548(67.5%)	4	1	0.320759	9349	2
2017-10-17-3604	pfama1.017	15	0.0384615	41548(67.5%)	4	2	0.235079	6844	2
2017-10-17-3604	pfama1.010	27	0.0692308	41548(67.5%)	4	3	0.106062	1893	2
2017-10-17-3612	pfama1.009	28	0.0717949	145498(95.7%)	4	0	0.943133	137167	2
2017-10-17-3612	pfama1.001	53	0.135897	145498(95.7%)	4	1	0.0263349	3879	2
2017-10-17-3612	pfama1.000	64	0.164103	145498(95.7%)	4	2	0.0240086	3508	2
2017-10-17-3612	pfama1.005	34	0.0871795	145498(95.7%)	4	3	0.00652378	944	2
2017-10-17-3614	pfama1.001	53	0.135897	39558(86.4%)	2	0	0.959089	37963	2
2017-10-17-3614	pfama1.040	3	0.00769231	39558(86.4%)	2	1	0.0409115	1595	2
2017-10-17-3615	pfama1.005	34	0.0871795	52094(96%)	1	0	1	52094	2
2017-10-17-3616	pfama1.001	53	0.135897	45899(95.5%)	1	0	1	45899	2
2017-10-17-3617	pfama1.007	33	0.0846154	59227(95.4%)	1	0	1	59227	2
2017-10-18-3627	pfama1.006	34	0.0871795	10977(83.4%)	5	0	0.967113	10616	1
2017-10-18-3627	pfama1.083	1	0.0025641	10977(83.4%)	5	1	0.0133005	146	1
2017-10-18-3627	pfama1.126	1	0.0025641	10977(83.4%)	5	2	0.00683247	75	1
2017-10-18-3627	pfama1.125	1	0.0025641	10977(83.4%)	5	3	0.00683247	75	1
2017-10-18-3627	pfama1.141	1	0.0025641	10977(83.4%)	5	4	0.00592147	65	1
2017-10-18-3630	pfama1.008	32	0.0820513	54680(96.3%)	1	0	1	54680	2
2017-10-18-3642	pfama1.001	53	0.135897	70052(92.2%)	1	0	1	70052	3
2017-10-23-3122	pfama1.002	50	0.128205	26834(84%)	1	0	1	26834	2
