s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt	R1_fracChiExcluded	R2_fracChiExcluded
2017-11-15-3637	pfama1.00	73	0.174641	13967(88.8%)	2	0	0.98736	13786	2	0.0216467	0.0258594
2017-11-15-3637	pfama1.10	29	0.069378	13967(88.8%)	2	1	0.0126404	181	2	0.0216467	0.0258594
2017-11-15-3642	pfama1.03	47	0.11244	20008(95.1%)	1	0	1	20008	2	0.00018843	0.00105435
2017-11-17-3779	pfama1.11	27	0.0645933	202021(98.9%)	1	0	1	202021	2	0.0000468683	8.20647e-05
2017-11-20-3148	pfama1.00	73	0.174641	2632(84.7%)	2	0	0.896168	2366	2	0.0258621	0.0291545
2017-11-20-3148	pfama1.10	29	0.069378	2632(84.7%)	2	1	0.103832	266	2	0.0258621	0.0291545
2017-11-20-3150	pfama1.00	73	0.174641	6799(88%)	2	0	0.961543	6565	2	0.0542481	0.0295189
2017-11-20-3150	pfama1.10	29	0.069378	6799(88%)	2	1	0.0384568	234	2	0.0542481	0.0295189
2017-11-20-3154	pfama1.01	58	0.138756	98782(98.1%)	1	0	1	98782	2	0.000120447	0.000140815
2017-11-20-3190	pfama1.02	48	0.114833	43567(97.5%)	1	0	1	43567	2	0.000163934	0.000341064
2017-11-20-3202	pfama1.32	7	0.0167464	510(92.1%)	2	0	0.771226	394	2	0	0
2017-11-20-3202	pfama1.31	7	0.0167464	510(92.1%)	2	1	0.228774	116	2	0	0
2017-11-20-3205	pfama1.32	7	0.0167464	15694(66.5%)	2	0	0.767303	12005	2	0.0655652	0.00338369
2017-11-20-3205	pfama1.01	58	0.138756	15694(66.5%)	2	1	0.232697	3689	2	0.0655652	0.00338369
2017-11-20-3371	pfama1.00	73	0.174641	1797(80.7%)	2	0	0.926246	1652	2	0.026178	0.0326679
2017-11-20-3371	pfama1.10	29	0.069378	1797(80.7%)	2	1	0.0737536	145	2	0.026178	0.0326679
2017-11-20-3649	pfama1.01	58	0.138756	32265(69.1%)	1	0	1	32265	2	0.0024226	0.146172
2017-11-20-3659	pfama1.19	15	0.0358852	8381(98.7%)	1	0	1	8381	2	0	0
2017-11-20-3665	pfama1.03	47	0.11244	122209(98.4%)	1	0	1	122209	2	0.00016021	3.23536e-05
2017-11-21-3672	pfama1.27	9	0.0215311	39275(96.6%)	2	0	0.957783	37617	2	0.000917231	0.00112638
2017-11-21-3672	pfama1.04	35	0.0837321	39275(96.6%)	2	1	0.0422173	1658	2	0.000917231	0.00112638
2017-11-21-3673	pfama1.08	31	0.0741627	48370(94.3%)	1	0	1	48370	2	0.000216884	0.000577929
2017-11-21-3677	pfama1.17	20	0.0478469	163(90.6%)	3	0	0.551149	89	2	0	0
2017-11-21-3677	pfama1.12	25	0.0598086	163(90.6%)	3	1	0.322742	54	2	0	0
2017-11-21-3677	pfama1.21	12	0.0287081	163(90.6%)	3	2	0.126108	20	2	0	0
2017-11-21-3684	pfama1.00	73	0.174641	3560(81.1%)	2	0	0.961189	3486	2	0.0228571	0.0264112
2017-11-21-3684	pfama1.10	29	0.069378	3560(81.1%)	2	1	0.0388111	74	2	0.0228571	0.0264112
2017-11-21-3685	pfama1.34	7	0.0167464	26144(88.6%)	2	0	0.771174	20986	2	0.00252366	0.0968773
2017-11-21-3685	pfama1.33	7	0.0167464	26144(88.6%)	2	1	0.228826	5158	2	0.00252366	0.0968773
2017-11-22-3708	pfama1.08	31	0.0741627	152863(98.7%)	1	0	1	152863	2	0.0000298878	5.68569e-05
2017-11-22-3709	pfama1.18	18	0.0430622	70310(95.7%)	1	0	1	70310	2	0.00051983	0.000220604
2017-11-22-3713	pfama1.25	10	0.0239234	59693(95.7%)	1	0	1	59693	2	0.0000773664	0.00112203
2017-11-22-3714	pfama1.14	23	0.0550239	10435(97.2%)	2	0	0.835502	8958	2	0	0.000397088
2017-11-22-3714	pfama1.05	34	0.0813397	10435(97.2%)	2	1	0.164498	1477	2	0	0.000397088
2017-11-22-3719	pfama1.20	14	0.0334928	21297(93.2%)	1	0	1	21297	2	0.00178527	0
2017-11-22-3720	pfama1.02	48	0.114833	41797(91.7%)	2	0	0.663337	28706	2	0.00358235	0.0418888
2017-11-22-3720	pfama1.20	14	0.0334928	41797(91.7%)	2	1	0.336663	13091	2	0.00358235	0.0418888
2017-11-22-3728	pfama1.05	34	0.0813397	48473(92.9%)	1	0	1	48473	2	0.00217486	0.00156111
2017-11-27-3745	pfama1.00	73	0.174641	9415(90%)	3	0	0.97628	9198	2	0.0123379	0.0151435
2017-11-27-3745	pfama1.10	29	0.069378	9415(90%)	3	1	0.0123615	112	2	0.0123379	0.0151435
2017-11-27-3745	pfama1.13	25	0.0598086	9415(90%)	3	2	0.0113588	105	2	0.0123379	0.0151435
2017-11-27-3746	pfama1.03	47	0.11244	28584(95.2%)	2	0	0.711348	20407	2	0.0213363	0.0207291
2017-11-27-3746	pfama1.11	27	0.0645933	28584(95.2%)	2	1	0.288652	8177	2	0.0213363	0.0207291
2017-11-27-3747	pfama1.02	48	0.114833	8601(97.7%)	1	0	1	8601	2	0	0.000290529
2017-11-27-3761	pfama1.07	32	0.076555	7549(98.5%)	1	0	1	7549	2	0	0
2017-11-27-3762	pfama1.00	73	0.174641	2352(17.1%)	1	0	1	2352	2	0.00531087	0.0282042
2017-11-27-3766	pfama1.01	58	0.138756	46888(87.6%)	2	0	0.542734	24865	2	0.0941171	0.10352
2017-11-27-3766	pfama1.04	35	0.0837321	46888(87.6%)	2	1	0.457266	22023	2	0.0941171	0.10352
2017-11-27-3773	pfama1.18	18	0.0430622	42738(91.7%)	1	0	1	42738	2	0.00449288	0.000272766
2017-11-27-3777	pfama1.07	32	0.076555	36187(79%)	3	0	0.472913	16799	2	0.178289	0.108816
2017-11-27-3777	pfama1.42	4	0.00956938	36187(79%)	3	1	0.385749	13428	2	0.178289	0.108816
2017-11-27-3777	pfama1.15	22	0.0526316	36187(79%)	3	2	0.141338	5960	2	0.178289	0.108816
2017-11-27-3779	pfama1.00	73	0.174641	62(0.0625%)	1	0	1	62	4	0.00243701	0
2017-11-28-3785	pfama1.41	4	0.00956938	49365(59%)	1	0	1	49365	2	0.0248787	0.00252871
2017-11-28-3786	pfama1.08	31	0.0741627	20825(87.9%)	3	0	0.53407	11299	2	0.0117308	0.0353185
2017-11-28-3786	pfama1.11	27	0.0645933	20825(87.9%)	3	1	0.426926	8761	2	0.0117308	0.0353185
2017-11-28-3786	pfama1.04	35	0.0837321	20825(87.9%)	3	2	0.0390041	765	2	0.0117308	0.0353185
2017-11-28-3787	pfama1.04	35	0.0837321	99119(94.4%)	1	0	1	99119	2	0.000248671	0.00120791
2017-11-28-3805	pfama1.02	48	0.114833	1411(97.6%)	1	0	1	1411	2	0	0
2017-11-28-3816	pfama1.01	58	0.138756	2360(95.2%)	1	0	1	2360	2	0	0
2017-11-28-3818	pfama1.12	25	0.0598086	50819(96.9%)	1	0	1	50819	2	0.000275217	8.54701e-05
2017-11-29-3079	pfama1.15	22	0.0526316	46537(92.1%)	1	0	1	46537	2	0.00214415	0.00173172
2017-11-29-3093	pfama1.37	5	0.0119617	43327(95.2%)	1	0	1	43327	2	0.000393597	0.000706714
2017-11-29-3096	pfama1.06	33	0.0789474	52375(90.6%)	5	0	0.449494	23454	2	0.069177	0.0799701
2017-11-29-3096	pfama1.30	7	0.0167464	52375(90.6%)	5	1	0.420953	22133	2	0.069177	0.0799701
2017-11-29-3096	pfama1.28	8	0.0191388	52375(90.6%)	5	2	0.0904946	4703	2	0.069177	0.0799701
2017-11-29-3096	pfama1.18	18	0.0430622	52375(90.6%)	5	3	0.022744	1218	2	0.069177	0.0799701
2017-11-29-3096	pfama1.11	27	0.0645933	52375(90.6%)	5	4	0.0163135	867	2	0.069177	0.0799701
2017-11-29-3315	pfama1.21	12	0.0287081	2398(92.6%)	2	0	0.763332	1841	2	0.00203804	0
2017-11-29-3315	pfama1.18	18	0.0430622	2398(92.6%)	2	1	0.236668	557	2	0.00203804	0
2017-11-29-3364	pfama1.20	14	0.0334928	50991(96.2%)	1	0	1	50991	2	0.000217037	0.00102621
2017-12-04-3001	pfama1.04	35	0.0837321	36341(91.7%)	3	0	0.970986	35389	2	0.0115512	0.00769476
2017-12-04-3001	pfama1.00	73	0.174641	36341(91.7%)	3	1	0.0201841	628	2	0.0115512	0.00769476
2017-12-04-3001	pfama1.58	1	0.00239234	36341(91.7%)	3	2	0.00882995	324	2	0.0115512	0.00769476
2017-12-04-3164	pfama1.16	22	0.0526316	53096(95.8%)	2	0	0.501119	26463	2	0.00552964	0.00339935
2017-12-04-3164	pfama1.01	58	0.138756	53096(95.8%)	2	1	0.498881	26633	2	0.00552964	0.00339935
2017-12-04-3514	pfama1.00	73	0.174641	4466(87.9%)	2	0	0.988196	4403	2	0.00944882	0.0209974
2017-12-04-3514	pfama1.10	29	0.069378	4466(87.9%)	2	1	0.0118037	63	2	0.00944882	0.0209974
2017-12-05-3284	pfama1.26	10	0.0239234	49062(85.8%)	1	0	1	49062	2	0.000766307	0.0574217
2017-12-05-3285	pfama1.03	47	0.11244	597(89.6%)	5	0	0.670903	402	2	0	0
2017-12-05-3285	pfama1.06	33	0.0789474	597(89.6%)	5	1	0.143557	83	2	0	0
2017-12-05-3285	pfama1.14	23	0.0550239	597(89.6%)	5	2	0.143015	87	2	0	0
2017-12-05-3285	pfama1.42	4	0.00956938	597(89.6%)	5	3	0.0216211	13	2	0	0
2017-12-05-3285	pfama1.35	6	0.0143541	597(89.6%)	5	4	0.0209034	12	2	0	0
2017-12-05-3527	pfama1.03	47	0.11244	49047(94.2%)	1	0	1	49047	2	0.000964342	0.000588928
2017-12-11-3540	pfama1.12	25	0.0598086	47951(77.2%)	1	0	1	47951	2	0.0382241	0.00147194
2017-12-11-3541	pfama1.00	73	0.174641	1053(87.5%)	3	0	0.826476	833	2	0.0226293	0.0254545
2017-12-11-3541	pfama1.13	25	0.0598086	1053(87.5%)	3	1	0.15147	197	2	0.0226293	0.0254545
2017-12-11-3541	pfama1.29	8	0.0191388	1053(87.5%)	3	2	0.0220541	23	2	0.0226293	0.0254545
2017-12-11-3542	pfama1.06	33	0.0789474	26334(96.7%)	4	0	0.874582	22808	2	0.0016042	0.00407242
2017-12-11-3542	pfama1.19	15	0.0358852	26334(96.7%)	4	1	0.0973332	2710	2	0.0016042	0.00407242
2017-12-11-3542	pfama1.02	48	0.114833	26334(96.7%)	4	2	0.0156327	456	2	0.0016042	0.00407242
2017-12-11-3542	pfama1.01	58	0.138756	26334(96.7%)	4	3	0.0124521	360	2	0.0016042	0.00407242
2017-12-11-3546	pfama1.12	25	0.0598086	37421(74.8%)	2	0	0.831943	32442	2	0.104272	0.00777617
2017-12-11-3546	pfama1.11	27	0.0645933	37421(74.8%)	2	1	0.168057	4979	2	0.104272	0.00777617
2017-12-11-3557	pfama1.23	11	0.0263158	32985(95.6%)	1	0	1	32985	2	0.000851789	0.000473401
2017-12-12-3577	pfama1.01	58	0.138756	7307(94.5%)	1	0	1	7307	2	0	0.000366569
2017-12-12-3578	pfama1.25	10	0.0239234	8535(94.9%)	8	0	0.476142	4065	2	0.0120999	0.0173171
2017-12-12-3578	pfama1.11	27	0.0645933	8535(94.9%)	8	1	0.136549	1138	2	0.0120999	0.0173171
2017-12-12-3578	pfama1.23	11	0.0263158	8535(94.9%)	8	2	0.108744	935	2	0.0120999	0.0173171
2017-12-12-3578	pfama1.01	58	0.138756	8535(94.9%)	8	3	0.0947223	811	2	0.0120999	0.0173171
2017-12-12-3578	pfama1.15	22	0.0526316	8535(94.9%)	8	4	0.0694465	581	2	0.0120999	0.0173171
2017-12-12-3578	pfama1.39	5	0.0119617	8535(94.9%)	8	5	0.0453789	425	2	0.0120999	0.0173171
2017-12-12-3578	pfama1.04	35	0.0837321	8535(94.9%)	8	6	0.0378679	318	2	0.0120999	0.0173171
2017-12-12-3578	pfama1.14	23	0.0550239	8535(94.9%)	8	7	0.0311495	262	2	0.0120999	0.0173171
2017-12-12-3579	pfama1.36	5	0.0119617	232(87.5%)	1	0	1	232	2	0	0
2017-12-12-3580	pfama1.07	32	0.076555	24419(96.8%)	1	0	1	24419	2	0	0
2017-12-12-3589	pfama1.00	73	0.174641	296(72.9%)	1	0	1	296	2	0.0254237	0.0173611
2017-12-12-3602	pfama1.26	10	0.0239234	24(70.6%)	2	0	0.544444	13	2	0	0
2017-12-12-3602	pfama1.01	58	0.138756	24(70.6%)	2	1	0.455556	11	2	0	0
2017-12-12-3604	pfama1.38	5	0.0119617	67559(94.6%)	15	0	0.165373	11171	2	0.040116	0.0417222
2017-12-12-3604	pfama1.01	58	0.138756	67559(94.6%)	15	1	0.12742	8583	2	0.040116	0.0417222
2017-12-12-3604	pfama1.22	12	0.0287081	67559(94.6%)	15	2	0.110229	7474	2	0.040116	0.0417222
2017-12-12-3604	pfama1.06	33	0.0789474	67559(94.6%)	15	3	0.104594	7082	2	0.040116	0.0417222
2017-12-12-3604	pfama1.05	34	0.0813397	67559(94.6%)	15	4	0.0887253	6003	2	0.040116	0.0417222
2017-12-12-3604	pfama1.16	22	0.0526316	67559(94.6%)	15	5	0.0851643	5749	2	0.040116	0.0417222
2017-12-12-3604	pfama1.11	27	0.0645933	67559(94.6%)	15	6	0.0819215	5537	2	0.040116	0.0417222
2017-12-12-3604	pfama1.04	35	0.0837321	67559(94.6%)	15	7	0.0573253	3862	2	0.040116	0.0417222
2017-12-12-3604	pfama1.02	48	0.114833	67559(94.6%)	15	8	0.0511504	3444	2	0.040116	0.0417222
2017-12-12-3604	pfama1.03	47	0.11244	67559(94.6%)	15	9	0.0363821	2448	2	0.040116	0.0417222
2017-12-12-3604	pfama1.18	18	0.0430622	67559(94.6%)	15	10	0.0348632	2379	2	0.040116	0.0417222
2017-12-12-3604	pfama1.45	2	0.00478469	67559(94.6%)	15	11	0.0167243	1125	2	0.040116	0.0417222
2017-12-12-3604	pfama1.24	11	0.0263158	67559(94.6%)	15	12	0.015471	1043	2	0.040116	0.0417222
2017-12-12-3604	pfama1.09	30	0.0717703	67559(94.6%)	15	13	0.0145505	981	2	0.040116	0.0417222
2017-12-12-3604	pfama1.12	25	0.0598086	67559(94.6%)	15	14	0.0101057	678	2	0.040116	0.0417222
2017-12-12-3614	pfama1.03	47	0.11244	335(95.7%)	1	0	1	335	2	0	0
2017-12-12-3615	pfama1.00	73	0.174641	1719(84.9%)	2	0	0.886919	1578	2	0.0274443	0.0362319
2017-12-12-3615	pfama1.10	29	0.069378	1719(84.9%)	2	1	0.113081	141	2	0.0274443	0.0362319
2017-12-12-3617	pfama1.07	32	0.076555	18589(97.5%)	1	0	1	18589	1	0.00068152	
2017-12-13-3627	pfama1.00	73	0.174641	1602(82.7%)	2	0	0.87806	1405	2	0.0256709	0.00463392
2017-12-13-3627	pfama1.13	25	0.0598086	1602(82.7%)	2	1	0.12194	197	2	0.0256709	0.00463392
2017-12-13-3630	pfama1.09	30	0.0717703	9926(97.7%)	1	0	1	9926	2	0	0
2017-12-13-3637	pfama1.00	73	0.174641	558(2.85%)	1	0	1	558	2	0.00784314	0.0127953
2017-12-13-3642	pfama1.03	47	0.11244	28953(86.4%)	1	0	1	28953	3	0.000704887	0.0141012
2017-12-18-3122	pfama1.02	48	0.114833	23(65.7%)	1	0	1	23	2	0	0
2017-12-18-3148	pfama1.02	48	0.114833	20627(96.5%)	1	0	1	20627	2	0.000115427	0.000986193
2017-12-18-3154	pfama1.01	58	0.138756	83085(99.3%)	1	0	1	83085	2	0.000122549	9.33336e-05
2017-12-18-3190	pfama1.02	48	0.114833	732(92.9%)	1	0	1	732	2	0	0
2017-12-18-3205	pfama1.32	7	0.0167464	13440(96.4%)	3	0	0.748495	10102	2	0.00674536	0.00112233
2017-12-18-3205	pfama1.31	7	0.0167464	13440(96.4%)	3	1	0.240051	3186	2	0.00674536	0.00112233
2017-12-18-3205	pfama1.01	58	0.138756	13440(96.4%)	3	2	0.0114541	152	2	0.00674536	0.00112233
2017-12-18-3649	pfama1.00	73	0.174641	228(1.12%)	1	0	1	228	2	0.00673401	0.00179919
2017-12-18-3659	pfama1.19	15	0.0358852	464(92.1%)	4	0	0.530172	246	1	0.00992063	
2017-12-18-3659	pfama1.15	22	0.0526316	464(92.1%)	4	1	0.450431	209	1	0.00992063	
2017-12-18-3659	pfama1.54	1	0.00239234	464(92.1%)	4	2	0.0107759	5	1	0.00992063	
2017-12-18-3659	pfama1.59	1	0.00239234	464(92.1%)	4	3	0.00862069	4	1	0.00992063	
2017-12-18-3661	pfama1.00	73	0.174641	1366(75.5%)	3	0	0.492435	749	2	0.019432	0.0307018
2017-12-18-3661	pfama1.50	1	0.00239234	1366(75.5%)	3	1	0.417091	505	2	0.019432	0.0307018
2017-12-18-3661	pfama1.13	25	0.0598086	1366(75.5%)	3	2	0.0904741	112	2	0.019432	0.0307018
2017-12-18-3665	pfama1.03	47	0.11244	211(87.2%)	1	0	1	211	2	0	0
2017-12-18-3824	pfama1.01	58	0.138756	26484(82.3%)	2	0	0.992134	26268	2	0.00360848	0.00796737
2017-12-18-3824	pfama1.63	1	0.00239234	26484(82.3%)	2	1	0.00786592	216	2	0.00360848	0.00796737
2017-12-19-3672	pfama1.15	22	0.0526316	13609(97.5%)	2	0	0.955791	12998	2	0.000959956	0.00120084
2017-12-19-3672	pfama1.27	9	0.0215311	13609(97.5%)	2	1	0.044209	611	2	0.000959956	0.00120084
2017-12-19-3673	pfama1.12	25	0.0598086	4286(95.2%)	2	0	0.675942	2848	2	0	0.000815993
2017-12-19-3673	pfama1.08	31	0.0741627	4286(95.2%)	2	1	0.324058	1438	2	0	0.000815993
2017-12-19-3677	pfama1.21	12	0.0287081	2754(95.9%)	4	0	0.613762	1690	2	0	0
2017-12-19-3677	pfama1.03	47	0.11244	2754(95.9%)	4	1	0.262328	723	2	0	0
2017-12-19-3677	pfama1.12	25	0.0598086	2754(95.9%)	4	2	0.0961519	265	2	0	0
2017-12-19-3677	pfama1.17	20	0.0478469	2754(95.9%)	4	3	0.0277577	76	2	0	0
2017-12-19-3685	pfama1.34	7	0.0167464	434(94.1%)	3	0	0.813364	353	1	0.00433839	
2017-12-19-3685	pfama1.33	7	0.0167464	434(94.1%)	3	1	0.177419	77	1	0.00433839	
2017-12-19-3685	pfama1.57	1	0.00239234	434(94.1%)	3	2	0.00921659	4	1	0.00433839	
2017-12-20-3708	pfama1.08	31	0.0741627	120220(98.4%)	1	0	1	120220	2	0.000104797	7.21566e-05
2017-12-20-3709	pfama1.18	18	0.0430622	25886(97.8%)	1	0	1	25886	2	0.000431158	0
2017-12-20-3713	pfama1.25	10	0.0239234	33928(89.7%)	1	0	1	33928	2	0.00368925	0.00248515
2017-12-20-3714	pfama1.05	34	0.0813397	46719(92.6%)	2	0	0.842887	39392	2	0.047082	0.0310156
2017-12-20-3714	pfama1.14	23	0.0550239	46719(92.6%)	2	1	0.157113	7327	2	0.047082	0.0310156
2017-12-20-3719	pfama1.00	73	0.174641	3083(16.6%)	1	0	1	3083	2	0.00630978	0.0138106
2017-12-20-3720	pfama1.02	48	0.114833	40302(92.8%)	1	0	1	40302	2	0.000872473	0.00153542
2017-12-20-3728	pfama1.05	34	0.0813397	43452(93.7%)	1	0	1	43452	2	0.00164143	0.000400539
2017-12-27-3747	pfama1.02	48	0.114833	80(94.1%)	1	0	1	80	2	0	0
2017-12-27-3754	pfama1.00	73	0.174641	2766(79.5%)	4	0	0.847272	2341	2	0.10231	0.0126506
2017-12-27-3754	pfama1.10	29	0.069378	2766(79.5%)	4	1	0.0991137	276	2	0.10231	0.0126506
2017-12-27-3754	pfama1.13	25	0.0598086	2766(79.5%)	4	2	0.0346146	96	2	0.10231	0.0126506
2017-12-27-3754	pfama1.29	8	0.0191388	2766(79.5%)	4	3	0.0189997	53	2	0.10231	0.0126506
2017-12-27-3758	pfama1.00	73	0.174641	947(11%)	1	0	1	947	2	0	0.00493085
2017-12-27-3762	pfama1.09	30	0.0717703	221(90.2%)	1	0	1	221	2	0	0
2017-12-27-3766	pfama1.04	35	0.0837321	66(94.3%)	1	0	1	66	1	0	
2017-12-27-3777	pfama1.15	22	0.0526316	27307(86.5%)	4	0	0.586144	14624	2	0.141459	0.00193732
2017-12-27-3777	pfama1.07	32	0.076555	27307(86.5%)	4	1	0.212075	6725	2	0.141459	0.00193732
2017-12-27-3777	pfama1.17	20	0.0478469	27307(86.5%)	4	2	0.116111	3314	2	0.141459	0.00193732
2017-12-27-3777	pfama1.42	4	0.00956938	27307(86.5%)	4	3	0.0856697	2644	2	0.141459	0.00193732
2017-12-27-3779	pfama1.00	73	0.174641	2173(76.5%)	4	0	0.828684	1718	2	0.00745573	0.0561151
2017-12-27-3779	pfama1.10	29	0.069378	2173(76.5%)	4	1	0.10603	291	2	0.00745573	0.0561151
2017-12-27-3779	pfama1.13	25	0.0598086	2173(76.5%)	4	2	0.0567866	144	2	0.00745573	0.0561151
2017-12-27-3779	pfama1.47	2	0.00478469	2173(76.5%)	4	3	0.00849941	20	2	0.00745573	0.0561151
2017-12-28-3785	pfama1.01	58	0.138756	63282(93.5%)	2	0	0.916772	57961	2	0.0143933	0.0101704
2017-12-28-3785	pfama1.41	4	0.00956938	63282(93.5%)	2	1	0.0832283	5321	2	0.0143933	0.0101704
2017-12-28-3786	pfama1.08	31	0.0741627	24459(96.9%)	4	0	0.803818	19640	2	0.00238134	0.00474332
2017-12-28-3786	pfama1.09	30	0.0717703	24459(96.9%)	4	1	0.121602	2976	2	0.00238134	0.00474332
2017-12-28-3786	pfama1.05	34	0.0813397	24459(96.9%)	4	2	0.0445784	1108	2	0.00238134	0.00474332
2017-12-28-3786	pfama1.02	48	0.114833	24459(96.9%)	4	3	0.0300021	735	2	0.00238134	0.00474332
2017-12-28-3787	pfama1.04	35	0.0837321	50027(94%)	1	0	1	50027	2	0.000781944	0.00143541
2017-12-28-3807	pfama1.00	73	0.174641	2572(85.2%)	3	0	0.901302	2319	2	0.00344116	0.0083014
2017-12-28-3807	pfama1.13	25	0.0598086	2572(85.2%)	3	1	0.0912871	234	2	0.00344116	0.0083014
2017-12-28-3807	pfama1.29	8	0.0191388	2572(85.2%)	3	2	0.00741048	19	2	0.00344116	0.0083014
2017-12-28-3816	pfama1.01	58	0.138756	12909(96.3%)	1	0	1	12909	2	0	0
2017-12-28-3818	pfama1.12	25	0.0598086	29323(95.4%)	1	0	1	29323	2	0.000174611	0.0005163
2017-12-29-3093	pfama1.37	5	0.0119617	35330(89%)	1	0	1	35330	3	0	0.00404059
2017-12-29-3095	pfama1.07	32	0.076555	576(95.8%)	1	0	1	576	2	0	0
2017-12-29-3096	pfama1.11	27	0.0645933	3992(97.8%)	3	0	0.520541	2078	1	0.00343053	
2017-12-29-3096	pfama1.28	8	0.0191388	3992(97.8%)	3	1	0.45015	1797	1	0.00343053	
2017-12-29-3096	pfama1.06	33	0.0789474	3992(97.8%)	3	2	0.0293086	117	1	0.00343053	
2017-12-29-3315	pfama1.21	12	0.0287081	24(96%)	1	0	1	24	2	0	0
2017-12-29-3364	pfama1.20	14	0.0334928	96(96%)	1	0	1	96	2	0	0
2017-12-29-3504	pfama1.00	73	0.174641	1114(85.2%)	2	0	0.851007	950	2	0.0196445	0.0167364
2017-12-29-3504	pfama1.10	29	0.069378	1114(85.2%)	2	1	0.148993	164	2	0.0196445	0.0167364
2017-12-29-3508	pfama1.00	73	0.174641	343(61.1%)	1	0	1	343	2	0	0
2017-12-29-3510	pfama1.00	73	0.174641	479(67.5%)	2	0	0.891295	427	2	0.015748	0.0395137
2017-12-29-3510	pfama1.10	29	0.069378	479(67.5%)	2	1	0.108705	52	2	0.015748	0.0395137
2018-01-03-3164	pfama1.01	58	0.138756	37688(98.4%)	2	0	0.845065	31935	2	0.00138825	0.000344281
2018-01-03-3164	pfama1.16	22	0.0526316	37688(98.4%)	2	1	0.154935	5753	2	0.00138825	0.000344281
2018-01-04-3285	pfama1.14	23	0.0550239	84079(95.9%)	5	0	0.638093	53184	2	0.018125	0.0211699
2018-01-04-3285	pfama1.03	47	0.11244	84079(95.9%)	5	1	0.197385	16823	2	0.018125	0.0211699
2018-01-04-3285	pfama1.26	10	0.0239234	84079(95.9%)	5	2	0.120312	10195	2	0.018125	0.0211699
2018-01-04-3285	pfama1.35	6	0.0143541	84079(95.9%)	5	3	0.0367369	3220	2	0.018125	0.0211699
2018-01-04-3285	pfama1.06	33	0.0789474	84079(95.9%)	5	4	0.00747249	657	2	0.018125	0.0211699
2018-01-04-3523	pfama1.05	34	0.0813397	45795(92.8%)	1	0	1	45795	2	0.00158976	0.00123059
2018-01-04-3525	pfama1.00	73	0.174641	1741(84.6%)	3	0	0.970891	1690	2	0.0359649	0.0195865
2018-01-04-3525	pfama1.10	29	0.069378	1741(84.6%)	3	1	0.0227601	40	2	0.0359649	0.0195865
2018-01-04-3525	pfama1.66	1	0.00239234	1741(84.6%)	3	2	0.0063488	11	2	0.0359649	0.0195865
2018-01-04-3527	pfama1.03	47	0.11244	76765(90.3%)	1	0	1	76765	2	0.00274397	0.00258957
2018-01-05-3336	pfama1.00	73	0.174641	4399(84.3%)	2	0	0.975522	4280	2	0.0303588	0.0147959
2018-01-05-3336	pfama1.13	25	0.0598086	4399(84.3%)	2	1	0.0244782	119	2	0.0303588	0.0147959
2018-01-08-3541	pfama1.14	23	0.0550239	26118(81.3%)	2	0	0.992008	25910	2	0.0073409	0.00760043
2018-01-08-3541	pfama1.62	1	0.00239234	26118(81.3%)	2	1	0.00799214	208	2	0.0073409	0.00760043
2018-01-08-3542	pfama1.27	9	0.0215311	38251(87.3%)	4	0	0.861026	32873	2	0.0689618	0.0891168
2018-01-08-3542	pfama1.06	33	0.0789474	38251(87.3%)	4	1	0.0719382	2795	2	0.0689618	0.0891168
2018-01-08-3542	pfama1.05	34	0.0813397	38251(87.3%)	4	2	0.0564989	2180	2	0.0689618	0.0891168
2018-01-08-3542	pfama1.17	20	0.0478469	38251(87.3%)	4	3	0.0105366	403	2	0.0689618	0.0891168
2018-01-08-3546	pfama1.12	25	0.0598086	69001(71.8%)	2	0	0.703261	48497	2	0.187861	0.156142
2018-01-08-3546	pfama1.11	27	0.0645933	69001(71.8%)	2	1	0.296739	20504	2	0.187861	0.156142
2018-01-09-3575	pfama1.00	73	0.174641	4669(16.8%)	1	0	1	4669	2	0.016943	0.00670122
2018-01-09-3577	pfama1.00	73	0.174641	686(81.4%)	2	0	0.982201	674	2	0.00817996	0.00564972
2018-01-09-3577	pfama1.13	25	0.0598086	686(81.4%)	2	1	0.0177991	12	2	0.00817996	0.00564972
2018-01-09-3578	pfama1.23	11	0.0263158	58715(80.1%)	5	0	0.358991	20661	2	0.106248	0.0921226
2018-01-09-3578	pfama1.15	22	0.0526316	58715(80.1%)	5	1	0.247924	15329	2	0.106248	0.0921226
2018-01-09-3578	pfama1.39	5	0.0119617	58715(80.1%)	5	2	0.176009	10495	2	0.106248	0.0921226
2018-01-09-3578	pfama1.04	35	0.0837321	58715(80.1%)	5	3	0.137071	7726	2	0.106248	0.0921226
2018-01-09-3578	pfama1.08	31	0.0741627	58715(80.1%)	5	4	0.0800048	4504	2	0.106248	0.0921226
2018-01-09-3579	pfama1.36	5	0.0119617	41100(91.7%)	1	0	1	41100	2	0.00164785	0.00137251
2018-01-09-3580	pfama1.00	73	0.174641	1406(74.3%)	1	0	1	1406	2	0.0232005	0
2018-01-09-3602	pfama1.22	12	0.0287081	28900(79.6%)	6	0	0.417044	11975	2	0.0388536	0.204704
2018-01-09-3602	pfama1.01	58	0.138756	28900(79.6%)	6	1	0.261956	7835	2	0.0388536	0.204704
