s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt	R1_fracChiExcluded	R2_fracChiExcluded
2017-10-16-3542	pfama1.02	48	0.114833	48122(97.6%)	5	0	0.787052	38005	2	0.00435756	0.00638012
2017-10-16-3542	pfama1.06	33	0.0789474	48122(97.6%)	5	1	0.144384	6806	2	0.00435756	0.00638012
2017-10-16-3542	pfama1.19	15	0.0358852	48122(97.6%)	5	2	0.0506332	2396	2	0.00435756	0.00638012
2017-10-16-3542	pfama1.01	58	0.138756	48122(97.6%)	5	3	0.00966711	495	2	0.00435756	0.00638012
2017-10-16-3542	pfama1.17	20	0.0478469	48122(97.6%)	5	4	0.00826441	420	2	0.00435756	0.00638012
2017-10-16-3546	pfama1.12	25	0.0598086	45788(96.6%)	1	0	1	45788	2	0.000256358	0.000609297
2017-10-16-3547	pfama1.07	32	0.076555	29096(80.1%)	2	0	0.99316	28900	2	0.00998424	0.00757576
2017-10-16-3547	pfama1.48	2	0.00478469	29096(80.1%)	2	1	0.00683976	196	2	0.00998424	0.00757576
2017-10-16-3549	pfama1.12	25	0.0598086	46597(91.9%)	1	0	1	46597	2	0.00188409	0.000745033
2017-10-16-3557	pfama1.23	11	0.0263158	47837(95.5%)	1	0	1	47837	2	0	0.000841751
2017-10-17-3575	pfama1.00	73	0.174641	2765(13.9%)	1	0	1	2765	2	0.00411783	0.0259281
2017-10-17-3577	pfama1.01	58	0.138756	43766(94.3%)	1	0	1	43766	2	0.000960081	0.000826074
2017-10-17-3578	pfama1.11	27	0.0645933	36874(77.2%)	9	0	0.331116	11880	2	0.200878	0.190518
2017-10-17-3578	pfama1.44	3	0.00717703	36874(77.2%)	9	1	0.218015	8027	2	0.200878	0.190518
2017-10-17-3578	pfama1.16	22	0.0526316	36874(77.2%)	9	2	0.17337	6774	2	0.200878	0.190518
2017-10-17-3578	pfama1.08	31	0.0741627	36874(77.2%)	9	3	0.0638324	2140	2	0.200878	0.190518
2017-10-17-3578	pfama1.39	5	0.0119617	36874(77.2%)	9	4	0.0635788	2424	2	0.200878	0.190518
2017-10-17-3578	pfama1.33	7	0.0167464	36874(77.2%)	9	5	0.061321	2198	2	0.200878	0.190518
2017-10-17-3578	pfama1.07	32	0.076555	36874(77.2%)	9	6	0.0537021	1971	2	0.200878	0.190518
2017-10-17-3578	pfama1.15	22	0.0526316	36874(77.2%)	9	7	0.0248455	1053	2	0.200878	0.190518
2017-10-17-3578	pfama1.25	10	0.0239234	36874(77.2%)	9	8	0.0102185	407	2	0.200878	0.190518
2017-10-17-3579	pfama1.36	5	0.0119617	78810(89.6%)	1	0	1	78810	2	0.00210665	0.00346256
2017-10-17-3580	pfama1.06	33	0.0789474	54399(94.3%)	2	0	0.986632	53648	2	0.011366	0.00681959
2017-10-17-3580	pfama1.07	32	0.076555	54399(94.3%)	2	1	0.0133682	751	2	0.011366	0.00681959
2017-10-17-3595	pfama1.00	73	0.174641	3994(21%)	1	0	1	3994	2	0.0184786	0.0180412
2017-10-17-3602	pfama1.22	12	0.0287081	57641(97.4%)	5	0	0.821588	46725	2	0.000748316	0.0176704
2017-10-17-3602	pfama1.08	31	0.0741627	57641(97.4%)	5	1	0.107773	6885	2	0.000748316	0.0176704
2017-10-17-3602	pfama1.26	10	0.0239234	57641(97.4%)	5	2	0.0305273	1844	2	0.000748316	0.0176704
2017-10-17-3602	pfama1.01	58	0.138756	57641(97.4%)	5	3	0.0268202	1522	2	0.000748316	0.0176704
2017-10-17-3602	pfama1.07	32	0.076555	57641(97.4%)	5	4	0.0132912	665	2	0.000748316	0.0176704
2017-10-17-3604	pfama1.17	20	0.0478469	41595(67.5%)	4	0	0.338082	23487	2	0	0.0652163
2017-10-17-3604	pfama1.07	32	0.076555	41595(67.5%)	4	1	0.320752	9359	2	0	0.0652163
2017-10-17-3604	pfama1.22	12	0.0287081	41595(67.5%)	4	2	0.235046	6849	2	0	0.0652163
2017-10-17-3604	pfama1.12	25	0.0598086	41595(67.5%)	4	3	0.10612	1900	2	0	0.0652163
2017-10-17-3612	pfama1.11	27	0.0645933	145533(95.7%)	4	0	0.943126	137199	2	0.0312191	0.0371853
2017-10-17-3612	pfama1.03	47	0.11244	145533(95.7%)	4	1	0.0263348	3880	2	0.0312191	0.0371853
2017-10-17-3612	pfama1.01	58	0.138756	145533(95.7%)	4	2	0.0240167	3510	2	0.0312191	0.0371853
2017-10-17-3612	pfama1.08	31	0.0741627	145533(95.7%)	4	3	0.00652221	944	2	0.0312191	0.0371853
2017-10-17-3614	pfama1.03	47	0.11244	39568(86.3%)	2	0	0.959052	37971	2	0.0892766	0.0473594
2017-10-17-3614	pfama1.44	3	0.00717703	39568(86.3%)	2	1	0.0409484	1597	2	0.0892766	0.0473594
2017-10-17-3615	pfama1.08	31	0.0741627	52108(96%)	1	0	1	52108	2	0.000906379	0.000395769
2017-10-17-3616	pfama1.03	47	0.11244	45902(95.5%)	1	0	1	45902	2	0	0.000401247
2017-10-17-3617	pfama1.07	32	0.076555	59281(95.4%)	1	0	1	59281	2	0.000787495	0.000163239
2017-10-18-3630	pfama1.09	30	0.0717703	54683(96.3%)	1	0	1	54683	2	0.000496355	0.000529187
2017-10-18-3637	pfama1.00	73	0.174641	5377(85.9%)	3	0	0.964088	5184	2	0.0255118	0.0197923
2017-10-18-3637	pfama1.10	29	0.069378	5377(85.9%)	3	1	0.0277329	149	2	0.0255118	0.0197923
2017-10-18-3637	pfama1.60	1	0.00239234	5377(85.9%)	3	2	0.00817912	44	2	0.0255118	0.0197923
2017-10-18-3642	pfama1.03	47	0.11244	70077(92.2%)	1	0	1	70077	3	0.00066422	0.00228808
2017-10-18-3644	pfama1.00	73	0.174641	5272(88.9%)	2	0	0.958235	5063	2	0.0322944	0.0143951
2017-10-18-3644	pfama1.10	29	0.069378	5272(88.9%)	2	1	0.0417647	209	2	0.0322944	0.0143951
2017-10-23-3122	pfama1.02	48	0.114833	26834(84%)	1	0	1	26834	2	0.0146838	0.000945925
2017-10-23-3148	pfama1.00	73	0.174641	1562(82.8%)	3	0	0.885592	1384	2	0.0504854	0.00879765
2017-10-23-3148	pfama1.10	29	0.069378	1562(82.8%)	3	1	0.0998145	155	2	0.0504854	0.00879765
2017-10-23-3148	pfama1.29	8	0.0191388	1562(82.8%)	3	2	0.014593	23	2	0.0504854	0.00879765
2017-10-23-3154	pfama1.01	58	0.138756	124202(98.4%)	1	0	1	124202	2	0.000172436	0.000247009
2017-10-23-3190	pfama1.02	48	0.114833	44044(93.1%)	1	0	1	44044	2	0.00114014	0.00152323
2017-10-23-3202	pfama1.31	7	0.0167464	35452(81.4%)	3	0	0.569974	20326	2	0.166566	0.141903
2017-10-23-3202	pfama1.32	7	0.0167464	35452(81.4%)	3	1	0.311173	10991	2	0.166566	0.141903
2017-10-23-3202	pfama1.28	8	0.0191388	35452(81.4%)	3	2	0.118853	4135	2	0.166566	0.141903
2017-10-23-3205	pfama1.32	7	0.0167464	54241(92.2%)	2	0	0.76691	41507	2	0.0405616	0.0502765
2017-10-23-3205	pfama1.31	7	0.0167464	54241(92.2%)	2	1	0.23309	12734	2	0.0405616	0.0502765
2017-10-23-3649	pfama1.00	73	0.174641	1925(90.4%)	3	0	0.644308	1331	2	0.0229435	0.0497076
2017-10-23-3649	pfama1.01	58	0.138756	1925(90.4%)	3	1	0.278536	379	2	0.0229435	0.0497076
2017-10-23-3649	pfama1.10	29	0.069378	1925(90.4%)	3	2	0.0771558	215	2	0.0229435	0.0497076
2017-10-23-3659	pfama1.19	15	0.0358852	63186(75.6%)	2	0	0.533486	34065	2	0.211265	0.116456
2017-10-23-3659	pfama1.15	22	0.0526316	63186(75.6%)	2	1	0.466514	29121	2	0.211265	0.116456
2017-10-23-3665	pfama1.03	47	0.11244	71530(94.1%)	1	0	1	71530	2	0.000839692	0.000863842
2017-10-24-3672	pfama1.27	9	0.0215311	11(100%)	1	0	1	11	1	0	
2017-10-24-3673	pfama1.12	25	0.0598086	34719(75.1%)	2	0	0.687151	23423	2	0.0997089	0.186583
2017-10-24-3673	pfama1.08	31	0.0741627	34719(75.1%)	2	1	0.312849	11296	2	0.0997089	0.186583
2017-10-24-3677	pfama1.03	47	0.11244	36289(85%)	3	0	0.621542	22556	2	0.117605	0.13363
2017-10-24-3677	pfama1.21	12	0.0287081	36289(85%)	3	1	0.254857	9248	2	0.117605	0.13363
2017-10-24-3677	pfama1.17	20	0.0478469	36289(85%)	3	2	0.123601	4485	2	0.117605	0.13363
2017-10-24-3680	pfama1.00	73	0.174641	3483(84.4%)	4	0	0.899493	3158	2	0.00276702	0.0275981
2017-10-24-3680	pfama1.10	29	0.069378	3483(84.4%)	4	1	0.0454506	152	2	0.00276702	0.0275981
2017-10-24-3680	pfama1.13	25	0.0598086	3483(84.4%)	4	2	0.0370527	116	2	0.00276702	0.0275981
2017-10-24-3680	pfama1.29	8	0.0191388	3483(84.4%)	4	3	0.0180036	57	2	0.00276702	0.0275981
2017-10-24-3684	pfama1.17	20	0.0478469	25034(87.9%)	1	0	1	25034	3	0.000635055	0.00861111
2017-10-24-3685	pfama1.33	7	0.0167464	2783(97%)	2	0	0.891682	2477	2	0	0.00166759
2017-10-24-3685	pfama1.34	7	0.0167464	2783(97%)	2	1	0.108318	306	2	0	0.00166759
2017-10-24-3698	pfama1.00	73	0.174641	2840(82.5%)	3	0	0.897829	2505	2	0.00870322	0.0244328
2017-10-24-3698	pfama1.13	25	0.0598086	2840(82.5%)	3	1	0.0942791	312	2	0.00870322	0.0244328
2017-10-24-3698	pfama1.29	8	0.0191388	2840(82.5%)	3	2	0.00789213	23	2	0.00870322	0.0244328
2017-10-25-3708	pfama1.08	31	0.0741627	125664(98.5%)	1	0	1	125664	2	0.0000376421	0.000281887
2017-10-25-3709	pfama1.18	18	0.0430622	20228(98.9%)	1	0	1	20228	2	0	0
2017-10-25-3712	pfama1.00	73	0.174641	5963(83.3%)	2	0	0.985061	5879	2	0.0199421	0.0158181
2017-10-25-3712	pfama1.10	29	0.069378	5963(83.3%)	2	1	0.0149391	84	2	0.0199421	0.0158181
2017-10-25-3713	pfama1.25	10	0.0239234	25547(94.6%)	1	0	1	25547	4	0	0
2017-10-25-3714	pfama1.05	34	0.0813397	30272(97.7%)	2	0	0.989937	29944	2	0	8.35213e-05
2017-10-25-3714	pfama1.14	23	0.0550239	30272(97.7%)	2	1	0.0100626	328	2	0	8.35213e-05
2017-10-25-3718	pfama1.11	27	0.0645933	92957(91.5%)	1	0	1	92957	2	0.00205671	0.0013173
2017-10-25-3719	pfama1.08	31	0.0741627	89400(98%)	2	0	0.859889	78014	2	0.00891549	0.00066003
2017-10-25-3719	pfama1.20	14	0.0334928	89400(98%)	2	1	0.140111	11386	2	0.00891549	0.00066003
2017-10-25-3720	pfama1.06	33	0.0789474	112558(97.9%)	3	0	0.459398	51633	2	0.00998785	0.00654429
2017-10-25-3720	pfama1.20	14	0.0334928	112558(97.9%)	3	1	0.457676	51555	2	0.00998785	0.00654429
2017-10-25-3720	pfama1.02	48	0.114833	112558(97.9%)	3	2	0.0829265	9370	2	0.00998785	0.00654429
2017-10-25-3728	pfama1.05	34	0.0813397	50888(89.8%)	1	0	1	50888	4	0.000286041	0.000316857
2017-10-30-3746	pfama1.11	27	0.0645933	70061(89.5%)	2	0	0.826263	57874	2	0.0726364	0.0574845
2017-10-30-3746	pfama1.03	47	0.11244	70061(89.5%)	2	1	0.173737	12187	2	0.0726364	0.0574845
2017-10-30-3747	pfama1.02	48	0.114833	51637(90.7%)	1	0	1	51637	2	0.00321403	0.00232941
2017-10-30-3761	pfama1.07	32	0.076555	193520(98.7%)	1	0	1	193520	2	0.0000224904	0.000186675
2017-10-30-3762	pfama1.00	73	0.174641	5929(23.5%)	1	0	1	5929	3	0	0.00971083
2017-10-30-3766	pfama1.04	35	0.0837321	39267(94.7%)	1	0	1	39267	2	0.000573841	0.000409956
2017-10-30-3772	pfama1.00	73	0.174641	2114(78.8%)	2	0	0.952396	1977	2	0.0253853	0.0272537
2017-10-30-3772	pfama1.13	25	0.0598086	2114(78.8%)	2	1	0.0476041	137	2	0.0253853	0.0272537
2017-10-30-3773	pfama1.04	35	0.0837321	146577(81.6%)	2	0	0.723248	106328	2	0.154092	0.189974
2017-10-30-3773	pfama1.09	30	0.0717703	146577(81.6%)	2	1	0.276752	40249	2	0.154092	0.189974
2017-10-30-3777	pfama1.07	32	0.076555	39202(85%)	1	0	1	39202	2	0.0578754	0.00254658
2017-10-30-3779	pfama1.00	73	0.174641	672(71.1%)	2	0	0.951004	637	2	0.0317221	0.024735
2017-10-30-3779	pfama1.10	29	0.069378	672(71.1%)	2	1	0.048996	35	2	0.0317221	0.024735
2017-10-31-3785	pfama1.41	4	0.00956938	79617(89.7%)	1	0	1	79617	2	0.0134231	0.000317496
2017-10-31-3786	pfama1.04	35	0.0837321	29499(98.3%)	5	0	0.683628	20173	2	0.0048943	0.00294233
2017-10-31-3786	pfama1.02	48	0.114833	29499(98.3%)	5	1	0.169673	4991	2	0.0048943	0.00294233
2017-10-31-3786	pfama1.09	30	0.0717703	29499(98.3%)	5	2	0.0785999	2317	2	0.0048943	0.00294233
2017-10-31-3786	pfama1.05	34	0.0813397	29499(98.3%)	5	3	0.043571	1295	2	0.0048943	0.00294233
2017-10-31-3786	pfama1.08	31	0.0741627	29499(98.3%)	5	4	0.0245278	723	2	0.0048943	0.00294233
2017-10-31-3787	pfama1.04	35	0.0837321	75793(89.4%)	1	0	1	75793	2	0.00413503	0.0032664
2017-10-31-3805	pfama1.02	48	0.114833	37908(96.7%)	1	0	1	37908	2	0.000109385	0.00062192
2017-10-31-3816	pfama1.01	58	0.138756	13107(98%)	1	0	1	13107	2	0	0.000353315
2017-10-31-3818	pfama1.12	25	0.0598086	45023(98.6%)	1	0	1	45023	2	0.000494315	0.000168148
2017-11-01-3079	pfama1.15	22	0.0526316	59418(96.3%)	1	0	1	59418	2	0.000347651	0.000279111
2017-11-01-3093	pfama1.37	5	0.0119617	29504(83%)	1	0	1	29504	2	0.0077259	0.00484191
2017-11-01-3096	pfama1.06	33	0.0789474	9071(98.8%)	5	0	0.508323	4611	1	0	
2017-11-01-3096	pfama1.28	8	0.0191388	9071(98.8%)	5	1	0.413516	3751	1	0	
2017-11-01-3096	pfama1.18	18	0.0430622	9071(98.8%)	5	2	0.0309778	281	1	0	
2017-11-01-3096	pfama1.11	27	0.0645933	9071(98.8%)	5	3	0.029214	265	1	0	
2017-11-01-3096	pfama1.16	22	0.0526316	9071(98.8%)	5	4	0.0179694	163	1	0	
2017-11-01-3364	pfama1.20	14	0.0334928	73377(93.5%)	1	0	1	73377	2	0.00194038	0.000593334
2017-11-01-3505	pfama1.43	3	0.00717703	5785(79%)	1	0	1	5785	4	0	0
2017-11-01-3510	pfama1.30	7	0.0167464	33958(88.7%)	1	0	1	33958	2	0.000345453	0.0181157
2017-11-01-3773	pfama1.09	30	0.0717703	128874(80.3%)	2	0	0.504873	65081	2	0.169131	0.204158
2017-11-01-3773	pfama1.04	35	0.0837321	128874(80.3%)	2	1	0.495127	63793	2	0.169131	0.204158
2017-11-06-3055	pfama1.00	73	0.174641	1078(80%)	3	0	0.843762	907	2	0.0191257	0.0803213
2017-11-06-3055	pfama1.13	25	0.0598086	1078(80%)	3	1	0.120155	124	2	0.0191257	0.0803213
2017-11-06-3055	pfama1.10	29	0.069378	1078(80%)	3	2	0.036083	47	2	0.0191257	0.0803213
2017-11-06-3162	pfama1.49	1	0.00239234	15159(82.3%)	1	0	1	15159	2	0.00644468	0.00275235
2017-11-06-3163	pfama1.03	47	0.11244	77420(98.4%)	1	0	1	77420	2	0	0.00250375
2017-11-06-3164	pfama1.16	22	0.0526316	83328(99.4%)	2	0	0.950934	78987	2	0	0.000901771
2017-11-06-3164	pfama1.01	58	0.138756	83328(99.4%)	2	1	0.0490664	4341	2	0	0.000901771
2017-11-06-3514	pfama1.00	73	0.174641	3362(81.2%)	3	0	0.932432	3144	2	0.0244073	0.0121906
2017-11-06-3514	pfama1.13	25	0.0598086	3362(81.2%)	3	1	0.0344911	105	2	0.0244073	0.0121906
2017-11-06-3514	pfama1.10	29	0.069378	3362(81.2%)	3	2	0.0330772	113	2	0.0244073	0.0121906
2017-11-07-3047	pfama1.00	73	0.174641	229(85.1%)	2	0	0.876739	198	2	0	0.0920245
2017-11-07-3047	pfama1.10	29	0.069378	229(85.1%)	2	1	0.123261	31	2	0	0.0920245
2017-11-07-3284	pfama1.06	33	0.0789474	35395(97%)	2	0	0.932459	32325	2	0.00615359	0.000743433
2017-11-07-3284	pfama1.26	10	0.0239234	35395(97%)	2	1	0.0675413	3070	2	0.00615359	0.000743433
2017-11-07-3285	pfama1.14	23	0.0550239	29(96.7%)	2	0	0.62069	18	1	0	
2017-11-07-3285	pfama1.06	33	0.0789474	29(96.7%)	2	1	0.37931	11	1	0	
2017-11-07-3523	pfama1.05	34	0.0813397	30393(97.3%)	1	0	1	30393	2	0.000290456	0.000420639
2017-11-07-3527	pfama1.03	47	0.11244	657(53.5%)	1	0	1	657	4	0	0
2017-11-08-3336	pfama1.08	31	0.0741627	18928(85.1%)	1	0	1	18928	4	0	0
2017-11-08-3529	pfama1.20	14	0.0334928	356(40.3%)	1	0	1	356	4	0	0
2017-11-13-3541	pfama1.14	23	0.0550239	67021(93.7%)	1	0	1	67021	2	0.00104952	0.000902632
2017-11-13-3542	pfama1.01	58	0.138756	94(83.2%)	2	0	0.580483	54	2	0	0
2017-11-13-3542	pfama1.27	9	0.0215311	94(83.2%)	2	1	0.419517	40	2	0	0
2017-11-13-3547	pfama1.07	32	0.076555	31604(95%)	1	0	1	31604	2	0.000622844	0.000161447
2017-11-13-3557	pfama1.23	11	0.0263158	119520(99.5%)	1	0	1	119520	2	0.0000459102	0
2017-11-13-3602	pfama1.01	58	0.138756	5059(96.2%)	7	0	0.348224	1746	2	0.00501367	0.000652955
2017-11-13-3602	pfama1.22	12	0.0287081	5059(96.2%)	7	1	0.316138	1592	2	0.00501367	0.000652955
2017-11-13-3602	pfama1.23	11	0.0263158	5059(96.2%)	7	2	0.130117	652	2	0.00501367	0.000652955
2017-11-13-3602	pfama1.07	32	0.076555	5059(96.2%)	7	3	0.129969	681	2	0.00501367	0.000652955
2017-11-13-3602	pfama1.26	10	0.0239234	5059(96.2%)	7	4	0.0331759	173	2	0.00501367	0.000652955
2017-11-13-3602	pfama1.03	47	0.11244	5059(96.2%)	7	5	0.0222188	112	2	0.00501367	0.000652955
2017-11-13-3602	pfama1.08	31	0.0741627	5059(96.2%)	7	6	0.0201568	103	2	0.00501367	0.000652955
2017-11-13-3604	pfama1.16	22	0.0526316	4367(52.8%)	3	0	0.512935	1865	2	0.0714286	0.047179
2017-11-13-3604	pfama1.12	25	0.0598086	4367(52.8%)	3	1	0.340619	1806	2	0.0714286	0.047179
2017-11-13-3604	pfama1.02	48	0.114833	4367(52.8%)	3	2	0.146445	696	2	0.0714286	0.047179
2017-11-13-3719	pfama1.20	14	0.0334928	44570(99.2%)	2	0	0.957354	42429	2	0	0.000405834
2017-11-13-3719	pfama1.08	31	0.0741627	44570(99.2%)	2	1	0.0426464	2141	2	0	0.000405834
2017-11-14-3575	pfama1.00	73	0.174641	2270(82.5%)	2	0	0.876397	1958	2	0.0181208	0.00714286
