date	cid	sampleName
01032018	3164	01032018-3164-PR2-006-2
01032018	3164	01032018-3164-PR2-006-2
01042018	3284	01042018-3284-PR2-009
01042018	3284	01042018-3284-PR2-009
01042018	3285	01042018-3285-PR2-006-1
01042018	3285	01042018-3285-PR2-006-1
01042018	3523	01042018-3523-PR2-008-1
01042018	3523	01042018-3523-PR2-008-1
01042018	3527	01042018-3527-PR2-009
01042018	3527	01042018-3527-PR2-009
01082018	3546	01082018-3546-PR2-009
01082018	3546	01082018-3546-PR2-009
01092018	3577	01092018-3577-PR2-009
01092018	3577	01092018-3577-PR2-009
01092018	3579	01092018-3579-PR2-008-1
01092018	3579	01092018-3579-PR2-008-1
01092018	3604	01092018-3604-PR2-006-2
01092018	3604	01092018-3604-PR2-006-2
01092018	3614	01092018-3614-PR2-008-1
01092018	3614	01092018-3614-PR2-008-1
01092018	3615	01092018-3615-PR2-008-1
01092018	3615	01092018-3615-PR2-008-1
01102018	3630	01102018-3630-PR2-006-2
01102018	3630	01102018-3630-PR2-006-2
01102018	3635	01102018-3635-PR2-008-1
01102018	3635	01102018-3635-PR2-008-1
01112017	3079	01112017-3079-PR2-007-2
01112017	3079	01112017-3079-PR2-007-2
01112017	3315	01112017-3315-PR2-007-1
01112017	3315	01112017-3315-PR2-007-1
02052018	3540	02052018-3540-PR2-009
02052018	3540	02052018-3540-PR2-009
02052018	3541	02052018-3541-PR2-009
02052018	3541	02052018-3541-PR2-009
02052018	3542	02052018-3542-PR2-006-2
02052018	3542	02052018-3542-PR2-006-2
02062018	3546	02062018-3546-PR2-009
02062018	3546	02062018-3546-PR2-009
02062018	3577	02062018-3577-PR2-009
02062018	3577	02062018-3577-PR2-009
02062018	3579	02062018-3579-PR2-009
02062018	3579	02062018-3579-PR2-009
02062018	3595	02062018-3595-PR2-009
02062018	3595	02062018-3595-PR2-009
02062018	3614	02062018-3614-PR2-009
02062018	3614	02062018-3614-PR2-009
02062018	3616	02062018-3616-PR2-008-1
02062018	3616	02062018-3616-PR2-008-1
02062018	3617	02062018-3617-PR2-006-2
02062018	3617	02062018-3617-PR2-006-2
02072018	3630	02072018-3630-PR2-008-1
02072018	3630	02072018-3630-PR2-008-1
02072018	3635	02072018-3635-PR2-006-1
02072018	3635	02072018-3635-PR2-006-1
02072018	3642	02072018-3642-PR2-009
02072018	3642	02072018-3642-PR2-009
02122018	3122	02122018-3122-PR2-009
02122018	3122	02122018-3122-PR2-009
02122018	3154	02122018-3154-PR2-009
02122018	3154	02122018-3154-PR2-009
02122018	3205	02122018-3205-PR2-008-1
02122018	3205	02122018-3205-PR2-008-1
02122018	3659	02122018-3659-PR2-006-2
02122018	3659	02122018-3659-PR2-006-2
03052018	3541	03052018-3541-PR2-009
03052018	3541	03052018-3541-PR2-009
03052018	3542	03052018-3542-PR2-006-2
03052018	3542	03052018-3542-PR2-006-2
03052018	3546	03052018-3546-PR2-009
03052018	3546	03052018-3546-PR2-009
03062018	3577	03062018-3577-PR2-008-1
03062018	3577	03062018-3577-PR2-008-1
03062018	3595	03062018-3595-PR2-009
03062018	3595	03062018-3595-PR2-009
03062018	3604	03062018-3604-PR2-006-2
03062018	3604	03062018-3604-PR2-006-2
03072018	3642	03072018-3642-PR2-008-1
03122018	3190	03122018-3190-PR2-009
03122018	3190	03122018-3190-PR2-009
03122018	3202	03122018-3202-PR2-008-1
03122018	3202	03122018-3202-PR2-008-1
03122018	3205	03122018-3205-PR2-009
03122018	3205	03122018-3205-PR2-009
03122018	3659	03122018-3659-PR2-008-1
03122018	3659	03122018-3659-PR2-008-1
04102017	3313	04102017-3313-PR2-007-2
04102017	3313	04102017-3313-PR2-007-2
04102017	3315	04102017-3315-PR2-007-1
04102017	3315	04102017-3315-PR2-007-1
04122017	3164	04122017-3164-PR2-007-1
04122017	3164	04122017-3164-PR2-007-1
05122017	3284	05122017-3284-PR2-007-2
05122017	3284	05122017-3284-PR2-007-2
06022018	3578	06022018-3578-PR2-007-1
06022018	3578	06022018-3578-PR2-007-1
06022018	3602	06022018-3602-PR2-007-2
06022018	3602	06022018-3602-PR2-007-2
06032018	3578	06032018-3578-PR2-007-1
06032018	3578	06032018-3578-PR2-007-1
06032018	3579	06032018-3579-PR2-007-2
06032018	3579	06032018-3579-PR2-007-2
08012018	3542	08012018-3542-PR2-007-1
08012018	3542	08012018-3542-PR2-007-1
09012018	3578	09012018-3578-PR2-007-2
09012018	3578	09012018-3578-PR2-007-2
09012018	3602	09012018-3602-PR2-007-1
09012018	3602	09012018-3602-PR2-007-1
09012018	3616	09012018-3616-PR2-007-2
09012018	3616	09012018-3616-PR2-007-2
09102017	3164	09102017-3164-PR2-007-1
09102017	3164	09102017-3164-PR2-007-1
10042017	3079	10042017-3079-PR2-008-1
10042017	3079	10042017-3079-PR2-008-1
10042017	3093	10042017-3093-PR2-008-1
10042017	3093	10042017-3093-PR2-008-1
10042017	3096	10042017-3096-PR2-006-1
10042017	3096	10042017-3096-PR2-006-1
10042017	3364	10042017-3364-PR2-006-2
10042017	3364	10042017-3364-PR2-006-2
10042017	3510	10042017-3510-PR2-009
10042017	3510	10042017-3510-PR2-009
10092017	3001	10092017-3001-PR2-009
10092017	3001	10092017-3001-PR2-009
10092017	3163	10092017-3163-PR2-006-1
10092017	3163	10092017-3163-PR2-006-1
10102017	3284	10102017-3284-PR2-007-1
10102017	3284	10102017-3284-PR2-007-1
10102017	3285	10102017-3285-PR2-006-1
10102017	3285	10102017-3285-PR2-006-1
10102017	3523	10102017-3523-PR2-008-1
10102017	3523	10102017-3523-PR2-008-1
10102017	3527	10102017-3527-PR2-009
10102017	3527	10102017-3527-PR2-009
10112017	3236	10112017-3236-PR2-009
10112017	3236	10112017-3236-PR2-009
10112017	3530	10112017-3530-PR2-009
10112017	3530	10112017-3530-PR2-009
11012017	3093	11012017-3093-PR2-009
11012017	3093	11012017-3093-PR2-009
11012017	3096	11012017-3096-PR2-006-1
11012017	3096	11012017-3096-PR2-006-1
11012017	3313	11012017-3313-PR2-009
11012017	3313	11012017-3313-PR2-009
11012017	3364	11012017-3364-PR2-009
11012017	3364	11012017-3364-PR2-009
11012017	3505	11012017-3505-PR2-008-1
11012017	3505	11012017-3505-PR2-008-1
11012017	3510	11012017-3510-PR2-008-1
11012017	3510	11012017-3510-PR2-008-1
11012017	3773	11012017-3773-PR2-006-1
11012017	3773	11012017-3773-PR2-006-1
11062017	3001	11062017-3001-PR2-009
11062017	3001	11062017-3001-PR2-009
11062017	3163	11062017-3163-PR2-006-1
11062017	3163	11062017-3163-PR2-006-1
11062017	3164	11062017-3164-PR2-006-1
11062017	3164	11062017-3164-PR2-006-1
11072017	3047	11072017-3047-PR2-009
11072017	3284	11072017-3284-PR2-008-1
11072017	3284	11072017-3284-PR2-008-1
11072017	3285	11072017-3285-PR2-006-2
11072017	3523	11072017-3523-PR2-008-1
11072017	3523	11072017-3523-PR2-008-1
11072017	3527	11072017-3527-PR2-008-1
11072017	3527	11072017-3527-PR2-008-1
11082017	3336	11082017-3336-PR2-008-1
11082017	3336	11082017-3336-PR2-008-1
11082017	3529	11082017-3529-PR2-008-1
11082017	3529	11082017-3529-PR2-008-1
11122017	3540	11122017-3540-PR2-007-2
11122017	3540	11122017-3540-PR2-007-2
11122017	3546	11122017-3546-PR2-007-2
11122017	3546	11122017-3546-PR2-007-2
12022018	3190	12022018-3190-PR2-007-2
12022018	3190	12022018-3190-PR2-007-2
12022018	3202	12022018-3202-PR2-007-2
12022018	3202	12022018-3202-PR2-007-2
12022018	3665	12022018-3665-PR2-007-2
12022018	3665	12022018-3665-PR2-007-2
12042017	3001	12042017-3001-PR2-009
12042017	3001	12042017-3001-PR2-009
12042017	3055	12042017-3055-PR2-009
12042017	3055	12042017-3055-PR2-009
12052017	3285	12052017-3285-PR2-006-1
12052017	3285	12052017-3285-PR2-006-1
12052017	3523	12052017-3523-PR2-008-1
12052017	3523	12052017-3523-PR2-008-1
12052017	3527	12052017-3527-PR2-009
12052017	3527	12052017-3527-PR2-009
12062017	3336	12062017-3336-PR2-009
12062017	3336	12062017-3336-PR2-009
12112017	3541	12112017-3541-PR2-009
12112017	3541	12112017-3541-PR2-009
12112017	3542	12112017-3542-PR2-006-1
12112017	3542	12112017-3542-PR2-006-1
12112017	3547	12112017-3547-PR2-008-1
12112017	3547	12112017-3547-PR2-008-1
12112017	3557	12112017-3557-PR2-008-1
12112017	3557	12112017-3557-PR2-008-1
12122017	3575	12122017-3575-PR2-009
12122017	3575	12122017-3575-PR2-009
12122017	3577	12122017-3577-PR2-007-2
12122017	3577	12122017-3577-PR2-007-2
12122017	3578	12122017-3578-PR2-006-1
12122017	3578	12122017-3578-PR2-006-1
12122017	3579	12122017-3579-PR2-007-1
12122017	3579	12122017-3579-PR2-007-1
12122017	3580	12122017-3580-PR2-008-1
12122017	3580	12122017-3580-PR2-008-1
12122017	3602	12122017-3602-PR2-006-1
12122017	3602	12122017-3602-PR2-006-1
12122017	3604	12122017-3604-PR2-006-1
12122017	3604	12122017-3604-PR2-006-1
12122017	3614	12122017-3614-PR2-006-1
12122017	3614	12122017-3614-PR2-006-1
12122017	3615	12122017-3615-PR2-009
12122017	3615	12122017-3615-PR2-009
12122017	3616	12122017-3616-PR2-006-2
12122017	3617	12122017-3617-PR2-008-1
12122017	3617	12122017-3617-PR2-008-1
13022018	3672	13022018-3672-PR2-009
13022018	3672	13022018-3672-PR2-009
13022018	3673	13022018-3673-PR2-009
13022018	3673	13022018-3673-PR2-009
13022018	3677	13022018-3677-PR2-008-1
13022018	3677	13022018-3677-PR2-008-1
13022018	3685	13022018-3685-PR2-007-1
13022018	3685	13022018-3685-PR2-007-1
13032018	3672	13032018-3672-PR2-009
13032018	3672	13032018-3672-PR2-009
13032018	3685	13032018-3685-PR2-009
13032018	3685	13032018-3685-PR2-009
13112017	3540	13112017-3540-PR2-007-1
13112017	3540	13112017-3540-PR2-007-1
13112017	3541	13112017-3541-PR2-009
13112017	3541	13112017-3541-PR2-009
13112017	3542	13112017-3542-PR2-006-2
13112017	3542	13112017-3542-PR2-006-2
13112017	3546	13112017-3546-PR2-007-1
13112017	3546	13112017-3546-PR2-007-1
13112017	3547	13112017-3547-PR2-008-1
13112017	3547	13112017-3547-PR2-008-1
13112017	3557	13112017-3557-PR2-006-1
13112017	3557	13112017-3557-PR2-006-1
13112017	3602	13112017-3602-PR2-006-2
13112017	3602	13112017-3602-PR2-006-2
13112017	3604	13112017-3604-PR2-006-1
13112017	3604	13112017-3604-PR2-006-1
13112017	3719	13112017-3719-PR2-006-1
13112017	3719	13112017-3719-PR2-006-1
13122017	3627	13122017-3627-PR2-009
13122017	3630	13122017-3630-PR2-006-1
13122017	3630	13122017-3630-PR2-006-1
13122017	3637	13122017-3637-PR2-008-1
13122017	3637	13122017-3637-PR2-008-1
13122017	3642	13122017-3642-PR2-008-1
13122017	3642	13122017-3642-PR2-008-1
14022018	3708	14022018-3708-PR2-006-2
14022018	3708	14022018-3708-PR2-006-2
14022018	3709	14022018-3709-PR2-007-2
14022018	3709	14022018-3709-PR2-007-2
14022018	3713	14022018-3713-PR2-009
14022018	3713	14022018-3713-PR2-009
14022018	3714	14022018-3714-PR2-008-1
14022018	3714	14022018-3714-PR2-008-1
14022018	3728	14022018-3728-PR2-009
14022018	3728	14022018-3728-PR2-009
14032018	3708	14032018-3708-PR2-009
14032018	3708	14032018-3708-PR2-009
14032018	3709	14032018-3709-PR2-009
14032018	3709	14032018-3709-PR2-009
14032018	3714	14032018-3714-PR2-009
14032018	3714	14032018-3714-PR2-009
14112017	3577	14112017-3577-PR2-009
14112017	3577	14112017-3577-PR2-009
14112017	3578	14112017-3578-PR2-006-2
14112017	3578	14112017-3578-PR2-006-2
14112017	3579	14112017-3579-PR2-006-2
14112017	3579	14112017-3579-PR2-006-2
14112017	3580	14112017-3580-PR2-009
14112017	3580	14112017-3580-PR2-009
14112017	3595	14112017-3595-PR2-009
14112017	3595	14112017-3595-PR2-009
14112017	3612	14112017-3612-PR2-008-1
14112017	3612	14112017-3612-PR2-008-1
14112017	3614	14112017-3614-PR2-006-1
14112017	3614	14112017-3614-PR2-006-1
14112017	3615	14112017-3615-PR2-006-1
14112017	3615	14112017-3615-PR2-006-1
14112017	3616	14112017-3616-PR2-006-1
14112017	3616	14112017-3616-PR2-006-1
14112017	3617	14112017-3617-PR2-006-2
14112017	3617	14112017-3617-PR2-006-2
15012018	3122	15012018-3122-PR2-008-1
15012018	3122	15012018-3122-PR2-008-1
15012018	3148	15012018-3148-PR2-009
15012018	3148	15012018-3148-PR2-009
15012018	3154	15012018-3154-PR2-007-1
15012018	3154	15012018-3154-PR2-007-1
15012018	3190	15012018-3190-PR2-007-2
15012018	3190	15012018-3190-PR2-007-2
15012018	3658	15012018-3658-PR2-008-1
15012018	3658	15012018-3658-PR2-008-1
15012018	3659	15012018-3659-PR2-008-1
15012018	3659	15012018-3659-PR2-008-1
15012018	3665	15012018-3665-PR2-008-1
15012018	3665	15012018-3665-PR2-008-1
15012018	3825	15012018-3825-PR2-008-1
15012018	3825	15012018-3825-PR2-008-1
15112017	3627	15112017-3627-PR2-008-1
15112017	3627	15112017-3627-PR2-008-1
15112017	3630	15112017-3630-PR2-006-1
15112017	3630	15112017-3630-PR2-006-1
15112017	3642	15112017-3642-PR2-007-2
15112017	3642	15112017-3642-PR2-007-2
16012018	3672	16012018-3672-PR2-008-1
16012018	3672	16012018-3672-PR2-008-1
16012018	3685	16012018-3685-PR2-006-2
16012018	3685	16012018-3685-PR2-006-2
16102017	3540	16102017-3540-PR2-006-2
16102017	3540	16102017-3540-PR2-006-2
16102017	3541	16102017-3541-PR2-008-1
16102017	3541	16102017-3541-PR2-008-1
16102017	3542	16102017-3542-PR2-006-1
16102017	3542	16102017-3542-PR2-006-1
16102017	3546	16102017-3546-PR2-007-2
16102017	3546	16102017-3546-PR2-007-2
16102017	3549	16102017-3549-PR2-008-1
16102017	3549	16102017-3549-PR2-008-1
16102017	3557	16102017-3557-PR2-007-1
16102017	3557	16102017-3557-PR2-007-1
17012018	3202	17012018-3202-PR2-009
17012018	3202	17012018-3202-PR2-009
17012018	3205	17012018-3205-PR2-008-1
17012018	3205	17012018-3205-PR2-008-1
17012018	3709	17012018-3709-PR2-009
17012018	3709	17012018-3709-PR2-009
17012018	3713	17012018-3713-PR2-007-2
17012018	3713	17012018-3713-PR2-007-2
17012018	3714	17012018-3714-PR2-007-2
17012018	3714	17012018-3714-PR2-007-2
17012018	3728	17012018-3728-PR2-009
17012018	3728	17012018-3728-PR2-009
17102017	3577	17102017-3577-PR2-008-1
17102017	3577	17102017-3577-PR2-008-1
17102017	3578	17102017-3578-PR2-007-1
17102017	3578	17102017-3578-PR2-007-1
17102017	3579	17102017-3579-PR2-009
17102017	3579	17102017-3579-PR2-009
17102017	3580	17102017-3580-PR2-007-2
17102017	3580	17102017-3580-PR2-007-2
17102017	3602	17102017-3602-PR2-006-2
17102017	3602	17102017-3602-PR2-006-2
17102017	3604	17102017-3604-PR2-006-1
17102017	3604	17102017-3604-PR2-006-1
17102017	3612	17102017-3612-PR2-006-1
17102017	3612	17102017-3612-PR2-006-1
17102017	3614	17102017-3614-PR2-008-1
17102017	3614	17102017-3614-PR2-008-1
17102017	3615	17102017-3615-PR2-007-2
17102017	3615	17102017-3615-PR2-007-2
17102017	3616	17102017-3616-PR2-007-2
17102017	3616	17102017-3616-PR2-007-2
17102017	3617	17102017-3617-PR2-007-1
17102017	3617	17102017-3617-PR2-007-1
17112017	3779	17112017-3779-PR2-006-1
17112017	3779	17112017-3779-PR2-006-1
18102017	3630	18102017-3630-PR2-007-1
18102017	3630	18102017-3630-PR2-007-1
18102017	3642	18102017-3642-PR2-009
18102017	3642	18102017-3642-PR2-009
18122017	3122	18122017-3122-PR2-007-1
18122017	3122	18122017-3122-PR2-007-1
18122017	3148	18122017-3148-PR2-008-1
18122017	3148	18122017-3148-PR2-008-1
18122017	3154	18122017-3154-PR2-006-1
18122017	3154	18122017-3154-PR2-006-1
18122017	3190	18122017-3190-PR2-006-2
18122017	3190	18122017-3190-PR2-006-2
18122017	3202	18122017-3202-PR2-006-2
18122017	3202	18122017-3202-PR2-006-2
18122017	3205	18122017-3205-PR2-006-2
18122017	3205	18122017-3205-PR2-006-2
18122017	3649	18122017-3649-PR2-009
18122017	3649	18122017-3649-PR2-009
18122017	3659	18122017-3659-PR2-006-2
18122017	3665	18122017-3665-PR2-006-2
18122017	3665	18122017-3665-PR2-006-2
19022018	3746	19022018-3746-PR2-008-1
19022018	3746	19022018-3746-PR2-008-1
19022018	3747	19022018-3747-PR2-008-1
19022018	3747	19022018-3747-PR2-008-1
19022018	3761	19022018-3761-PR2-007-1
19022018	3761	19022018-3761-PR2-007-1
19022018	3766	19022018-3766-PR2-007-2
19022018	3766	19022018-3766-PR2-007-2
19022018	3777	19022018-3777-PR2-008-1
19022018	3777	19022018-3777-PR2-008-1
19032018	3746	19032018-3746-PR2-009
19032018	3746	19032018-3746-PR2-009
19032018	3747	19032018-3747-PR2-009
19032018	3747	19032018-3747-PR2-009
19032018	3761	19032018-3761-PR2-008-1
19032018	3761	19032018-3761-PR2-008-1
19032018	3766	19032018-3766-PR2-008-1
19032018	3766	19032018-3766-PR2-008-1
19032018	3777	19032018-3777-PR2-008-1
19032018	3777	19032018-3777-PR2-008-1
19122017	3672	19122017-3672-PR2-006-1
19122017	3672	19122017-3672-PR2-006-1
19122017	3673	19122017-3673-PR2-007-2
19122017	3673	19122017-3673-PR2-007-2
19122017	3677	19122017-3677-PR2-006-1
19122017	3677	19122017-3677-PR2-006-1
