s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2018-02-06-3602	pfama1.005	56	0.0762943	37026(73.9%)	8	5	0.0359529	1346	2
2018-02-06-3602	pfama1.023	19	0.0258856	37026(73.9%)	8	6	0.022586	857	2
2018-02-06-3602	pfama1.020	22	0.0299728	37026(73.9%)	8	7	0.0128903	474	2
2018-02-06-3614	pfama1.002	95	0.129428	248669(65.5%)	3	0	0.72824	178557	2
2018-02-06-3614	pfama1.039	5	0.00681199	248669(65.5%)	3	1	0.242666	63640	2
2018-02-06-3614	pfama1.100	1	0.0013624	248669(65.5%)	3	2	0.0290936	6472	2
2018-02-06-3616	pfama1.002	95	0.129428	42856(91.2%)	1	0	1	42856	2
2018-02-06-3617	pfama1.004	66	0.0899183	93295(93%)	15	0	0.179782	16700	2
2018-02-06-3617	pfama1.014	39	0.0531335	93295(93%)	15	1	0.134754	12540	2
2018-02-06-3617	pfama1.012	40	0.0544959	93295(93%)	15	2	0.132088	12284	2
2018-02-06-3617	pfama1.002	95	0.129428	93295(93%)	15	3	0.129559	12095	2
2018-02-06-3617	pfama1.000	125	0.1703	93295(93%)	15	4	0.103338	9647	2
2018-02-06-3617	pfama1.020	22	0.0299728	93295(93%)	15	5	0.057462	5397	2
2018-02-06-3617	pfama1.043	3	0.00408719	93295(93%)	15	6	0.0494699	4585	2
2018-02-06-3617	pfama1.001	107	0.145777	93295(93%)	15	7	0.0449584	4213	2
2018-02-06-3617	pfama1.010	49	0.0667575	93295(93%)	15	8	0.0424096	3931	2
2018-02-06-3617	pfama1.011	47	0.0640327	93295(93%)	15	9	0.0281378	2702	2
2018-02-06-3617	pfama1.009	50	0.0681199	93295(93%)	15	10	0.0235284	2196	2
2018-02-06-3617	pfama1.007	50	0.0681199	93295(93%)	15	11	0.0234673	2217	2
2018-02-06-3617	pfama1.036	7	0.00953678	93295(93%)	15	12	0.0199703	1848	2
2018-02-06-3617	pfama1.040	5	0.00681199	93295(93%)	15	13	0.0165726	1559	2
2018-02-06-3617	pfama1.006	54	0.0735695	93295(93%)	15	14	0.0145023	1381	2
2018-02-07-3630	pfama1.014	39	0.0531335	39476(89%)	1	0	1	39476	2
2018-02-07-3635	pfama1.005	56	0.0762943	119442(98.6%)	1	0	1	119442	2
2018-02-07-3642	pfama1.002	95	0.129428	48648(88.6%)	1	0	1	48648	2
2018-02-12-3122	pfama1.001	107	0.145777	68191(88.7%)	1	0	1	68191	2
2018-02-12-3154	pfama1.000	125	0.1703	48072(85.9%)	1	0	1	48072	2
2018-02-12-3190	pfama1.001	107	0.145777	69611(95.9%)	1	0	1	69611	2
2018-02-12-3202	pfama1.022	19	0.0258856	41708(92.7%)	1	0	1	41708	2
2018-02-12-3205	pfama1.022	19	0.0258856	38176(84%)	3	0	0.836182	32094	2
2018-02-12-3205	pfama1.026	14	0.0190736	38176(84%)	3	1	0.127471	4716	2
2018-02-12-3205	pfama1.000	125	0.1703	38176(84%)	3	2	0.0363469	1366	2
2018-02-12-3659	pfama1.030	10	0.013624	52470(97.4%)	2	0	0.980651	51494	2
2018-02-12-3659	pfama1.018	23	0.0313351	52470(97.4%)	2	1	0.0193489	976	2
2018-02-12-3665	pfama1.002	95	0.129428	62375(94.5%)	1	0	1	62375	2
2018-02-13-3672	pfama1.004	66	0.0899183	66983(77.2%)	2	0	0.849637	55339	2
2018-02-13-3672	pfama1.025	17	0.0231608	66983(77.2%)	2	1	0.150363	11644	2
2018-02-13-3677	pfama1.024	18	0.0245232	30543(78.6%)	1	0	1	30543	2
2018-02-13-3685	pfama1.018	23	0.0313351	42593(82.3%)	2	0	0.772779	32883	2
2018-02-13-3685	pfama1.031	10	0.013624	42593(82.3%)	2	1	0.227221	9710	2
2018-02-14-3708	pfama1.003	71	0.0967302	112729(98.5%)	1	0	1	112729	2
2018-02-14-3709	pfama1.012	40	0.0544959	60082(94.3%)	1	0	1	60082	2
2018-02-14-3713	pfama1.016	24	0.0326975	76587(87.1%)	1	0	1	76587	2
2018-02-14-3714	pfama1.008	50	0.0681199	37533(76.3%)	1	0	1	37533	2
2018-02-14-3728	pfama1.006	54	0.0735695	60146(76.3%)	1	0	1	60146	3
2018-02-19-3746	pfama1.002	95	0.129428	46241(92%)	1	0	1	46241	2
2018-02-19-3747	pfama1.001	107	0.145777	38761(91.9%)	1	0	1	38761	2
2018-02-19-3761	pfama1.005	56	0.0762943	47213(96.6%)	1	0	1	47213	2
2018-02-19-3762	pfama1.014	39	0.0531335	16047(81.2%)	9	0	0.809871	12996	1
2018-02-19-3762	pfama1.090	1	0.0013624	16047(81.2%)	9	1	0.0420639	675	1
2018-02-19-3762	pfama1.092	1	0.0013624	16047(81.2%)	9	2	0.0400075	642	1
2018-02-19-3762	pfama1.093	1	0.0013624	16047(81.2%)	9	3	0.0396336	636	1
2018-02-19-3762	pfama1.096	1	0.0013624	16047(81.2%)	9	4	0.0310962	499	1
2018-02-19-3762	pfama1.141	1	0.0013624	16047(81.2%)	9	5	0.0119025	191	1
2018-02-19-3762	pfama1.142	1	0.0013624	16047(81.2%)	9	6	0.0116533	187	1
2018-02-19-3762	pfama1.213	1	0.0013624	16047(81.2%)	9	7	0.0069795	112	1
2018-02-19-3762	pfama1.068	2	0.0027248	16047(81.2%)	9	8	0.00679255	109	1
2018-02-19-3766	pfama1.004	66	0.0899183	52714(94.4%)	1	0	1	52714	2
2018-02-19-3777	pfama1.015	27	0.0367847	32384(64.5%)	1	0	1	32384	2
2018-02-20-3786	pfama1.003	71	0.0967302	33144(74.9%)	3	0	0.430335	14218	2
2018-02-20-3786	pfama1.006	54	0.0735695	33144(74.9%)	3	1	0.412993	13699	2
2018-02-20-3786	pfama1.014	39	0.0531335	33144(74.9%)	3	2	0.156673	5227	2
2018-02-20-3787	pfama1.004	66	0.0899183	42552(93.4%)	1	0	1	42552	2
2018-02-20-3805	pfama1.001	107	0.145777	36143(89.8%)	1	0	1	36143	2
2018-02-21-3079	pfama1.013	39	0.0531335	80533(87.9%)	1	0	1	80533	2
2018-02-21-3093	pfama1.034	7	0.00953678	69091(88.9%)	2	0	0.993035	68607	2
2018-02-21-3093	pfama1.215	1	0.0013624	69091(88.9%)	2	1	0.00696517	484	2
2018-02-21-3095	pfama1.005	56	0.0762943	42520(95.4%)	1	0	1	42520	2
2018-02-21-3096	pfama1.010	49	0.0667575	25599(59.5%)	4	0	0.626896	16021	2
2018-02-21-3096	pfama1.012	40	0.0544959	25599(59.5%)	4	1	0.250055	6478	2
2018-02-21-3096	pfama1.009	50	0.0681199	25599(59.5%)	4	2	0.0953239	2407	2
2018-02-21-3096	pfama1.011	47	0.0640327	25599(59.5%)	4	3	0.0277249	693	2
2018-02-21-3315	pfama1.024	18	0.0245232	48956(85%)	4	0	0.829137	40592	2
2018-02-21-3315	pfama1.012	40	0.0544959	48956(85%)	4	1	0.0740319	3626	2
2018-02-21-3315	pfama1.014	39	0.0531335	48956(85%)	4	2	0.0729854	3571	2
2018-02-21-3315	pfama1.010	49	0.0667575	48956(85%)	4	3	0.0238457	1167	2
2018-02-21-3364	pfama1.017	23	0.0313351	58073(94.3%)	1	0	1	58073	2
2018-02-21-3505	pfama1.035	7	0.00953678	12346(80.9%)	5	0	0.93261	11514	1
2018-02-21-3505	pfama1.102	1	0.0013624	12346(80.9%)	5	1	0.0277823	343	1
2018-02-21-3505	pfama1.108	1	0.0013624	12346(80.9%)	5	2	0.0214644	265	1
2018-02-21-3505	pfama1.161	1	0.0013624	12346(80.9%)	5	3	0.00923376	114	1
2018-02-21-3505	pfama1.168	1	0.0013624	12346(80.9%)	5	4	0.00890977	110	1
2018-02-21-3510	pfama1.027	12	0.0163488	90766(86.1%)	1	0	1	90766	2
2018-02-21-3816	pfama1.000	125	0.1703	45428(96.7%)	1	0	1	45428	2
2018-02-21-3818	pfama1.007	50	0.0681199	71831(96.2%)	1	0	1	71831	2
2018-02-26-3164	pfama1.000	125	0.1703	55820(95.2%)	2	0	0.56125	31676	2
2018-02-26-3164	pfama1.011	47	0.0640327	55820(95.2%)	2	1	0.43875	24144	2
2018-02-27-3285	pfama1.008	50	0.0681199	72497(93.6%)	3	0	0.452377	32826	2
2018-02-27-3285	pfama1.033	9	0.0122616	72497(93.6%)	3	1	0.449831	32564	2
2018-02-27-3285	pfama1.010	49	0.0667575	72497(93.6%)	3	2	0.0977918	7107	2
2018-02-27-3523	pfama1.006	54	0.0735695	75515(88%)	1	0	1	75515	2
2018-02-27-3525	pfama1.015	27	0.0367847	81009(84.4%)	1	0	1	81009	2
2018-02-27-3527	pfama1.002	95	0.129428	12497(83.5%)	5	0	0.971913	12146	1
2018-02-27-3527	pfama1.154	1	0.0013624	12497(83.5%)	5	1	0.00992238	124	1
2018-02-27-3527	pfama1.242	1	0.0013624	12497(83.5%)	5	2	0.0062415	78	1
2018-02-27-3527	pfama1.251	1	0.0013624	12497(83.5%)	5	3	0.00600144	75	1
2018-02-27-3527	pfama1.253	1	0.0013624	12497(83.5%)	5	4	0.00592142	74	1
2018-02-28-3535	pfama1.035	7	0.00953678	374(86.8%)	9	0	0.606952	227	1
2018-02-28-3535	pfama1.000	125	0.1703	374(86.8%)	9	1	0.213904	80	1
2018-02-28-3535	pfama1.002	95	0.129428	374(86.8%)	9	2	0.0935829	35	1
2018-02-28-3535	pfama1.105	1	0.0013624	374(86.8%)	9	3	0.0240642	9	1
2018-02-28-3535	pfama1.134	1	0.0013624	374(86.8%)	9	4	0.013369	5	1
2018-02-28-3535	pfama1.133	1	0.0013624	374(86.8%)	9	5	0.013369	5	1
2018-02-28-3535	pfama1.132	1	0.0013624	374(86.8%)	9	6	0.013369	5	1
2018-02-28-3535	pfama1.150	1	0.0013624	374(86.8%)	9	7	0.0106952	4	1
2018-02-28-3535	pfama1.151	1	0.0013624	374(86.8%)	9	8	0.0106952	4	1
2018-03-05-3541	pfama1.008	50	0.0681199	40037(89.9%)	3	0	0.980468	39255	1
2018-03-05-3541	pfama1.137	1	0.0013624	40037(89.9%)	3	1	0.0126383	506	1
2018-03-05-3541	pfama1.223	1	0.0013624	40037(89.9%)	3	2	0.00689362	276	1
2018-03-05-3542	pfama1.036	7	0.00953678	69517(97.3%)	6	0	0.759317	52772	2
2018-03-05-3542	pfama1.025	17	0.0231608	69517(97.3%)	6	1	0.18094	12579	2
2018-03-05-3542	pfama1.015	27	0.0367847	69517(97.3%)	6	2	0.0286301	1986	2
2018-03-05-3542	pfama1.006	54	0.0735695	69517(97.3%)	6	3	0.0143134	1001	2
