s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-17-3604	pfama1.008	50	0.3030304687603257	41548(67.5%)	4	3	0.10606199999999999	1893	2
2017-10-17-3612	pfama1.010	50	0.147492897583903	145498(95.7%)	4	0	0.9431327359228339	137167	2
2017-10-17-3612	pfama1.002	93	0.27433615951115947	145498(95.7%)	4	1	0.02633489262623006	3879	2
2017-10-17-3612	pfama1.000	124	0.3687311348138066	145498(95.7%)	4	2	0.02400859327759388	3508	2
2017-10-17-3614	pfama1.002	93	0.9489794806495511	39558(86.4%)	2	0	0.9590885204557397	37963	2
2017-10-17-3614	pfama1.041	5	0.05102051935044898	39558(86.4%)	2	1	0.04091147954426023	1595	2
2017-10-17-3615	pfama1.004	69	1	52094(96%)	1	0	1	52094	2
2017-10-17-3616	pfama1.002	93	1	45899(95.5%)	1	0	1	45899	2
2017-10-17-3617	pfama1.006	56	1	59227(95.4%)	1	0	1	59227	2
2017-10-18-3627	pfama1.011	49	1	10977(83.4%)	1	0	1	10616	1
2017-10-18-3630	pfama1.007	52	1	54680(96.3%)	1	0	1	54680	2
2017-10-18-3642	pfama1.002	93	1	70052(92.2%)	1	0	1	70052	3
2017-10-23-3122	pfama1.001	107	1	26834(84%)	1	0	1	26834	2
2017-10-23-3154	pfama1.000	124	1	124119(98.4%)	1	0	1	124119	2
2017-10-23-3190	pfama1.001	107	1	44041(93.1%)	1	0	1	44041	2
2017-10-23-3202	pfama1.025	18	0.33333379753093295	35434(81.4%)	3	0	0.5701884298115703	20323	2
2017-10-23-3202	pfama1.028	14	0.2592590013717039	35434(81.4%)	3	1	0.31094868905131096	10978	2
2017-10-23-3202	pfama1.020	22	0.40740720109736317	35434(81.4%)	3	2	0.11886288113711889	4133	2
2017-10-23-3205	pfama1.028	14	0.4374994125001175	54222(92.2%)	2	0	0.767131	41506	2
2017-10-23-3205	pfama1.025	18	0.5625005874998824	54222(92.2%)	2	1	0.232869	12716	2
