s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2018-05-15-3786	pfama1.03	85	0.24099726356459586	35839(79.8%)	4	1	0.4063160812632163	14534	2
2018-05-15-3786	pfama1.06	67	0.18559562170335334	35839(79.8%)	4	2	0.06144751228950246	2192	2
2018-05-15-3786	pfama1.05	71	0.19667595007560182	35839(79.8%)	4	3	0.01672130334426067	597	2
2018-05-15-3787	pfama1.04	80	1.0	70724(86.9%)	1	0	1.0	70724	2
2018-05-15-3805	pfama1.01	136	1.0	49795(84.5%)	1	0	1.0	49795	2
2018-05-15-3808	pfama1.00	148	0.5518512190637918	41071(87.6%)	4	0	0.6804078639184273	27950	2
2018-05-15-3808	pfama1.14	39	0.1444446537697723	41071(87.6%)	4	1	0.25186794962641007	10388	2
2018-05-15-3808	pfama1.08	64	0.237037438845425	41071(87.6%)	4	2	0.03585009282998143	1442	2
2018-05-15-3808	pfama1.25	18	0.06666668832101093	41071(87.6%)	4	3	0.031874093625181274	1291	2
2018-05-15-3816	pfama1.00	148	1.0	38643(88.6%)	1	0	1.0	38643	2
2018-05-15-3818	pfama1.09	62	1.0	63747(83%)	1	0	1.0	63747	2
2018-05-16-3095	pfama1.07	64	1.0	31133(89.6%)	1	0	1.0	31133	1
2018-05-16-3096	pfama1.10	62	1.0	39160(92.4%)	1	0	1.0	39160	2
2018-05-16-3315	pfama1.24	20	0.3389827989083579	41548(87.6%)	2	0	0.9418655290672354	39086	2
2018-05-16-3315	pfama1.14	39	0.661017201091642	41548(87.6%)	2	1	0.05813447093276453	2462	2
2018-05-16-3364	pfama1.20	28	1.0	48204(87.6%)	1	0	1.0	48204	2
2018-05-16-3505	pfama1.37	8	1.0	40841(64.3%)	1	0	1.0	40841	2
2018-05-16-3506	pfama1.08	64	1.0	31834(63%)	1	0	1.0	31834	2
2018-05-16-3510	pfama1.27	15	0.21739180170138017	31916(67.4%)	2	0	0.515425	16527	2
2018-05-16-3510	pfama1.12	54	0.7826081982986198	31916(67.4%)	2	1	0.484575	15389	2
2018-05-21-3164	pfama1.00	148	1.0	36694(89.5%)	1	0	1.0	36694	2
2018-05-21-3808	pfama1.00	148	0.5518512190637918	14218(72.5%)	4	0	0.45805895419410453	6516	2
2018-05-21-3808	pfama1.25	18	0.06666668832101093	14218(72.5%)	4	1	0.29864497013550295	4244	2
2018-05-21-3808	pfama1.14	39	0.1444446537697723	14218(72.5%)	4	2	0.17530898246910173	2492	2
2018-05-21-3808	pfama1.08	64	0.237037438845425	14218(72.5%)	4	3	0.06798709320129069	966	2
2018-05-22-3285	pfama1.15	32	0.0740740439986179	25946(69.3%)	6	0	0.4225749577425042	10974	2
2018-05-22-3285	pfama1.32	14	0.03240739424939533	25946(69.3%)	6	1	0.2103389789661021	5470	2
2018-05-22-3285	pfama1.10	62	0.14351866325665127	25946(69.3%)	6	2	0.1511699848830015	3891	2
2018-05-22-3285	pfama1.01	136	0.31481468699412607	25946(69.3%)	6	3	0.08811149118885087	2295	2
2018-05-22-3285	pfama1.02	124	0.2870369204946444	25946(69.3%)	6	4	0.08411679158832085	2174	2
2018-05-22-3285	pfama1.08	64	0.1481482910065649	25946(69.3%)	6	5	0.04368779563122044	1142	2
2018-05-22-3393	pfama1.04	80	1.0	37383(90%)	1	0	1.0	37383	2
2018-05-22-3523	pfama1.06	67	1.0	32518(86%)	1	0	1.0	32518	1
2018-05-22-3527	pfama1.02	124	1.0	49188(88.4%)	1	0	1.0	49188	2
2018-05-23-3525	pfama1.17	30	1.0	26447(86.4%)	1	0	1.0	26447	1
2018-05-28-3393	pfama1.04	80	1.0	53180(98.9%)	1	0	1.0	53180	2
2018-05-28-3541	pfama1.08	64	1.0	47365(85.3%)	1	0	1.0	47365	2
2018-05-28-3542	pfama1.25	18	0.375	34003(87.5%)	2	0	0.9772379022762099	33241	2
2018-05-28-3542	pfama1.17	30	0.625	34003(87.5%)	2	1	0.022762097723790228	762	2
2018-05-28-3546	pfama1.09	62	1.0	35427(83.2%)	1	0	1.0	35427	1
2018-05-28-3570	pfama1.00	148	1.0	34788(90.6%)	1	0	1.0	34788	2
