s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2018-01-10-3630	pfama1.007	52	0.0691489	57132(97.3%)	1	0	1	57132	2
2018-01-10-3635	pfama1.006	56	0.0744681	38494(91.5%)	2	0	0.993015	38227	2
2018-01-10-3635	pfama1.062	2	0.00265957	38494(91.5%)	2	1	0.00698534	267	2
2018-01-15-3122	pfama1.001	107	0.142287	29603(62.7%)	1	0	1	29603	2
2018-01-15-3148	pfama1.001	107	0.142287	10356(84.8%)	5	0	0.963886	9982	1
2018-01-15-3148	pfama1.136	1	0.00132979	10356(84.8%)	5	1	0.0127462	132	1
2018-01-15-3148	pfama1.177	1	0.00132979	10356(84.8%)	5	2	0.00830436	86	1
2018-01-15-3148	pfama1.055	2	0.00265957	10356(84.8%)	5	3	0.00782155	81	1
2018-01-15-3148	pfama1.039	7	0.00930851	10356(84.8%)	5	4	0.00724218	75	1
2018-01-15-3154	pfama1.000	125	0.166223	46524(93.7%)	1	0	1	46524	2
2018-01-15-3190	pfama1.001	107	0.142287	44785(96%)	1	0	1	44785	2
2018-01-15-3658	pfama1.001	107	0.142287	42701(91.6%)	1	0	1	42701	2
2018-01-15-3659	pfama1.014	39	0.0518617	43490(91.1%)	1	0	1	43490	2
2018-01-15-3665	pfama1.002	93	0.12367	43399(91.2%)	1	0	1	43399	2
2018-01-15-3825	pfama1.000	125	0.166223	42567(91.3%)	1	0	1	42567	2
2018-01-16-3672	pfama1.014	39	0.0518617	36485(77.9%)	1	0	1	36485	2
2018-01-16-3677	pfama1.024	18	0.0239362	19360(62.2%)	5	0	0.409807	7210	2
2018-01-16-3677	pfama1.008	50	0.0664894	19360(62.2%)	5	1	0.371531	7861	2
2018-01-16-3677	pfama1.001	107	0.142287	19360(62.2%)	5	2	0.135684	2956	2
2018-01-16-3677	pfama1.002	93	0.12367	19360(62.2%)	5	3	0.0451715	626	2
2018-01-16-3677	pfama1.015	37	0.0492021	19360(62.2%)	5	4	0.0378065	707	2
2018-01-16-3685	pfama1.019	23	0.0305851	63274(97.8%)	2	0	0.869851	55051	2
2018-01-16-3685	pfama1.032	10	0.0132979	63274(97.8%)	2	1	0.130149	8223	2
2018-01-17-3205	pfama1.025	18	0.0239362	38256(83.9%)	3	0	0.861714	32590	2
2018-01-17-3205	pfama1.028	14	0.018617	38256(83.9%)	3	1	0.104153	4360	2
2018-01-17-3205	pfama1.000	125	0.166223	38256(83.9%)	3	2	0.0341329	1306	2
2018-01-17-3709	pfama1.013	40	0.0531915	85072(90.2%)	1	0	1	85072	2
2018-01-17-3713	pfama1.017	24	0.0319149	50890(93.1%)	1	0	1	50890	2
2018-01-17-3714	pfama1.005	67	0.0890957	48042(89.4%)	2	0	0.685706	33060	2
2018-01-17-3714	pfama1.009	50	0.0664894	48042(89.4%)	2	1	0.314294	14982	2
2018-01-17-3728	pfama1.005	67	0.0890957	52403(83.3%)	1	0	1	52403	2
2018-01-22-3746	pfama1.010	50	0.0664894	33977(76.4%)	2	0	0.578017	20177	2
2018-01-22-3746	pfama1.002	93	0.12367	33977(76.4%)	2	1	0.421983	13800	2
2018-01-22-3747	pfama1.001	107	0.142287	55724(87.6%)	2	0	0.994207	55404	2
2018-01-22-3747	pfama1.039	7	0.00930851	55724(87.6%)	2	1	0.00579328	320	2
2018-01-22-3761	pfama1.006	56	0.0744681	79023(95.1%)	1	0	1	79023	2
2018-01-22-3762	pfama1.007	52	0.0691489	76540(86.6%)	1	0	1	76540	2
2018-01-22-3766	pfama1.003	72	0.0957447	32946(79.3%)	2	0	0.609949	20054	2
2018-01-22-3766	pfama1.000	125	0.166223	32946(79.3%)	2	1	0.390051	12892	2
2018-01-22-3777	pfama1.015	37	0.0492021	61581(86.9%)	2	0	0.919657	56317	2
2018-01-22-3777	pfama1.006	56	0.0744681	61581(86.9%)	2	1	0.0803429	5264	2
2018-01-23-3805	pfama1.001	107	0.142287	427579(74.9%)	1	0	1	427579	3
2018-01-23-3815	pfama1.000	125	0.166223	44451(93.5%)	1	0	1	44451	2
2018-01-23-3816	pfama1.000	125	0.166223	34484(92.9%)	1	0	1	34484	2
2018-01-23-3818	pfama1.008	50	0.0664894	38928(88.9%)	1	0	1	38928	2
2018-01-24-3079	pfama1.014	39	0.0518617	42492(91%)	1	0	1	42492	2
2018-01-24-3095	pfama1.006	56	0.0744681	44989(94.7%)	1	0	1	44989	2
2018-01-24-3096	pfama1.012	46	0.0611702	46745(82.2%)	4	0	0.815912	38020	2
2018-01-24-3096	pfama1.011	49	0.0651596	46745(82.2%)	4	1	0.138896	6665	2
2018-01-24-3096	pfama1.020	22	0.0292553	46745(82.2%)	4	2	0.0357968	1611	2
2018-01-24-3096	pfama1.013	40	0.0531915	46745(82.2%)	4	3	0.00939438	449	2
2018-01-24-3315	pfama1.007	52	0.0691489	40550(85.2%)	5	0	0.842848	34157	2
2018-01-24-3315	pfama1.024	18	0.0239362	40550(85.2%)	5	1	0.0854171	3337	2
2018-01-24-3315	pfama1.051	2	0.00265957	40550(85.2%)	5	2	0.0302718	1214	2
2018-01-24-3315	pfama1.013	40	0.0531915	40550(85.2%)	5	3	0.0234423	1104	2
2018-01-24-3315	pfama1.011	49	0.0651596	40550(85.2%)	5	4	0.0180204	738	2
2018-01-24-3364	pfama1.018	23	0.0305851	46190(93.3%)	1	0	1	46190	2
2018-01-24-3505	pfama1.037	7	0.00930851	59621(93.6%)	1	0	1	59621	2
2018-01-24-3510	pfama1.029	12	0.0159574	58438(91.9%)	1	0	1	58438	2
2018-01-24-3785	pfama1.030	11	0.0146277	58262(87.8%)	1	0	1	58262	2
2018-01-24-3786	pfama1.005	67	0.0890957	47021(89.3%)	4	0	0.898898	42230	2
2018-01-24-3786	pfama1.004	71	0.0944149	47021(89.3%)	4	1	0.0779199	3686	2
2018-01-24-3786	pfama1.003	72	0.0957447	47021(89.3%)	4	2	0.0140041	667	2
2018-01-24-3786	pfama1.001	107	0.142287	47021(89.3%)	4	3	0.00917817	438	2
2018-01-24-3787	pfama1.003	72	0.0957447	41701(92.4%)	1	0	1	41701	2
2018-01-26-3154	pfama1.000	125	0.166223	169479(98.6%)	1	0	1	169479	2
2018-01-29-3164	pfama1.012	46	0.0611702	44103(94.8%)	2	0	0.677784	29906	2
2018-01-29-3164	pfama1.000	125	0.166223	44103(94.8%)	2	1	0.322216	14197	2
2018-01-29-3521	pfama1.000	125	0.166223	66744(90.6%)	1	0	1	66744	2
2018-01-30-3285	pfama1.001	107	0.142287	51907(95%)	4	0	0.366554	20121	2
2018-01-30-3285	pfama1.023	19	0.025266	51907(95%)	4	1	0.272209	14032	2
2018-01-30-3285	pfama1.011	49	0.0651596	51907(95%)	4	2	0.210789	9726	2
2018-01-30-3285	pfama1.035	9	0.0119681	51907(95%)	4	3	0.150448	8028	2
